Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,
2018,"Estados Unidos Mexicanos",00,
2016,"Estados Unidos Mexicanos",00,
2020,"Aguascalientes",01,1.45566644025289
2018,"Aguascalientes",01,0.493075542317586
2016,"Aguascalientes",01,0.781003920199463
2020,"Baja California",02,0.969489260667976
2018,"Baja California",02,0.613408021625015
2016,"Baja California",02,0.632736456907552
2020,"Baja California Sur",03,1.69246334952086
2018,"Baja California Sur",03,0.344471508186125
2016,"Baja California Sur",03,0.666112841813776
2020,"Campeche",04,4.17844047543897
2018,"Campeche",04,2.89806155695945
2016,"Campeche",04,1.87778039568807
2020,"Coahuila de Zaragoza",05,1.1337932853068
2018,"Coahuila de Zaragoza",05,0.951809891112135
2016,"Coahuila de Zaragoza",05,0.91570246368212
2020,"Colima",06,1.085196799146
2018,"Colima",06,0.840953523412628
2016,"Colima",06,0.670735979387487
2020,"Chiapas",07,12.2978812814612
2018,"Chiapas",07,13.4362264422234
2016,"Chiapas",07,16.0249893699831
2020,"Chihuahua",08,1.54032288916944
2018,"Chihuahua",08,1.28074308955234
2016,"Chihuahua",08,1.87164332848326
2020,"Ciudad de México",09,1.6898281115472
2018,"Ciudad de México",09,0.37468484477715
2016,"Ciudad de México",09,0.596751357840411
2020,"Durango",10,2.23480211275831
2018,"Durango",10,1.40437217370519
2016,"Durango",10,1.81893599443281
2020,"Guanajuato",11,1.55049951613936
2018,"Guanajuato",11,1.10911296648408
2016,"Guanajuato",11,1.82698328791378
2020,"Guerrero",12,8.37797495273571
2018,"Guerrero",12,12.1610662569776
2016,"Guerrero",12,8.83702495157273
2020,"Hidalgo",13,2.00544410070552
2018,"Hidalgo",13,1.97484499161193
2016,"Hidalgo",13,3.48620998647392
2020,"Jalisco",14,0.279556236386187
2018,"Jalisco",14,0.441804343339043
2016,"Jalisco",14,0.641036185501314
2020,"México",15,2.37062001276989
2018,"México",15,0.60122978117548
2016,"México",15,1.07164476029324
2020,"Michoacán de Ocampo",16,1.72551324835551
2018,"Michoacán de Ocampo",16,1.31709610880503
2016,"Michoacán de Ocampo",16,3.29505479792006
2020,"Morelos",17,2.69342276322788
2018,"Morelos",17,1.89737766236836
2016,"Morelos",17,0.448590364546224
2020,"Nayarit",18,2.40451771575662
2018,"Nayarit",18,2.66679650548105
2016,"Nayarit",18,3.98909463452632
2020,"Nuevo León",19,0.876700821106658
2018,"Nuevo León",19,0.591665324795275
2016,"Nuevo León",19,0.400869138211591
2020,"Oaxaca",20,6.88191610973057
2018,"Oaxaca",20,8.79546774027542
2016,"Oaxaca",20,9.91502118529848
2020,"Puebla",21,4.50775624761251
2018,"Puebla",21,2.19157637924439
2016,"Puebla",21,1.84527569274954
2020,"Querétaro",22,1.04502533875452
2018,"Querétaro",22,0.457138170208273
2016,"Querétaro",22,0.951680047783409
2020,"Quintana Roo",23,4.77273005242707
2018,"Quintana Roo",23,0.822257993392096
2016,"Quintana Roo",23,1.10997601387853
2020,"San Luis Potosí",24,3.82727801183993
2018,"San Luis Potosí",24,2.45379868008457
2016,"San Luis Potosí",24,2.42283397540964
2020,"Sinaloa",25,0.660033675590063
2018,"Sinaloa",25,0.636508183485846
2016,"Sinaloa",25,1.05930697732145
2020,"Sonora",26,1.35553070797241
2018,"Sonora",26,0.77022371065708
2016,"Sonora",26,0.350953940636035
2020,"Tabasco",27,4.18836377966054
2018,"Tabasco",27,2.43981202432288
2016,"Tabasco",27,2.54729093921681
2020,"Tamaulipas",28,1.63515045349422
2018,"Tamaulipas",28,1.64199042795617
2016,"Tamaulipas",28,1.05264848449454
2020,"Tlaxcala",29,3.31632653061224
2018,"Tlaxcala",29,0.789418012129091
2016,"Tlaxcala",29,1.48780971133975
2020,"Veracruz de Ignacio de la Llave",30,3.36686095578401
2018,"Veracruz de Ignacio de la Llave",30,4.60888398689559
2016,"Veracruz de Ignacio de la Llave",30,4.16883955764062
2020,"Yucatán",31,2.48108121052884
2018,"Yucatán",31,1.35649868033135
2016,"Yucatán",31,1.23389697833055
2020,"Zacatecas",32,1.8733198306021
2018,"Zacatecas",32,2.11912117815066
2016,"Zacatecas",32,4.32771636229996
