Year,"Ámbito",Value
2020,"Total",5.860714233752039
2018,"Total",5.69459674371915
2016,"Total",5.80182102834475
2014,"Total",6.449928173922989
2012,"Total",6.5437330986196
2010,"Total",7.93632548539157
2008,"Total",7.88517539010122
2006,"Total",6.63677998339761
2005,"Total",9.36470619386236
2004,"Total",8.52633661851609
2002,"Total",8.61427155524919
2000,"Total",12.5789102224617
1998,"Total",17.5332771796285
1996,"Total",18.2900127880672
1994,"Total",12.4881183720923
1992,"Total",10.5817702294042
2020,"Urbano",2.46226047915557
2018,"Urbano",1.63592739956945
2016,"Urbano",1.66200270666001
2014,"Urbano",1.57097200068179
2012,"Urbano",1.60497469779623
2010,"Urbano",2.23253813397733
2008,"Urbano",1.94567392720975
2006,"Urbano",1.29705362635266
2005,"Urbano",1.7648719820480399
2004,"Urbano",2.42583454722463
2002,"Urbano",1.5431799680137803
2000,"Urbano",2.14230228968931
1998,"Urbano",4.73518755410903
1996,"Urbano",6.52835266621582
1994,"Urbano",2.49239517285124
1992,"Urbano",2.76077985758968
2020,"Rural",11.5084882321595
2018,"Rural",11.999199280176802
2016,"Rural",12.6825664699589
2014,"Rural",14.5501367463529
2012,"Rural",14.7485220926687
2010,"Rural",17.4290376848955
2008,"Rural",17.7697330454633
2006,"Rural",15.5142057210327
2005,"Rural",22.246235658545
2004,"Rural",18.7028388620614
2002,"Rural",20.0647714072703
2000,"Rural",28.9406671656522
1998,"Rural",37.451317023564
1996,"Rural",36.5675010816463
1994,"Rural",27.5348791908681
1992,"Rural",22.398862828959995
