Year,Sexo,Grupo de edad,Value
2020,"Total",,52.77346101044248
2018,"Total",,49.884339144944086
2016,"Total",,50.7833219263232
2020,"Hombres",,51.8905718231207
2018,"Hombres",,49.0225808704599
2016,"Hombres",,49.95868612025571
2020,"Mujeres",,53.59975690630589
2018,"Mujeres",,50.69759948885339
2016,"Mujeres",,51.556544669468884
2020,,"Menores de 18 años",62.6336833688714
2018,,"Menores de 18 años",59.635453069736506
2016,,"Menores de 18 años",60.07396348736301
2020,,"De 18 años o más",48.7012133059631
2018,,"De 18 años o más",45.411644560797505
2016,,"De 18 años o más",46.221768388222905
2020,,"Entre 12 y 29 años de edad",53.8839855397409
2018,,"Entre 12 y 29 años de edad",49.46601424365469
2016,,"Entre 12 y 29 años de edad",50.8793072466437
2020,,"De 0 a 11 años y de 30 años o más",52.29505673540151
2018,,"De 0 a 11 años y de 30 años o más",50.0684287512027
2016,,"De 0 a 11 años y de 30 años o más",50.7409728266554
2020,,"De 65 años o más",46.060971418306686
2018,,"De 65 años o más",49.85990944742209
2016,,"De 65 años o más",48.62376135346609
2020,,"Menores de 65 años",53.468070718626
2018,,"Menores de 65 años",49.88655804218171
2016,,"Menores de 65 años",50.966570613459204
