Year,Entidad federativa,Municipio,GeoCode,Value
2020,"Estados Unidos Mexicanos",,00,52.47631256
2018,"Estados Unidos Mexicanos",,00,49.8843391449441
2016,"Estados Unidos Mexicanos",,00,50.8
2015,"Estados Unidos Mexicanos",,00,51.71318522
2010,"Estados Unidos Mexicanos",,00,51.99791869
2020,"Aguascalientes",,01,38.7020100135
2018,"Aguascalientes",,01,38.24698324
2016,"Aguascalientes",,01,40.4838581138262
2015,"Aguascalientes",,01,
2010,"Aguascalientes",,01,
2020,"Aguascalientes","Aguascalientes",01001,33.6609203898
2018,"Aguascalientes","Aguascalientes",01001,
2016,"Aguascalientes","Aguascalientes",01001,
2015,"Aguascalientes","Aguascalientes",01001,37.5635517955
2010,"Aguascalientes","Aguascalientes",01001,39.1989667823
2020,"Aguascalientes","Asientos",01002,46.750964735
2018,"Aguascalientes","Asientos",01002,
2016,"Aguascalientes","Asientos",01002,
2015,"Aguascalientes","Asientos",01002,61.653091505
2010,"Aguascalientes","Asientos",01002,70.8191125652
2020,"Aguascalientes","Calvillo",01003,49.5162596591
2018,"Aguascalientes","Calvillo",01003,
2016,"Aguascalientes","Calvillo",01003,
2015,"Aguascalientes","Calvillo",01003,63.0984420013
2010,"Aguascalientes","Calvillo",01003,71.8902943537
2020,"Aguascalientes","Cosío",01004,46.9688308458
2018,"Aguascalientes","Cosío",01004,
2016,"Aguascalientes","Cosío",01004,
2015,"Aguascalientes","Cosío",01004,51.2470501176
2010,"Aguascalientes","Cosío",01004,59.9491551016
2020,"Aguascalientes","Jesús María",01005,34.0451435333
2018,"Aguascalientes","Jesús María",01005,
2016,"Aguascalientes","Jesús María",01005,
2015,"Aguascalientes","Jesús María",01005,31.6449584979
2010,"Aguascalientes","Jesús María",01005,49.7874091709
2020,"Aguascalientes","Pabellón de Arteaga",01006,39.1693632947
2018,"Aguascalientes","Pabellón de Arteaga",01006,
2016,"Aguascalientes","Pabellón de Arteaga",01006,
2015,"Aguascalientes","Pabellón de Arteaga",01006,45.4690706593
2010,"Aguascalientes","Pabellón de Arteaga",01006,58.9097882654
2020,"Aguascalientes","Rincón de Romos",01007,48.752071912
2018,"Aguascalientes","Rincón de Romos",01007,
2016,"Aguascalientes","Rincón de Romos",01007,
2015,"Aguascalientes","Rincón de Romos",01007,59.9224635286
2010,"Aguascalientes","Rincón de Romos",01007,56.4966485638
2020,"Aguascalientes","San José de Gracia",01008,51.1648834998
2018,"Aguascalientes","San José de Gracia",01008,
2016,"Aguascalientes","San José de Gracia",01008,
2015,"Aguascalientes","San José de Gracia",01008,64.0565135305
2010,"Aguascalientes","San José de Gracia",01008,70.7075801749
2020,"Aguascalientes","Tepezalá",01009,44.8602206362
2018,"Aguascalientes","Tepezalá",01009,
2016,"Aguascalientes","Tepezalá",01009,
2015,"Aguascalientes","Tepezalá",01009,57.7282079866
2010,"Aguascalientes","Tepezalá",01009,71.5023246369
2020,"Aguascalientes","El Llano",01010,46.0084367067
2018,"Aguascalientes","El Llano",01010,
2016,"Aguascalientes","El Llano",01010,
2015,"Aguascalientes","El Llano",01010,63.2186515681
2010,"Aguascalientes","El Llano",01010,70.2306365285
2020,"Aguascalientes","San Francisco de los Romo",01011,51.7202281646
2018,"Aguascalientes","San Francisco de los Romo",01011,
2016,"Aguascalientes","San Francisco de los Romo",01011,
2015,"Aguascalientes","San Francisco de los Romo",01011,44.9896633233
2010,"Aguascalientes","San Francisco de los Romo",01011,52.3853195283
2020,"Baja California",,02,30.4331922343
2018,"Baja California",,02,32.40023679
2016,"Baja California",,02,30.3325107593886
2015,"Baja California",,02,
2010,"Baja California",,02,
2020,"Baja California","Ensenada",02001,27.7597284084
2018,"Baja California","Ensenada",02001,
2016,"Baja California","Ensenada",02001,
2015,"Baja California","Ensenada",02001,40.1275155348
2010,"Baja California","Ensenada",02001,40.0872762162
2020,"Baja California","Mexicali",02002,26.7971841868
2018,"Baja California","Mexicali",02002,
2016,"Baja California","Mexicali",02002,
2015,"Baja California","Mexicali",02002,33.84354455
2010,"Baja California","Mexicali",02002,36.9194413652
2020,"Baja California","Tecate",02003,26.4500339265
2018,"Baja California","Tecate",02003,
2016,"Baja California","Tecate",02003,
2015,"Baja California","Tecate",02003,33.7756844683
2010,"Baja California","Tecate",02003,36.6224502595
2020,"Baja California","Tijuana",02004,30.4904542265
2018,"Baja California","Tijuana",02004,
2016,"Baja California","Tijuana",02004,
2015,"Baja California","Tijuana",02004,37.8502549083
2010,"Baja California","Tijuana",02004,37.4079986268
2020,"Baja California","Playas de Rosarito",02005,37.0770628425
2018,"Baja California","Playas de Rosarito",02005,
2016,"Baja California","Playas de Rosarito",02005,
2015,"Baja California","Playas de Rosarito",02005,43.3095516117
2010,"Baja California","Playas de Rosarito",02005,45.6765075187
2020,"Baja California","San Quintín",02006,37.9642217291
2018,"Baja California","San Quintín",02006,
2016,"Baja California","San Quintín",02006,
2015,"Baja California","San Quintín",02006,
2010,"Baja California","San Quintín",02006,
2020,"Baja California Sur",,03,35.850079867
2018,"Baja California Sur",,03,23.91830429
2016,"Baja California Sur",,03,30.1685879461349
2015,"Baja California Sur",,03,
2010,"Baja California Sur",,03,
2020,"Baja California Sur","Comondú",03001,42.626491628
2018,"Baja California Sur","Comondú",03001,
2016,"Baja California Sur","Comondú",03001,
2015,"Baja California Sur","Comondú",03001,45.5725091737
2010,"Baja California Sur","Comondú",03001,47.3139995153
2020,"Baja California Sur","Mulegé",03002,30.0945901723
2018,"Baja California Sur","Mulegé",03002,
2016,"Baja California Sur","Mulegé",03002,
2015,"Baja California Sur","Mulegé",03002,35.0097621279
2010,"Baja California Sur","Mulegé",03002,45.2062267215
2020,"Baja California Sur","La Paz",03003,27.7648036082
2018,"Baja California Sur","La Paz",03003,
2016,"Baja California Sur","La Paz",03003,
2015,"Baja California Sur","La Paz",03003,31.4995953111
2010,"Baja California Sur","La Paz",03003,31.0048878238
2020,"Baja California Sur","Los Cabos",03008,38.5379217446
2018,"Baja California Sur","Los Cabos",03008,
2016,"Baja California Sur","Los Cabos",03008,
2015,"Baja California Sur","Los Cabos",03008,32.4799938647
2010,"Baja California Sur","Los Cabos",03008,33.327892711
2020,"Baja California Sur","Loreto",03009,42.7280114005
2018,"Baja California Sur","Loreto",03009,
2016,"Baja California Sur","Loreto",03009,
2015,"Baja California Sur","Loreto",03009,50.986068627
2010,"Baja California Sur","Loreto",03009,45.6678641199
2020,"Campeche",,04,57.7088712016
2018,"Campeche",,04,54.89906618
2016,"Campeche",,04,51.2499096043353
2015,"Campeche",,04,
2010,"Campeche",,04,
2020,"Campeche","Calkiní",04001,68.6432508633
2018,"Campeche","Calkiní",04001,
2016,"Campeche","Calkiní",04001,
2015,"Campeche","Calkiní",04001,62.0631841671
2010,"Campeche","Calkiní",04001,65.7216950551
2020,"Campeche","Campeche",04002,43.5370956959
2018,"Campeche","Campeche",04002,
2016,"Campeche","Campeche",04002,
2015,"Campeche","Campeche",04002,39.5671945403
2010,"Campeche","Campeche",04002,42.2405498621
2020,"Campeche","Carmen",04003,40.0237885233
2018,"Campeche","Carmen",04003,
2016,"Campeche","Carmen",04003,
2015,"Campeche","Carmen",04003,32.191566596
2010,"Campeche","Carmen",04003,41.5858999192
2020,"Campeche","Champotón",04004,62.5573926034
2018,"Campeche","Champotón",04004,
2016,"Campeche","Champotón",04004,
2015,"Campeche","Champotón",04004,61.2773953533
2010,"Campeche","Champotón",04004,67.6167818889
2020,"Campeche","Hecelchakán",04005,73.0386956144
2018,"Campeche","Hecelchakán",04005,
2016,"Campeche","Hecelchakán",04005,
2015,"Campeche","Hecelchakán",04005,61.00255158
2010,"Campeche","Hecelchakán",04005,68.529287255
2020,"Campeche","Hopelchén",04006,76.6586847242
2018,"Campeche","Hopelchén",04006,
2016,"Campeche","Hopelchén",04006,
2015,"Campeche","Hopelchén",04006,70.6191435861
2010,"Campeche","Hopelchén",04006,80.6078061458
2020,"Campeche","Palizada",04007,62.6171008201
2018,"Campeche","Palizada",04007,
2016,"Campeche","Palizada",04007,
2015,"Campeche","Palizada",04007,63.2633495146
2010,"Campeche","Palizada",04007,63.6550417827
2020,"Campeche","Tenabo",04008,58.1835461004
2018,"Campeche","Tenabo",04008,
2016,"Campeche","Tenabo",04008,
2015,"Campeche","Tenabo",04008,58.2079944284
2010,"Campeche","Tenabo",04008,69.8642031804
2020,"Campeche","Escárcega",04009,72.3693080357
2018,"Campeche","Escárcega",04009,
2016,"Campeche","Escárcega",04009,
2015,"Campeche","Escárcega",04009,61.2917231092
2010,"Campeche","Escárcega",04009,72.7565556747
2020,"Campeche","Calakmul",04010,83.8769354982
2018,"Campeche","Calakmul",04010,
2016,"Campeche","Calakmul",04010,
2015,"Campeche","Calakmul",04010,74.7459774906
2010,"Campeche","Calakmul",04010,83.142939264
2020,"Campeche","Candelaria",04011,81.6587621966
2018,"Campeche","Candelaria",04011,
2016,"Campeche","Candelaria",04011,
2015,"Campeche","Candelaria",04011,68.38475049
2010,"Campeche","Candelaria",04011,70.1992739877
2020,"Campeche","Seybaplaya",04012,
2018,"Campeche","Seybaplaya",04012,
2016,"Campeche","Seybaplaya",04012,
2015,"Campeche","Seybaplaya",04012,
2010,"Campeche","Seybaplaya",04012,
2020,"Campeche","Dzitbalché",04013,
2018,"Campeche","Dzitbalché",04013,
2016,"Campeche","Dzitbalché",04013,
2015,"Campeche","Dzitbalché",04013,
2010,"Campeche","Dzitbalché",04013,
2020,"Coahuila de Zaragoza",,05,40.167919375
2018,"Coahuila de Zaragoza",,05,40.08167737
2016,"Coahuila de Zaragoza",,05,43.0739091104073
2015,"Coahuila de Zaragoza",,05,
2010,"Coahuila de Zaragoza",,05,
2020,"Coahuila de Zaragoza","Abasolo",05001,12.5840886203
2018,"Coahuila de Zaragoza","Abasolo",05001,
2016,"Coahuila de Zaragoza","Abasolo",05001,
2015,"Coahuila de Zaragoza","Abasolo",05001,4.9862542955
2010,"Coahuila de Zaragoza","Abasolo",05001,53.4694092827
2020,"Coahuila de Zaragoza","Acuña",05002,34.6711465739
2018,"Coahuila de Zaragoza","Acuña",05002,
2016,"Coahuila de Zaragoza","Acuña",05002,
2015,"Coahuila de Zaragoza","Acuña",05002,46.6459354486
2010,"Coahuila de Zaragoza","Acuña",05002,39.4378543046
2020,"Coahuila de Zaragoza","Allende",05003,36.9463165668
2018,"Coahuila de Zaragoza","Allende",05003,
2016,"Coahuila de Zaragoza","Allende",05003,
2015,"Coahuila de Zaragoza","Allende",05003,47.5706283894
2010,"Coahuila de Zaragoza","Allende",05003,44.606090481
2020,"Coahuila de Zaragoza","Arteaga",05004,33.3178867948
2018,"Coahuila de Zaragoza","Arteaga",05004,
2016,"Coahuila de Zaragoza","Arteaga",05004,
2015,"Coahuila de Zaragoza","Arteaga",05004,51.3316037101
2010,"Coahuila de Zaragoza","Arteaga",05004,27.6479206839
2020,"Coahuila de Zaragoza","Candela",05005,38.9249211356
2018,"Coahuila de Zaragoza","Candela",05005,
2016,"Coahuila de Zaragoza","Candela",05005,
2015,"Coahuila de Zaragoza","Candela",05005,15.2541918176
2010,"Coahuila de Zaragoza","Candela",05005,68.523594053
2020,"Coahuila de Zaragoza","Castaños",05006,50.69602344
2018,"Coahuila de Zaragoza","Castaños",05006,
2016,"Coahuila de Zaragoza","Castaños",05006,
2015,"Coahuila de Zaragoza","Castaños",05006,42.2202711625
2010,"Coahuila de Zaragoza","Castaños",05006,52.9950450504
2020,"Coahuila de Zaragoza","Cuatro Ciénegas",05007,38.6078459615
2018,"Coahuila de Zaragoza","Cuatro Ciénegas",05007,
2016,"Coahuila de Zaragoza","Cuatro Ciénegas",05007,
2015,"Coahuila de Zaragoza","Cuatro Ciénegas",05007,51.0174667409
2010,"Coahuila de Zaragoza","Cuatro Ciénegas",05007,57.4403014007
2020,"Coahuila de Zaragoza","Escobedo",05008,33.51653859
2018,"Coahuila de Zaragoza","Escobedo",05008,
2016,"Coahuila de Zaragoza","Escobedo",05008,
2015,"Coahuila de Zaragoza","Escobedo",05008,64.2045280123
2010,"Coahuila de Zaragoza","Escobedo",05008,68.5901574803
2020,"Coahuila de Zaragoza","Francisco I. Madero",05009,38.0648052386
2018,"Coahuila de Zaragoza","Francisco I. Madero",05009,
2016,"Coahuila de Zaragoza","Francisco I. Madero",05009,
2015,"Coahuila de Zaragoza","Francisco I. Madero",05009,50.9201073361
2010,"Coahuila de Zaragoza","Francisco I. Madero",05009,56.3541203063
2020,"Coahuila de Zaragoza","Frontera",05010,37.7886507705
2018,"Coahuila de Zaragoza","Frontera",05010,
2016,"Coahuila de Zaragoza","Frontera",05010,
2015,"Coahuila de Zaragoza","Frontera",05010,29.7677657042
2010,"Coahuila de Zaragoza","Frontera",05010,52.1721719785
2020,"Coahuila de Zaragoza","General Cepeda",05011,51.3392370005
2018,"Coahuila de Zaragoza","General Cepeda",05011,
2016,"Coahuila de Zaragoza","General Cepeda",05011,
2015,"Coahuila de Zaragoza","General Cepeda",05011,69.2029597397
2010,"Coahuila de Zaragoza","General Cepeda",05011,39.4563240229
2020,"Coahuila de Zaragoza","Guerrero",05012,26.9428571429
2018,"Coahuila de Zaragoza","Guerrero",05012,
2016,"Coahuila de Zaragoza","Guerrero",05012,
2015,"Coahuila de Zaragoza","Guerrero",05012,53.4002624672
2010,"Coahuila de Zaragoza","Guerrero",05012,58.0666666667
2020,"Coahuila de Zaragoza","Hidalgo",05013,25.2803909591
2018,"Coahuila de Zaragoza","Hidalgo",05013,
2016,"Coahuila de Zaragoza","Hidalgo",05013,
2015,"Coahuila de Zaragoza","Hidalgo",05013,36.4003139717
2010,"Coahuila de Zaragoza","Hidalgo",05013,64.2421124829
2020,"Coahuila de Zaragoza","Jiménez",05014,28.0232996782
2018,"Coahuila de Zaragoza","Jiménez",05014,
2016,"Coahuila de Zaragoza","Jiménez",05014,
2015,"Coahuila de Zaragoza","Jiménez",05014,56.6144329593
2010,"Coahuila de Zaragoza","Jiménez",05014,73.1341756919
2020,"Coahuila de Zaragoza","Juárez",05015,31.067013663
2018,"Coahuila de Zaragoza","Juárez",05015,
2016,"Coahuila de Zaragoza","Juárez",05015,
2015,"Coahuila de Zaragoza","Juárez",05015,27.8508710801
2010,"Coahuila de Zaragoza","Juárez",05015,62.4120841819
2020,"Coahuila de Zaragoza","Lamadrid",05016,20.3477488152
2018,"Coahuila de Zaragoza","Lamadrid",05016,
2016,"Coahuila de Zaragoza","Lamadrid",05016,
2015,"Coahuila de Zaragoza","Lamadrid",05016,19.0310231023
