Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,
2018,"Estados Unidos Mexicanos",00,
2016,"Estados Unidos Mexicanos",00,
2020,"Aguascalientes",01,39.09033
2018,"Aguascalientes",01,33.73491
2016,"Aguascalientes",01,28.86627
2020,"Baja California",02,49.25253
2018,"Baja California",02,42.96947
2016,"Baja California",02,45.85062
2020,"Baja California Sur",03,44.26771
2018,"Baja California Sur",03,40.91649
2016,"Baja California Sur",03,33.16901
2020,"Campeche",04,30.85215
2018,"Campeche",04,22.66639
2016,"Campeche",04,18.20216
2020,"Coahuila de Zaragoza",05,48.47628
2018,"Coahuila de Zaragoza",05,31.89145
2016,"Coahuila de Zaragoza",05,32.47392
2020,"Colima",06,39.21821
2018,"Colima",06,26.69663
2016,"Colima",06,24.44171
2020,"Chiapas",07,13.513
2018,"Chiapas",07,
2016,"Chiapas",07,6.948741
2020,"Chihuahua",08,42.21221
2018,"Chihuahua",08,27.85553
2016,"Chihuahua",08,22.34133
2020,"Ciudad de México",09,53.53883
2018,"Ciudad de México",09,50.45683
2016,"Ciudad de México",09,51.87221
2020,"Durango",10,35.73624
2018,"Durango",10,22.35217
2016,"Durango",10,25.9891
2020,"Guanajuato",11,28.90983
2018,"Guanajuato",11,18.82547
2016,"Guanajuato",11,19.65687
2020,"Guerrero",12,15.98993
2018,"Guerrero",12,12.17143
2016,"Guerrero",12,17.34268
2020,"Hidalgo",13,22.94852
2018,"Hidalgo",13,18.4654
2016,"Hidalgo",13,13.80389
2020,"Jalisco",14,43.64124
2018,"Jalisco",14,24.70429
2016,"Jalisco",14,25.05999
2020,"México",15,43.58589
2018,"México",15,29.5823
2016,"México",15,43.67735
2020,"Michoacán de Ocampo",16,20.97821
2018,"Michoacán de Ocampo",16,21.10101
2016,"Michoacán de Ocampo",16,16.14421
2020,"Morelos",17,30.94305
2018,"Morelos",17,19.9091
2016,"Morelos",17,25.52609
2020,"Nayarit",18,38.65033
2018,"Nayarit",18,21.47853
2016,"Nayarit",18,19.86792
2020,"Nuevo León",19,52.52976
2018,"Nuevo León",19,32.01571
2016,"Nuevo León",19,35.65558
2020,"Oaxaca",20,15.02225
2018,"Oaxaca",20,10.13303
2016,"Oaxaca",20,10.6928
2020,"Puebla",21,22.90668
2018,"Puebla",21,13.32288
2016,"Puebla",21,20.76804
2020,"Querétaro",22,42.81973
2018,"Querétaro",22,34.2673
2016,"Querétaro",22,32.43373
2020,"Quintana Roo",23,27.58233
2018,"Quintana Roo",23,28.19131
2016,"Quintana Roo",23,27.86717
2020,"San Luis Potosí",24,27.39411
2018,"San Luis Potosí",24,17.86764
2016,"San Luis Potosí",24,14.39267
2020,"Sinaloa",25,41.18309
2018,"Sinaloa",25,23.97649
2016,"Sinaloa",25,30.84989
2020,"Sonora",26,47.02635
2018,"Sonora",26,32.64051
2016,"Sonora",26,33.12978
2020,"Tabasco",27,26.13513
2018,"Tabasco",27,15.27855
2016,"Tabasco",27,12.19376
2020,"Tamaulipas",28,37.99126
2018,"Tamaulipas",28,29.97778
2016,"Tamaulipas",28,28.19848
2020,"Tlaxcala",29,24.60539
2018,"Tlaxcala",29,20.84454
2016,"Tlaxcala",29,17.1431
2020,"Veracruz de Ignacio de la Llave",30,25.19579
2018,"Veracruz de Ignacio de la Llave",30,21.02135
2016,"Veracruz de Ignacio de la Llave",30,22.06068
2020,"Yucatán",31,34.58051
2018,"Yucatán",31,21.81146
2016,"Yucatán",31,22.17354
2020,"Zacatecas",32,22.14785
2018,"Zacatecas",32,12.20244
2016,"Zacatecas",32,15.53614
