Year,"Personas debajo del 50% de mediana de ingresos",Value
2020,"Nacional",17.224953409
2018,"Nacional",16.8981196081
2016,"Nacional",17.3654464138
2020,"Población rural",33.0047620785
2018,"Población rural",37.0421070682
2016,"Población rural",39.2606281868
2020,"Población urbana",12.491065757500001
2018,"Población urbana",10.398481262
2016,"Población urbana",10.8110590883
2020,"Hombres",16.8629802214
2018,"Hombres",16.66015895
2016,"Hombres",17.0741140671
2020,"Mujeres",17.5637240765
2018,"Mujeres",17.1226883444
2016,"Mujeres",17.6386152413
2020,"Niñas, niños y adolescentes (0 a 17 años)",22.646489481300005
2018,"Niñas, niños y adolescentes (0 a 17 años)",22.0973802875
2016,"Niñas, niños y adolescentes (0 a 17 años)",22.300684038400004
2020,"Jóvenes (18 a 29 años)",15.2097695919
2018,"Jóvenes (18 a 29 años)",13.7620856887
2016,"Jóvenes (18 a 29 años)",14.321793980100002
2020,"Personas adultas (30 a 64 años)",15.1679528087
2018,"Personas adultas (30 a 64 años)",13.9797669745
2016,"Personas adultas (30 a 64 años)",14.6671656082
2020,"Personas adultas mayores (65 años o más)",13.707063411
2018,"Personas adultas mayores (65 años o más)",18.8816634424
2016,"Personas adultas mayores (65 años o más)",17.871596077
2020,"Personas con discapacidad",18.659091535
2018,"Personas con discapacidad",
2016,"Personas con discapacidad",
2020,"Personas indígenas",43.835131209100005
2018,"Personas indígenas",43.138480504
2016,"Personas indígenas",44.8704956796
