Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,17.224953409
2018,"Estados Unidos Mexicanos",00,16.8981196081
2016,"Estados Unidos Mexicanos",00,17.3654464138
2020,"Aguascalientes",01,7.914
2018,"Aguascalientes",01,8.329
2016,"Aguascalientes",01,9.594
2020,"Baja California",02,4.422
2018,"Baja California",02,4.542
2016,"Baja California",02,4.719
2020,"Baja California Sur",03,7.967
2018,"Baja California Sur",03,4.035
2016,"Baja California Sur",03,5.838
2020,"Campeche",04,23.038
2018,"Campeche",04,20.418
2016,"Campeche",04,16.698
2020,"Coahuila de Zaragoza",05,8.016
2018,"Coahuila de Zaragoza",05,7.43
2016,"Coahuila de Zaragoza",05,10.404
2020,"Colima",06,5.805
2018,"Colima",06,8.578
2016,"Colima",06,6.695
2020,"Chiapas",07,46.916
2018,"Chiapas",07,57.117
2016,"Chiapas",07,55.807
2020,"Chihuahua",08,8.494
2018,"Chihuahua",08,9.549
2016,"Chihuahua",08,11.122
2020,"Ciudad de México",09,10.375
2018,"Ciudad de México",09,6.405
2016,"Ciudad de México",09,5.43
2020,"Durango",10,14.758
2018,"Durango",10,17.267
2016,"Durango",10,14.789
2020,"Guanajuato",11,12.393
2018,"Guanajuato",11,14.422
2016,"Guanajuato",11,13.625
2020,"Guerrero",12,36.478
2018,"Guerrero",12,42.1
2016,"Guerrero",12,39.037
2020,"Hidalgo",13,18.791
2018,"Hidalgo",13,19.997
2016,"Hidalgo",13,24.939
2020,"Jalisco",14,6.766
2018,"Jalisco",14,6.603
2016,"Jalisco",14,6.19
2020,"México",15,17.472
2018,"México",15,12.367
2016,"México",15,14.735
2020,"Michoacán de Ocampo",16,14.953
2018,"Michoacán de Ocampo",16,16.437
2016,"Michoacán de Ocampo",16,21.151
2020,"Morelos",17,18.093
2018,"Morelos",17,16.658
2016,"Morelos",17,13.329
2020,"Nayarit",18,9.863
2018,"Nayarit",18,13.67
2016,"Nayarit",18,17.197
2020,"Nuevo León",19,6.247
2018,"Nuevo León",19,4.673
2016,"Nuevo León",19,4.126
2020,"Oaxaca",20,32.058
2018,"Oaxaca",20,37.793
2016,"Oaxaca",20,39.439
2020,"Puebla",21,26.485
2018,"Puebla",21,21.873
2016,"Puebla",21,22.641
2020,"Querétaro",22,9.15
2018,"Querétaro",22,7.542
2016,"Querétaro",22,9.303
2020,"Quintana Roo",23,21.758
2018,"Quintana Roo",23,8.81
2016,"Quintana Roo",23,11.415
2020,"San Luis Potosí",24,19.09
2018,"San Luis Potosí",24,19.662
2016,"San Luis Potosí",24,19.948
2020,"Sinaloa",25,7.305
2018,"Sinaloa",25,7.984
2016,"Sinaloa",25,8.67
2020,"Sonora",26,8.597
2018,"Sonora",26,6.662
2016,"Sonora",26,7.302
2020,"Tabasco",27,25.229
2018,"Tabasco",27,25.485
2016,"Tabasco",27,23.537
2020,"Tamaulipas",28,12.347
2018,"Tamaulipas",28,13.606
2016,"Tamaulipas",28,11.106
2020,"Tlaxcala",29,26.2
2018,"Tlaxcala",29,15.246
2016,"Tlaxcala",29,20.124
2020,"Veracruz de Ignacio de la Llave",30,26.219
2018,"Veracruz de Ignacio de la Llave",30,32.553
2016,"Veracruz de Ignacio de la Llave",30,30.238
2020,"Yucatán",31,19.964
2018,"Yucatán",31,13.537
2016,"Yucatán",31,13.565
2020,"Zacatecas",32,19.3
2018,"Zacatecas",32,20.196
2016,"Zacatecas",32,25.849
