Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,0.414796410452799
2018,"Estados Unidos Mexicanos",00,0.426118842028812
2016,"Estados Unidos Mexicanos",00,0.449023614106494
2020,"Aguascalientes",01,0.375647820871927
2018,"Aguascalientes",01,0.394987286912542
2016,"Aguascalientes",01,0.384827837847919
2020,"Baja California",02,0.397670667049512
2018,"Baja California",02,0.378356451795092
2016,"Baja California",02,0.402005198534772
2020,"Baja California Sur",03,0.38577570025371
2018,"Baja California Sur",03,0.381964471180674
2016,"Baja California Sur",03,0.385390232521294
2020,"Campeche",04,0.430766284699769
2018,"Campeche",04,0.440290564348294
2016,"Campeche",04,0.425516424817775
2020,"Coahuila de Zaragoza",05,0.37924120427836
2018,"Coahuila de Zaragoza",05,0.392782259358375
2016,"Coahuila de Zaragoza",05,0.384922467217064
2020,"Colima",06,0.370628339266597
2018,"Colima",06,0.386639642690137
2016,"Colima",06,0.394156154463231
2020,"Chiapas",07,0.410347728221547
2018,"Chiapas",07,0.429048310649734
2016,"Chiapas",07,0.443807554384352
2020,"Chihuahua",08,0.419351299834975
2018,"Chihuahua",08,0.411751551723757
2016,"Chihuahua",08,0.444980040783069
2020,"Ciudad de México",09,0.393807921070278
2018,"Ciudad de México",09,0.456425359999513
2016,"Ciudad de México",09,0.42814782083963
2020,"Durango",10,0.417664124821659
2018,"Durango",10,0.392188599363957
2016,"Durango",10,0.382016998511839
2020,"Guanajuato",11,0.368879204097601
2018,"Guanajuato",11,0.381019586154066
2016,"Guanajuato",11,0.51247706270638
2020,"Guerrero",12,0.405769704698246
2018,"Guerrero",12,0.434269150574116
2016,"Guerrero",12,0.41435110323562
2020,"Hidalgo",13,0.372968009912141
2018,"Hidalgo",13,0.404396369502821
2016,"Hidalgo",13,0.396389547262362
2020,"Jalisco",14,0.360979299103766
2018,"Jalisco",14,0.401801100229316
2016,"Jalisco",14,0.392313963424311
2020,"México",15,0.407392552408241
2018,"México",15,0.368458162187414
2016,"México",15,0.389630931637789
2020,"Michoacán de Ocampo",16,0.378471984420872
2018,"Michoacán de Ocampo",16,0.390742316953305
2016,"Michoacán de Ocampo",16,0.387714724632509
2020,"Morelos",17,0.389307601586364
2018,"Morelos",17,0.400138952325356
2016,"Morelos",17,0.413824126056723
2020,"Nayarit",18,0.380255807266779
2018,"Nayarit",18,0.406470177525296
2016,"Nayarit",18,0.425762316862417
2020,"Nuevo León",19,0.439125759852657
2018,"Nuevo León",19,0.415883373135324
2016,"Nuevo León",19,0.542726819833156
2020,"Oaxaca",20,0.419259092163474
2018,"Oaxaca",20,0.454654867537492
2016,"Oaxaca",20,0.447405932890318
2020,"Puebla",21,0.406399443530956
2018,"Puebla",21,0.379845279810167
2016,"Puebla",21,0.395594624911792
2020,"Querétaro",22,0.380575606839856
2018,"Querétaro",22,0.4006790512237
2016,"Querétaro",22,0.418589582188169
2020,"Quintana Roo",23,0.404726866410956
2018,"Quintana Roo",23,0.377491695423444
2016,"Quintana Roo",23,0.38851821229143
2020,"San Luis Potosí",24,0.413971583321817
2018,"San Luis Potosí",24,0.422777719673591
2016,"San Luis Potosí",24,0.411108715517861
2020,"Sinaloa",25,0.373211610807089
2018,"Sinaloa",25,0.406759212266427
2016,"Sinaloa",25,0.39187356267295
2020,"Sonora",26,0.417333745627178
2018,"Sonora",26,0.40862841215655
2016,"Sonora",26,0.45284895775046
2020,"Tabasco",27,0.418998954070066
2018,"Tabasco",27,0.421556747268561
2016,"Tabasco",27,0.408551487779372
2020,"Tamaulipas",28,0.398158322739051
2018,"Tamaulipas",28,0.425451486694662
2016,"Tamaulipas",28,0.429757528922593
2020,"Tlaxcala",29,0.378422790850789
2018,"Tlaxcala",29,0.357040341981436
2016,"Tlaxcala",29,0.361547536968165
2020,"Veracruz de Ignacio de la Llave",30,0.387534014721368
2018,"Veracruz de Ignacio de la Llave",30,0.404908553652247
2016,"Veracruz de Ignacio de la Llave",30,0.439897473433765
2020,"Yucatán",31,0.436650457746763
2018,"Yucatán",31,0.425365854187696
2016,"Yucatán",31,0.418982175129238
2020,"Zacatecas",32,0.423095068586011
2018,"Zacatecas",32,0.397186497963311
2016,"Zacatecas",32,0.45184940445368
