Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,0.468052826853261
2018,"Estados Unidos Mexicanos",00,0.475188460797805
2016,"Estados Unidos Mexicanos",00,0.49942761245849
2020,"Aguascalientes",01,0.427464767462649
2018,"Aguascalientes",01,0.435374850354942
2016,"Aguascalientes",01,0.438487368620063
2020,"Baja California",02,0.43797531882094
2018,"Baja California",02,0.41850978107503
2016,"Baja California",02,0.439959786138628
2020,"Baja California Sur",03,0.433055003653888
2018,"Baja California Sur",03,0.4152758363506
2016,"Baja California Sur",03,0.426410916310822
2020,"Campeche",04,0.490278789830081
2018,"Campeche",04,0.488449235070165
2016,"Campeche",04,0.477096833067667
2020,"Coahuila de Zaragoza",05,0.438455580819997
2018,"Coahuila de Zaragoza",05,0.436247057738419
2016,"Coahuila de Zaragoza",05,0.433481762075781
2020,"Colima",06,0.437053140462687
2018,"Colima",06,0.438836314657138
2016,"Colima",06,0.441787100540881
2020,"Chiapas",07,0.46938656461922
2018,"Chiapas",07,0.486414802288568
2016,"Chiapas",07,0.514815924227481
2020,"Chihuahua",08,0.477375923681639
2018,"Chihuahua",08,0.462669155850904
2016,"Chihuahua",08,0.485676722621275
2020,"Ciudad de México",09,0.436334004757604
2018,"Ciudad de México",09,0.497922783917509
2016,"Ciudad de México",09,0.466288407602374
2020,"Durango",10,0.492056796119101
2018,"Durango",10,0.460273220605776
2016,"Durango",10,0.45044801945713
2020,"Guanajuato",11,0.435660742911104
2018,"Guanajuato",11,0.429140130419992
2016,"Guanajuato",11,0.5664157593263
2020,"Guerrero",12,0.485050062585136
2018,"Guerrero",12,0.513915416272793
2016,"Guerrero",12,0.499201659635987
2020,"Hidalgo",13,0.444114305724417
2018,"Hidalgo",13,0.461586621955318
2016,"Hidalgo",13,0.461390675572373
2020,"Jalisco",14,0.414036603855095
2018,"Jalisco",14,0.448052539873025
2016,"Jalisco",14,0.436910523528485
2020,"México",15,0.447695328450579
2018,"México",15,0.405975898803039
2016,"México",15,0.42328078329683
2020,"Michoacán de Ocampo",16,0.446090686247031
2018,"Michoacán de Ocampo",16,0.456130029251011
2016,"Michoacán de Ocampo",16,0.460026375462805
2020,"Morelos",17,0.440783721984492
2018,"Morelos",17,0.443845562003628
2016,"Morelos",17,0.453127877024497
2020,"Nayarit",18,0.449664377429892
2018,"Nayarit",18,0.46776034825182
2016,"Nayarit",18,0.470385073761726
2020,"Nuevo León",19,0.476364783564878
2018,"Nuevo León",19,0.45976178369459
2016,"Nuevo León",19,0.577047470557165
2020,"Oaxaca",20,0.486930703094985
2018,"Oaxaca",20,0.525433612894317
2016,"Oaxaca",20,0.524466963823622
2020,"Puebla",21,0.442072246437884
2018,"Puebla",21,0.426608575399082
2016,"Puebla",21,0.455588117465496
2020,"Querétaro",22,0.428501040373036
2018,"Querétaro",22,0.442413298452769
2016,"Querétaro",22,0.460597903326125
2020,"Quintana Roo",23,0.443459861402304
2018,"Quintana Roo",23,0.409395499023107
2016,"Quintana Roo",23,0.423630277061104
2020,"San Luis Potosí",24,0.477542615968408
2018,"San Luis Potosí",24,0.483826731249641
2016,"San Luis Potosí",24,0.477387752087352
2020,"Sinaloa",25,0.448840237479922
2018,"Sinaloa",25,0.473981000053002
2016,"Sinaloa",25,0.450825421966118
2020,"Sonora",26,0.47420914641982
2018,"Sonora",26,0.462025711489766
2016,"Sonora",26,0.515374471878738
2020,"Tabasco",27,0.470771317172769
2018,"Tabasco",27,0.469709242922799
2016,"Tabasco",27,0.463332691836442
2020,"Tamaulipas",28,0.454914918965424
2018,"Tamaulipas",28,0.47877569636424
2016,"Tamaulipas",28,0.489521712254608
2020,"Tlaxcala",29,0.429679260318622
2018,"Tlaxcala",29,0.401921416656417
2016,"Tlaxcala",29,0.413247358726053
2020,"Veracruz de Ignacio de la Llave",30,0.457491591343493
2018,"Veracruz de Ignacio de la Llave",30,0.462723947645145
2016,"Veracruz de Ignacio de la Llave",30,0.500625923628266
2020,"Yucatán",31,0.484896173320843
2018,"Yucatán",31,0.469021020157055
2016,"Yucatán",31,0.477495601798754
2020,"Zacatecas",32,0.508251799480907
2018,"Zacatecas",32,0.473880935305385
2016,"Zacatecas",32,0.527585929392118
