Year,Entidad federativa,"Deciles",GeoCode,Value
2020,"Estados Unidos Mexicanos","Total",00,-5.820420818
2018,"Estados Unidos Mexicanos","Total",00,-4.168367281999999
2020,"Estados Unidos Mexicanos","I",00,1.3338974209999999
2018,"Estados Unidos Mexicanos","I",00,0.382477298
2020,"Estados Unidos Mexicanos","II",00,-2.6629713049999997
2018,"Estados Unidos Mexicanos","II",00,1.923247072
2020,"Estados Unidos Mexicanos","III",00,-3.379383073
2018,"Estados Unidos Mexicanos","III",00,1.849165891
2020,"Estados Unidos Mexicanos","IV",00,-4.023196841
2018,"Estados Unidos Mexicanos","IV",00,1.882436885
2020,"Estados Unidos Mexicanos","V",00,-4.013149908
2018,"Estados Unidos Mexicanos","V",00,0.836795405
2020,"Estados Unidos Mexicanos","VI",00,-4.270111271
2018,"Estados Unidos Mexicanos","VI",00,0.503688517
2020,"Estados Unidos Mexicanos","VII",00,-4.274617191
2018,"Estados Unidos Mexicanos","VII",00,0.12927906999999997
2020,"Estados Unidos Mexicanos","VIII",00,-4.341330856
2018,"Estados Unidos Mexicanos","VIII",00,-0.8638754249999999
2020,"Estados Unidos Mexicanos","IX",00,-4.893345504
2018,"Estados Unidos Mexicanos","IX",00,-1.9201110969999997
2020,"Estados Unidos Mexicanos","X",00,-9.218712622
2018,"Estados Unidos Mexicanos","X",00,-11.29624593
2020,"Aguascalientes","Total",01,-8.316563953
2018,"Aguascalientes","Total",01,8.331390034
2020,"Aguascalientes","I",01,-6.099419498
2018,"Aguascalientes","I",01,2.750998176
2020,"Aguascalientes","II",01,-4.955260599
2018,"Aguascalientes","II",01,5.121527242
2020,"Aguascalientes","III",01,-3.408335359
2018,"Aguascalientes","III",01,6.488869289999999
2020,"Aguascalientes","IV",01,-4.065589897
2018,"Aguascalientes","IV",01,4.523265131
2020,"Aguascalientes","V",01,-5.51455039
2018,"Aguascalientes","V",01,7.529122524000001
2020,"Aguascalientes","VI",01,-5.605815728
2018,"Aguascalientes","VI",01,8.174265722
2020,"Aguascalientes","VII",01,-4.947626347
2018,"Aguascalientes","VII",01,6.545515006
2020,"Aguascalientes","VIII",01,-4.138758308
2018,"Aguascalientes","VIII",01,6.389458560999999
2020,"Aguascalientes","IX",01,-4.973220055
2018,"Aguascalientes","IX",01,7.848637443
2020,"Aguascalientes","X",01,-16.01460071
2018,"Aguascalientes","X",01,12.03087918
2020,"Baja California","Total",02,6.947905139
2018,"Baja California","Total",02,-7.77887054
2020,"Baja California","I",02,-3.723133891
2018,"Baja California","I",02,1.2123532059999997
2020,"Baja California","II",02,2.915161671
2018,"Baja California","II",02,-0.45343087600000004
2020,"Baja California","III",02,5.609818922
2018,"Baja California","III",02,-4.284895571
2020,"Baja California","IV",02,5.818020334
2018,"Baja California","IV",02,-4.961917102
2020,"Baja California","V",02,4.951844873
2018,"Baja California","V",02,-4.480474563999999
2020,"Baja California","VI",02,3.909087482
2018,"Baja California","VI",02,-4.684447972
2020,"Baja California","VII",02,2.71125134
2018,"Baja California","VII",02,-4.198240488
2020,"Baja California","VIII",02,0.969492288
2018,"Baja California","VIII",02,-3.633602167
2020,"Baja California","IX",02,-1.883722247
2018,"Baja California","IX",02,-2.535973558
2020,"Baja California","X",02,19.3548675
2018,"Baja California","X",02,-16.901836720000002
2020,"Baja California Sur","Total",03,-12.8039337
