Year,Value
2021,276.532662839278
2020,1371.74633529914
2019,3531.42798283467
2018,840.37198074963
2017,16051.2084616501
2016,4470.03822791218
2015,2363.50210944267
2014,1179.91078589421
2013,2677.32890622587
2012,877.397778911135
2011,1534.72768725286
2010,1743.05572464835
2009,493.56862811678
2008,1349.982297687
2007,2787.3156067799
2006,504.793765548261
2005,771.590293254443
2004,114.788295395607
2003,1125.70399829771
2002,7136.30412145884
2001,167.893798313091
2000,50.1061436534764
