Year,Value
2022,10.9436898759147
2021,10.9365627591473
2020,10.8799745618835
2019,10.8799745618835
2018,10.8799745618835
2017,10.8799745618835
2016,10.7698026853325
2015,10.5622978351893
2014,10.5576518994591
2013,10.5576518994591
2012,10.5576518994591
2011,10.5540615768374
2010,10.5540615768374
2009,10.4859206210627
2008,10.012981370665
2007,9.98533985109768
2006,9.72954157429208
2005,9.72954157429208
2004,9.35917089659561
2003,9.35917089659561
2002,9.35592387400573
2001,9.35057875914731
2000,9.35057875914731
1999,9.11008063633471
1998,8.99741306522431
1997,8.66115911676742
1996,8.4658972904868
1995,8.4072270009545
1994,8.26316008399618
1993,7.55423366719695
1992,6.97652027744194
1991,6.78116222717149
1990,6.77808776328349
