Year,Value
2022,8708435.63
2021,8643581.52
2020,8643581.52
2019,8643581.52
2018,8643581.52
2017,8643581.52
2016,8643581.52
2015,8643581.52
2014,8643581.52
2013,8643581.52
2012,8636259.58
2011,8588171.63
2010,8579802.08
2009,8382070.16
2008,8118862.46
2007,5317878.43
2006,5263912.45
2005,5251233.19
2004,5101458.64
2003,1881789.78
2002,1103975.65
2001,1103975.65
2000,1103975.65
1999,1042268.82
1998,1042268.82
1997,1042268.82
1996,1042268.82
1995,647400.82
1994,60347.82
1993,60347.82
1992,60347.82
1991,60347.82
1990,60347.82
1989,60347.82
1988,60347.82
1987,60347.82
1986,60347.82
