Year,"Grupo taxonómico",Value
2018,"Algas",0.0408413314274045
2017,"Algas",0.0408413314274045
2016,"Algas",0.0402982067298005
2015,"Algas",0.0400962309542903
2014,"Algas",0.0405597241938755
2013,"Algas",0.0406586704614759
2012,"Algas",0.0534188034188034
2011,"Algas",0.0534188034188034
2010,"Algas",0.0405597241938755
2018,"Anfibios",49.616368286445
2017,"Anfibios",49.616368286445
2016,"Anfibios",49.871465295629804
2015,"Anfibios",49.238578680203
2014,"Anfibios",50.918635170603714
2013,"Anfibios",50.78534031413611
2012,"Anfibios",51.0526315789474
2011,"Anfibios",51.0526315789474
2010,"Anfibios",50.918635170603714
2018,"Aves",35.3471596032462
2017,"Aves",35.3471596032462
2016,"Aves",35.4430379746835
2015,"Aves",35
2014,"Aves",35.3153153153153
2013,"Aves",36.4990689013035
2012,"Aves",35.7664233576642
2011,"Aves",35.7664233576642
2010,"Aves",35.3153153153153
2018,"Briofitas",0.42704626334519596
2017,"Briofitas",
2016,"Briofitas",
2015,"Briofitas",0.37014188772362705
2014,"Briofitas",0.371287128712871
2013,"Briofitas",0.38143674507310904
2012,"Briofitas",0.4000000000000001
2011,"Briofitas",0.401875418620228
2010,"Briofitas",0.371287128712871
2018,"Gimnospermas y Angiospermas",3.71428571428571
2017,"Gimnospermas y Angiospermas",3.71428571428571
2016,"Gimnospermas y Angiospermas",3.7471373292268795
2015,"Gimnospermas y Angiospermas",3.61771881671241
2014,"Gimnospermas y Angiospermas",3.6260125324774592
2013,"Gimnospermas y Angiospermas",3.7492098609355202
2012,"Gimnospermas y Angiospermas",4.08172043010753
2011,"Gimnospermas y Angiospermas",4.19874347402885
2010,"Gimnospermas y Angiospermas",3.6260125324774592
2018,"Hongos",1.0281627179257902
2017,"Hongos",1.0281627179257902
2016,"Hongos",1.02747375474648
2015,"Hongos",1.02747375474648
2014,"Hongos",0.174559805707347
2013,"Hongos",1.07426436244745
2012,"Hongos",2.10815765352887
2011,"Hongos",2.10815765352887
2010,"Hongos",1.02770330652368
2018,"Invertebrados",
2017,"Invertebrados",
2016,"Invertebrados",
2015,"Invertebrados",
2014,"Invertebrados",
2013,"Invertebrados",1.25
2012,"Invertebrados",2.07363520947947
2011,"Invertebrados",2.07363520947947
2010,"Invertebrados",
2018,"Mamíferos",53.296703296703306
2017,"Mamíferos",53.296703296703306
2016,"Mamíferos",53.296703296703306
2015,"Mamíferos",51.6873889875666
2014,"Mamíferos",52.3381294964029
2013,"Mamíferos",53.0054644808743
2012,"Mamíferos",54.699248120300695
2011,"Mamíferos",54.699248120300695
2010,"Mamíferos",52.3381294964029
2018,"Peces",7.330219187926699
2017,"Peces",7.330219187926699
2016,"Peces",7.335490830636459
2015,"Peces",7.15538407576289
2014,"Peces",7.33285406182602
2013,"Peces",7.348703170028821
2012,"Peces",7.51104565537555
2011,"Peces",7.51104565537555
2010,"Peces",7.33285406182602
2018,"Pteridofitas",2.59965337954939
2017,"Pteridofitas",2.59965337954939
2016,"Pteridofitas",2.615518744551
2015,"Pteridofitas",2.59291270527226
2014,"Pteridofitas",2.60869565217391
2013,"Pteridofitas",2.64783759929391
2012,"Pteridofitas",2.72232304900181
2011,"Pteridofitas",2.7598896044158203
2010,"Pteridofitas",2.60869565217391
2018,"Reptiles",49.497206703910614
2017,"Reptiles",49.497206703910614
2016,"Reptiles",49.94363021420521
2015,"Reptiles",47.840172786177085
2014,"Reptiles",50.0564971751412
2013,"Reptiles",51.15473441108541
2012,"Reptiles",55.0995024875622
2011,"Reptiles",55.0995024875622
2010,"Reptiles",50.0564971751412
