Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,6.443657280000016
2020,"Estados Unidos Mexicanos","Total",00,6.590297933999985
2019,"Estados Unidos Mexicanos","Total",00,7.9803627565882165
2018,"Estados Unidos Mexicanos","Total",00,9.248042367520235
2017,"Estados Unidos Mexicanos","Total",00,9.72099857525486
2016,"Estados Unidos Mexicanos","Total",00,8.856306395533592
2015,"Estados Unidos Mexicanos","Total",00,9.034259442189498
2021,"Estados Unidos Mexicanos","Hombres",00,7.530007584000008
2020,"Estados Unidos Mexicanos","Hombres",00,7.610244605000018
2019,"Estados Unidos Mexicanos","Hombres",00,9.120601643726019
2018,"Estados Unidos Mexicanos","Hombres",00,10.3677200824728
2017,"Estados Unidos Mexicanos","Hombres",00,11.238093719333003
2016,"Estados Unidos Mexicanos","Hombres",00,10.413943402759513
2015,"Estados Unidos Mexicanos","Hombres",00,10.675468905403017
2021,"Estados Unidos Mexicanos","Mujeres",00,5.510980336999989
2020,"Estados Unidos Mexicanos","Mujeres",00,5.7041466990000025
2019,"Estados Unidos Mexicanos","Mujeres",00,6.993094412827994
2018,"Estados Unidos Mexicanos","Mujeres",00,8.256198456802501
2017,"Estados Unidos Mexicanos","Mujeres",00,8.391225038069054
2016,"Estados Unidos Mexicanos","Mujeres",00,7.481483285163198
2015,"Estados Unidos Mexicanos","Mujeres",00,7.595574521055458
2021,"Aguascalientes","Total",01,4.1075599609999935
2020,"Aguascalientes","Total",01,4.456512282000001
2019,"Aguascalientes","Total",01,5.9066451224129715
2018,"Aguascalientes","Total",01,4.892604878829158
2017,"Aguascalientes","Total",01,6.332191652778048
2016,"Aguascalientes","Total",01,5.1149800306366595
2015,"Aguascalientes","Total",01,5.211498622876845
2021,"Aguascalientes","Hombres",01,5.553741711000003
2020,"Aguascalientes","Hombres",01,5.88968581100001
2019,"Aguascalientes","Hombres",01,6.398602514925833
2018,"Aguascalientes","Hombres",01,4.882759431017908
2017,"Aguascalientes","Hombres",01,9.191878792997638
2016,"Aguascalientes","Hombres",01,6.042079592709191
2015,"Aguascalientes","Hombres",01,6.000932153963308
2021,"Aguascalientes","Mujeres",01,2.988540993
2020,"Aguascalientes","Mujeres",01,3.2468925530000057
2019,"Aguascalientes","Mujeres",01,5.474421111473973
2018,"Aguascalientes","Mujeres",01,4.900786184310891
2017,"Aguascalientes","Mujeres",01,3.9342507071944386
2016,"Aguascalientes","Mujeres",01,4.271719822900932
2015,"Aguascalientes","Mujeres",01,4.524447577186255
2021,"Baja California","Total",02,4.192246635999994
2020,"Baja California","Total",02,3.6699817489999913
2019,"Baja California","Total",02,5.251130497321239
2018,"Baja California","Total",02,6.207382365610112
2017,"Baja California","Total",02,5.998765027405731
2016,"Baja California","Total",02,5.910886221166047
2015,"Baja California","Total",02,4.044123425153043
2021,"Baja California","Hombres",02,5.6504899660000065
2020,"Baja California","Hombres",02,3.309393361999995
2019,"Baja California","Hombres",02,6.480377635222309
2018,"Baja California","Hombres",02,7.490908972500189
2017,"Baja California","Hombres",02,6.005166956876305
2016,"Baja California","Hombres",02,6.7875334783823
2015,"Baja California","Hombres",02,4.833680016612638
2021,"Baja California","Mujeres",02,2.8769918849999967
2020,"Baja California","Mujeres",02,4.012159055999987
2019,"Baja California","Mujeres",02,4.0659817041882285
2018,"Baja California","Mujeres",02,5.034143597322097
2017,"Baja California","Mujeres",02,5.992850785819203
2016,"Baja California","Mujeres",02,5.043538081455304
2015,"Baja California","Mujeres",02,3.3438429181266964
2021,"Baja California Sur","Total",03,1.9956080700000025
2020,"Baja California Sur","Total",03,2.158938559999998
2019,"Baja California Sur","Total",03,2.1851566777492972
2018,"Baja California Sur","Total",03,3.252036594389906
2017,"Baja California Sur","Total",03,2.2151708760344793
2016,"Baja California Sur","Total",03,2.2652706616172873
2015,"Baja California Sur","Total",03,2.7678038766670006
2021,"Baja California Sur","Hombres",03,2.412617078999997
2020,"Baja California Sur","Hombres",03,2.425639561000001
2019,"Baja California Sur","Hombres",03,2.754420824490616
2018,"Baja California Sur","Hombres",03,4.507174496922929
2017,"Baja California Sur","Hombres",03,2.383693584280474
2016,"Baja California Sur","Hombres",03,2.575400316734124
2015,"Baja California Sur","Hombres",03,3.6375690127374622
2021,"Baja California Sur","Mujeres",03,1.5811283189999963
2020,"Baja California Sur","Mujeres",03,1.8883933650000053
2019,"Baja California Sur","Mujeres",03,1.6320604763513915
2018,"Baja California Sur","Mujeres",03,1.8756916525417766
2017,"Baja California Sur","Mujeres",03,2.0541305667642646
2016,"Baja California Sur","Mujeres",03,1.947107139633543
2015,"Baja California Sur","Mujeres",03,1.8573714667091397
2021,"Campeche","Total",04,2.179394519
2020,"Campeche","Total",04,2.9837414799999955
2019,"Campeche","Total",04,2.895397098469195
2018,"Campeche","Total",04,4.585023506212099
2017,"Campeche","Total",04,5.1901881331856075
2016,"Campeche","Total",04,4.112440701789623
2015,"Campeche","Total",04,4.001676128336211
2021,"Campeche","Hombres",04,2.192651256999997
2020,"Campeche","Hombres",04,3.312414229000008
2019,"Campeche","Hombres",04,3.05044209084042
2018,"Campeche","Hombres",04,4.272702839908007
2017,"Campeche","Hombres",04,6.486634489257911
2016,"Campeche","Hombres",04,4.400442183817507
2015,"Campeche","Hombres",04,5.138745482705199
2021,"Campeche","Mujeres",04,2.1669860730000017
2020,"Campeche","Mujeres",04,2.6646828489999956
2019,"Campeche","Mujeres",04,2.753701369303997
2018,"Campeche","Mujeres",04,4.900067776187975
2017,"Campeche","Mujeres",04,3.9404346478345924
2016,"Campeche","Mujeres",04,3.8424010675194
2015,"Campeche","Mujeres",04,2.8755943555396475
2021,"Coahuila de Zaragoza","Total",05,2.5004659440000023
2020,"Coahuila de Zaragoza","Total",05,3.673423345999994
2019,"Coahuila de Zaragoza","Total",05,3.4094569319234034
2018,"Coahuila de Zaragoza","Total",05,3.5688383756933044
2017,"Coahuila de Zaragoza","Total",05,4.532870991053362
2016,"Coahuila de Zaragoza","Total",05,3.8433454474839017
2015,"Coahuila de Zaragoza","Total",05,3.5512880533397033
2021,"Coahuila de Zaragoza","Hombres",05,2.488216684999998
2020,"Coahuila de Zaragoza","Hombres",05,3.9481733690000054
2019,"Coahuila de Zaragoza","Hombres",05,3.6312299158173986
2018,"Coahuila de Zaragoza","Hombres",05,3.7819494513817595
2017,"Coahuila de Zaragoza","Hombres",05,5.18920336804554
2016,"Coahuila de Zaragoza","Hombres",05,4.56793340762681
2015,"Coahuila de Zaragoza","Hombres",05,3.5463003746548774
2021,"Coahuila de Zaragoza","Mujeres",05,2.5118468680000015
2020,"Coahuila de Zaragoza","Mujeres",05,3.4282657699999968
2019,"Coahuila de Zaragoza","Mujeres",05,3.211444179917787
2018,"Coahuila de Zaragoza","Mujeres",05,3.3725879515103947
2017,"Coahuila de Zaragoza","Mujeres",05,3.960123168428152
2016,"Coahuila de Zaragoza","Mujeres",05,3.1647601122090956
2015,"Coahuila de Zaragoza","Mujeres",05,3.556031373469863
2021,"Colima","Total",06,2.478054516999998
2020,"Colima","Total",06,2.123737973000003
2019,"Colima","Total",06,3.3482649528997834
2018,"Colima","Total",06,2.5022668429159802
2017,"Colima","Total",06,2.976323791230263
2016,"Colima","Total",06,3.041979509703352
2015,"Colima","Total",06,2.334353426802357
2021,"Colima","Hombres",06,3.265988445000004
2020,"Colima","Hombres",06,2.469780082
2019,"Colima","Hombres",06,3.8435963228305345
2018,"Colima","Hombres",06,2.5889221205945363
2017,"Colima","Hombres",06,3.7164167134493487
2016,"Colima","Hombres",06,3.9554807554063247
2015,"Colima","Hombres",06,2.9536769783031027
2021,"Colima","Mujeres",06,1.7739447970000044
2020,"Colima","Mujeres",06,1.799714768000001
2019,"Colima","Mujeres",06,2.9054047245575663
2018,"Colima","Mujeres",06,2.4217819904547473
2017,"Colima","Mujeres",06,2.3111742192173783
2016,"Colima","Mujeres",06,2.2788530491272856
2015,"Colima","Mujeres",06,1.8047522820709438
2021,"Chiapas","Total",07,3.2541417279999942
2020,"Chiapas","Total",07,4.08611675700001
2019,"Chiapas","Total",07,2.7670550094874984
2018,"Chiapas","Total",07,4.470886735261997
2017,"Chiapas","Total",07,4.8316116333647745
2016,"Chiapas","Total",07,4.399912165909654
2015,"Chiapas","Total",07,3.762466793145222
2021,"Chiapas","Hombres",07,3.969569906000003
2020,"Chiapas","Hombres",07,5.647672787
2019,"Chiapas","Hombres",07,2.713003621246624
2018,"Chiapas","Hombres",07,5.766968284386889
2017,"Chiapas","Hombres",07,5.446012666859257
2016,"Chiapas","Hombres",07,5.392746113989646
2015,"Chiapas","Hombres",07,4.8214828453146374
2021,"Chiapas","Mujeres",07,2.683480776000006
2020,"Chiapas","Mujeres",07,2.842479213999997
2019,"Chiapas","Mujeres",07,2.8158716558548957
2018,"Chiapas","Mujeres",07,3.394002916267295
2017,"Chiapas","Mujeres",07,4.301075868935643
2016,"Chiapas","Mujeres",07,3.5606728917878865
2015,"Chiapas","Mujeres",07,2.7889144628793985
2021,"Chihuahua","Total",08,3.096877500000004
2020,"Chihuahua","Total",08,3.339500095999996
2019,"Chihuahua","Total",08,2.9780733889944226
2018,"Chihuahua","Total",08,3.9805935905581613
2017,"Chihuahua","Total",08,4.422993732262271
2016,"Chihuahua","Total",08,4.135297146782832
2015,"Chihuahua","Total",08,4.25632919523002
2021,"Chihuahua","Hombres",08,4.046108507999989
