Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,6.409933303000002
2020,"Estados Unidos Mexicanos","Total",00,6.59879984157377
2019,"Estados Unidos Mexicanos","Total",00,7.315991569019185
2018,"Estados Unidos Mexicanos","Total",00,7.999389278612291
2017,"Estados Unidos Mexicanos","Total",00,7.768651034509624
2016,"Estados Unidos Mexicanos","Total",00,7.812106042834079
2015,"Estados Unidos Mexicanos","Total",00,7.420128997401636
2021,"Estados Unidos Mexicanos","Hombres",00,5.041415828000014
2020,"Estados Unidos Mexicanos","Hombres",00,5.327465814283188
2019,"Estados Unidos Mexicanos","Hombres",00,6.066550916802466
2018,"Estados Unidos Mexicanos","Hombres",00,7.06239046291376
2017,"Estados Unidos Mexicanos","Hombres",00,6.8498144857059
2016,"Estados Unidos Mexicanos","Hombres",00,6.809870534815525
2015,"Estados Unidos Mexicanos","Hombres",00,6.878872099034661
2021,"Estados Unidos Mexicanos","Mujeres",00,7.584862504000025
2020,"Estados Unidos Mexicanos","Mujeres",00,7.703361727528175
2019,"Estados Unidos Mexicanos","Mujeres",00,8.39781154310995
2018,"Estados Unidos Mexicanos","Mujeres",00,8.829410772555917
2017,"Estados Unidos Mexicanos","Mujeres",00,8.574035279767855
2016,"Estados Unidos Mexicanos","Mujeres",00,8.696713003291272
2015,"Estados Unidos Mexicanos","Mujeres",00,7.894595027237666
2021,"Aguascalientes","Total",01,6.658847981999998
2020,"Aguascalientes","Total",01,5.913993723735083
2019,"Aguascalientes","Total",01,10.056473674948395
2018,"Aguascalientes","Total",01,7.380678876700585
2017,"Aguascalientes","Total",01,8.01457483823674
2016,"Aguascalientes","Total",01,9.992433393033176
2015,"Aguascalientes","Total",01,7.605346366622914
2021,"Aguascalientes","Hombres",01,5.868750211000012
2020,"Aguascalientes","Hombres",01,4.50827190646169
2019,"Aguascalientes","Hombres",01,6.956182639987981
2018,"Aguascalientes","Hombres",01,5.983320237247229
2017,"Aguascalientes","Hombres",01,7.645739297629355
2016,"Aguascalientes","Hombres",01,8.967053359760605
2015,"Aguascalientes","Hombres",01,7.560125204067851
2021,"Aguascalientes","Mujeres",01,7.270205712000005
2020,"Aguascalientes","Mujeres",01,7.100443801056252
2019,"Aguascalientes","Mujeres",01,12.780327908267434
2018,"Aguascalientes","Mujeres",01,8.54184677033857
2017,"Aguascalientes","Mujeres",01,8.323855469872905
