Year,Entidad federativa,"Ocupación carcelaria estatal",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total Estatal",00,106.68699199999999
2020,"Estados Unidos Mexicanos","Total Estatal",00,101.5120569
2019,"Estados Unidos Mexicanos","Total Estatal",00,93.72060486
2018,"Estados Unidos Mexicanos","Total Estatal",00,94.46968494
2017,"Estados Unidos Mexicanos","Total Estatal",00,99.94947581000001
2016,"Estados Unidos Mexicanos","Total Estatal",00,106.1197045
2015,"Estados Unidos Mexicanos","Total Estatal",00,124.57609955
2021,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,109.7920104
2020,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,104.5966508
2019,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,96.54717679
2018,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,97.45744961999999
2017,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,103.8326704
2016,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,110.2417258
2015,"Estados Unidos Mexicanos","Centros penitenciarios estatales",00,128.5817275
2021,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,20.83457972
2020,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,19.84251969
2019,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,20.01677383
2018,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,21.39390671
2017,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,19.3933604
2016,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,22.67662399
2015,"Estados Unidos Mexicanos","Centros de internamiento para adolescentes estatales",00,45.08033306000001
2021,"Aguascalientes","Total Estatal",01,105.3061224
2020,"Aguascalientes","Total Estatal",01,89.18367346999999
2019,"Aguascalientes","Total Estatal",01,78.70461237
2018,"Aguascalientes","Total Estatal",01,64.0240843
2017,"Aguascalientes","Total Estatal",01,58.45459107
2016,"Aguascalientes","Total Estatal",01,64.0240843
2015,"Aguascalientes","Total Estatal",01,105.1201011
2021,"Aguascalientes","Centros penitenciarios estatales",01,109.12527
