Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,83.07039896000002
2019,"Estados Unidos Mexicanos","Total",00,79.83671359999985
2017,"Estados Unidos Mexicanos","Total",00,82.05490579
2015,"Estados Unidos Mexicanos","Total",00,78.02028034999984
2013,"Estados Unidos Mexicanos","Total",00,79.27706221999993
2021,"Estados Unidos Mexicanos","Hombres",00,83.61975691000025
2019,"Estados Unidos Mexicanos","Hombres",00,82.11955594000014
2017,"Estados Unidos Mexicanos","Hombres",00,83.22591122999988
2015,"Estados Unidos Mexicanos","Hombres",00,76.82001083999984
2013,"Estados Unidos Mexicanos","Hombres",00,76.92128216000008
2021,"Estados Unidos Mexicanos","Mujeres",00,82.60611425999993
2019,"Estados Unidos Mexicanos","Mujeres",00,77.6031367100002
2017,"Estados Unidos Mexicanos","Mujeres",00,80.99363298999995
2015,"Estados Unidos Mexicanos","Mujeres",00,78.81946394000006
2013,"Estados Unidos Mexicanos","Mujeres",00,81.46356356999982
2021,"Aguascalientes","Total",01,85.31807603000011
2019,"Aguascalientes","Total",01,90.65619146000009
2017,"Aguascalientes","Total",01,89.45036966000026
2015,"Aguascalientes","Total",01,92.65855569000021
2013,"Aguascalientes","Total",01,83.78740285999994
2021,"Aguascalientes","Hombres",01,88.51468729999998
2019,"Aguascalientes","Hombres",01,92.01362703000021
2017,"Aguascalientes","Hombres",01,87.24003178999988
2015,"Aguascalientes","Hombres",01,95.84383359999994
2013,"Aguascalientes","Hombres",01,84.33721992000014
2021,"Aguascalientes","Mujeres",01,82.23162549999995
2019,"Aguascalientes","Mujeres",01,89.07832290000015
2017,"Aguascalientes","Mujeres",01,91.37975891000002
2015,"Aguascalientes","Mujeres",01,90.42333225000021
2013,"Aguascalientes","Mujeres",01,83.30795361000003
2021,"Baja California","Total",02,76.54683170000014
2019,"Baja California","Total",02,84.91180886999987
2017,"Baja California","Total",02,87.68384365000016
2015,"Baja California","Total",02,77.3593837699999
2013,"Baja California","Total",02,86.65124966999987
2021,"Baja California","Hombres",02,86.59584306000019
2019,"Baja California","Hombres",02,83.71194260000013
2017,"Baja California","Hombres",02,85.40916400999977
2015,"Baja California","Hombres",02,85.48576592999979
2013,"Baja California","Hombres",02,86.3385837499998
2021,"Baja California","Mujeres",02,61.24410532000001
2019,"Baja California","Mujeres",02,86.04092712
2017,"Baja California","Mujeres",02,90.03904646999997
2015,"Baja California","Mujeres",02,72.20715473000013
2013,"Baja California","Mujeres",02,86.94945738999989
2021,"Baja California Sur","Total",03,81.74634531999986
2019,"Baja California Sur","Total",03,88.59836580999998
2017,"Baja California Sur","Total",03,79.57743572999988
2015,"Baja California Sur","Total",03,84.00687875999996
2013,"Baja California Sur","Total",03,81.30015619000004
2021,"Baja California Sur","Hombres",03,80.1052631599998
2019,"Baja California Sur","Hombres",03,92.97603485999988
2017,"Baja California Sur","Hombres",03,76.46968534000005
2015,"Baja California Sur","Hombres",03,88.1256214799998
2013,"Baja California Sur","Hombres",03,76.79273084000005
2021,"Baja California Sur","Mujeres",03,83.86075949000023
2019,"Baja California Sur","Mujeres",03,84.54398709000017
2017,"Baja California Sur","Mujeres",03,83.1920021400001
2015,"Baja California Sur","Mujeres",03,79.56576126000002
2013,"Baja California Sur","Mujeres",03,84.82202820999989
2021,"Campeche","Total",04,71.18415259999993
2019,"Campeche","Total",04,79.14957910999996
2017,"Campeche","Total",04,78.79085113000001
2015,"Campeche","Total",04,77.15519809000014
2013,"Campeche","Total",04,69.56066664999989
2021,"Campeche","Hombres",04,79.47156145000007
2019,"Campeche","Hombres",04,85.87327683999993
2017,"Campeche","Hombres",04,75.76557053000016
2015,"Campeche","Hombres",04,85.56172318000004
2013,"Campeche","Hombres",04,65.01222931000011
2021,"Campeche","Mujeres",04,66.59217368000007
2019,"Campeche","Mujeres",04,74.14588234999991
2017,"Campeche","Mujeres",04,81.50812457999997
2015,"Campeche","Mujeres",04,68.95740174
2013,"Campeche","Mujeres",04,73.28032003000023
2021,"Coahuila de Zaragoza","Total",05,77.49769047999993
2019,"Coahuila de Zaragoza","Total",05,84.41765412000005
2017,"Coahuila de Zaragoza","Total",05,83.6532219799999
2015,"Coahuila de Zaragoza","Total",05,79.10494235999982
2013,"Coahuila de Zaragoza","Total",05,80.16937961000004
2021,"Coahuila de Zaragoza","Hombres",05,90.56534056000002
2019,"Coahuila de Zaragoza","Hombres",05,81.90079515000001
2017,"Coahuila de Zaragoza","Hombres",05,90.29108402000016
2015,"Coahuila de Zaragoza","Hombres",05,71.79308385999984
2013,"Coahuila de Zaragoza","Hombres",05,87.92774573000004
2021,"Coahuila de Zaragoza","Mujeres",05,64.85024585999986
2019,"Coahuila de Zaragoza","Mujeres",05,86.06867858999989
2017,"Coahuila de Zaragoza","Mujeres",05,77.64010710000001
2015,"Coahuila de Zaragoza","Mujeres",05,82.25986182000015
2013,"Coahuila de Zaragoza","Mujeres",05,71.51844401000011
2021,"Colima","Total",06,90.05927952999993
2019,"Colima","Total",06,86.60485372000021
2017,"Colima","Total",06,88.89736602999987
2015,"Colima","Total",06,91.04781281999993
2013,"Colima","Total",06,86.39886130000009
2021,"Colima","Hombres",06,90.19423558999982
2019,"Colima","Hombres",06,89.50319264999979
2017,"Colima","Hombres",06,89.23720783000006
2015,"Colima","Hombres",06,85.79298946000013
2013,"Colima","Hombres",06,90.98335623999994
2021,"Colima","Mujeres",06,89.9498125900002
2019,"Colima","Mujeres",06,84.22365812000008
2017,"Colima","Mujeres",06,88.60776529000017
2015,"Colima","Mujeres",06,95.55358725000025
2013,"Colima","Mujeres",06,82.48835922000016
2021,"Chiapas","Total",07,86.10256409999982
2019,"Chiapas","Total",07,78.89852873000014
2017,"Chiapas","Total",07,76.30908163999995
2015,"Chiapas","Total",07,63.0435618399999
2013,"Chiapas","Total",07,79.08783026000006
2021,"Chiapas","Hombres",07,89.41005697999991
2019,"Chiapas","Hombres",07,79.9679249199999
2017,"Chiapas","Hombres",07,76.6560444799999
2015,"Chiapas","Hombres",07,61.518191479999835
2013,"Chiapas","Hombres",07,79.24935898999989
2021,"Chiapas","Mujeres",07,81.58494362999974
2019,"Chiapas","Mujeres",07,77.41709866000014
2017,"Chiapas","Mujeres",07,76.04770539000008
2015,"Chiapas","Mujeres",07,63.628626140000044
2013,"Chiapas","Mujeres",07,78.90628545
2021,"Chihuahua","Total",08,87.71225824999982
2019,"Chihuahua","Total",08,76.09489720999976
2017,"Chihuahua","Total",08,80.64354897999998
2015,"Chihuahua","Total",08,73.0399993
2013,"Chihuahua","Total",08,80.77912785000007
2021,"Chihuahua","Hombres",08,88.20779817000022
2019,"Chihuahua","Hombres",08,79.39265252000021
2017,"Chihuahua","Hombres",08,81.51079281
2015,"Chihuahua","Hombres",08,70.35044472000006
2013,"Chihuahua","Hombres",08,79.89058576999996
2021,"Chihuahua","Mujeres",08,87.3410400100001
2019,"Chihuahua","Mujeres",08,73.4408261600001
2017,"Chihuahua","Mujeres",08,79.83079526000003
2015,"Chihuahua","Mujeres",08,76.04062140000012
2013,"Chihuahua","Mujeres",08,81.82709090000012
2021,"Ciudad de México","Total",09,83.16496265000019
2019,"Ciudad de México","Total",09,74.83270840000009
2017,"Ciudad de México","Total",09,79.22335492999993
2015,"Ciudad de México","Total",09,81.85622146999978
2013,"Ciudad de México","Total",09,83.21755343999997
2021,"Ciudad de México","Hombres",09,83.97054709999988
2019,"Ciudad de México","Hombres",09,76.01049108000005
2017,"Ciudad de México","Hombres",09,83.44418125000013
2015,"Ciudad de México","Hombres",09,85.7380260000002
2013,"Ciudad de México","Hombres",09,78.1013878800002
2021,"Ciudad de México","Mujeres",09,82.40513651000019
2019,"Ciudad de México","Mujeres",09,73.73259415000012
2017,"Ciudad de México","Mujeres",09,75.81372236999981
2015,"Ciudad de México","Mujeres",09,79.28643571000003
2013,"Ciudad de México","Mujeres",09,86.60224786000006
2021,"Durango","Total",10,87.51770865000006
2019,"Durango","Total",10,84.53666732
2017,"Durango","Total",10,87.84604419000006
2015,"Durango","Total",10,77.04700859999988
2013,"Durango","Total",10,89.84033278999976
2021,"Durango","Hombres",10,87.61957194999988
2019,"Durango","Hombres",10,79.18006606999992
2017,"Durango","Hombres",10,89.13128273999986
2015,"Durango","Hombres",10,78.95180849999998
2013,"Durango","Hombres",10,97.02225632999992
2021,"Durango","Mujeres",10,87.43519706000005
2019,"Durango","Mujeres",10,89.86529128999986
2017,"Durango","Mujeres",10,86.49950376999983
2015,"Durango","Mujeres",10,75.87615055999979
2013,"Durango","Mujeres",10,85.08111681999985
2021,"Guanajuato","Total",11,93.74908852000027
2019,"Guanajuato","Total",11,81.89006736000009
2017,"Guanajuato","Total",11,90.35537535000002
2015,"Guanajuato","Total",11,92.48929065999987
2013,"Guanajuato","Total",11,80.02771140000003
2021,"Guanajuato","Hombres",11,97.25381679000016
2019,"Guanajuato","Hombres",11,90.11918798999982
2017,"Guanajuato","Hombres",11,90.40787362999986
2015,"Guanajuato","Hombres",11,100
2013,"Guanajuato","Hombres",11,76.37288058000009
2021,"Guanajuato","Mujeres",11,90.54473758
2019,"Guanajuato","Mujeres",11,74.46168894000019
2017,"Guanajuato","Mujeres",11,90.30629903000028
2015,"Guanajuato","Mujeres",11,89.36144108000006
2013,"Guanajuato","Mujeres",11,82.85795728000012
2021,"Guerrero","Total",12,70.57625276999994
2019,"Guerrero","Total",12,66.18094016000013
2017,"Guerrero","Total",12,80.45222567000015
2015,"Guerrero","Total",12,63.0192853600001
2013,"Guerrero","Total",12,69.5138567800002
2021,"Guerrero","Hombres",12,71.1503318300001
2019,"Guerrero","Hombres",12,69.65248651999995
2017,"Guerrero","Hombres",12,80.55127087000002
2015,"Guerrero","Hombres",12,60.37067812999995
2013,"Guerrero","Hombres",12,66.81039598000005
2021,"Guerrero","Mujeres",12,69.60907434
2019,"Guerrero","Mujeres",12,62.607086560000184
2017,"Guerrero","Mujeres",12,80.38204757000005
2015,"Guerrero","Mujeres",12,64.56749450999997
2013,"Guerrero","Mujeres",12,70.71452415000016
2021,"Hidalgo","Total",13,79.7171475900001
2019,"Hidalgo","Total",13,86.29167689000005
2017,"Hidalgo","Total",13,88.25157011999977
2015,"Hidalgo","Total",13,77.00968787999976
2013,"Hidalgo","Total",13,78.48167058999996
2021,"Hidalgo","Hombres",13,75.55281949999997
2019,"Hidalgo","Hombres",13,87.2104899
2017,"Hidalgo","Hombres",13,91.40258456999986
2015,"Hidalgo","Hombres",13,78.93564198999977
2013,"Hidalgo","Hombres",13,72.8025128400002
2021,"Hidalgo","Mujeres",13,84.8312568000001
2019,"Hidalgo","Mujeres",13,85.06006005999986
2017,"Hidalgo","Mujeres",13,84.64689265999985
2015,"Hidalgo","Mujeres",13,76.13425926000006
2013,"Hidalgo","Mujeres",13,87.48616600999976
2021,"Jalisco","Total",14,86.59608315999995
2019,"Jalisco","Total",14,68.89306446000023
2017,"Jalisco","Total",14,85.57467369000004
2015,"Jalisco","Total",14,77.04743023000005
2013,"Jalisco","Total",14,68.42120412999994
2021,"Jalisco","Hombres",14,86.50451713999986
2019,"Jalisco","Hombres",14,74.54707136999986
2017,"Jalisco","Hombres",14,84.57584182999993
2015,"Jalisco","Hombres",14,75.88448170999986
2013,"Jalisco","Hombres",14,67.84102184000017
2021,"Jalisco","Mujeres",14,86.6674475700001
2019,"Jalisco","Mujeres",14,60.546060339999904
2017,"Jalisco","Mujeres",14,87.01058765000012
2015,"Jalisco","Mujeres",14,78.04870524999995
2013,"Jalisco","Mujeres",14,69.03711065999983
2021,"México","Total",15,92.24452912999979
2019,"México","Total",15,76.78946938999985
2017,"México","Total",15,82.62644499999992
2015,"México","Total",15,75.95409294999992
2013,"México","Total",15,79.11209214999994
2021,"México","Hombres",15,93.07956159000007
2019,"México","Hombres",15,84.43024911000006
2017,"México","Hombres",15,87.64878719000012
2015,"México","Hombres",15,69.22413762999993
2013,"México","Hombres",15,70.83015795000011
2021,"México","Mujeres",15,91.81754652000014
2019,"México","Mujeres",15,67.98354345000006
2017,"México","Mujeres",15,78.76405979000006
2015,"México","Mujeres",15,79.41901316999989
2013,"México","Mujeres",15,87.92381784999999
2021,"Michoacán de Ocampo","Total",16,60.633350690000036
2019,"Michoacán de Ocampo","Total",16,73.57601944000007
2017,"Michoacán de Ocampo","Total",16,87.11758150000003
2015,"Michoacán de Ocampo","Total",16,65.7839275400001
2013,"Michoacán de Ocampo","Total",16,65.47087412000013
2021,"Michoacán de Ocampo","Hombres",16,53.43715477000002
2019,"Michoacán de Ocampo","Hombres",16,65.72327044000012
2017,"Michoacán de Ocampo","Hombres",16,83.95831553999979
2015,"Michoacán de Ocampo","Hombres",16,63.539608250000086
2013,"Michoacán de Ocampo","Hombres",16,68.30556761000005
2021,"Michoacán de Ocampo","Mujeres",16,67.46254522999989
2019,"Michoacán de Ocampo","Mujeres",16,80.00078559000013
2017,"Michoacán de Ocampo","Mujeres",16,93.04664957000018
2015,"Michoacán de Ocampo","Mujeres",16,67.05655704000016
2013,"Michoacán de Ocampo","Mujeres",16,62.36889917000006
2021,"Morelos","Total",17,72.65463507999995
2019,"Morelos","Total",17,82.32238678000007
2017,"Morelos","Total",17,76.82140712
2015,"Morelos","Total",17,69.55545901999999
2013,"Morelos","Total",17,78.6554778600001
2021,"Morelos","Hombres",17,70.20009369000014
2019,"Morelos","Hombres",17,89.97970257999991
2017,"Morelos","Hombres",17,70.51916657000017
2015,"Morelos","Hombres",17,67.21946733999995
2013,"Morelos","Hombres",17,86.43205243999981
2021,"Morelos","Mujeres",17,73.69165088000024
2019,"Morelos","Mujeres",17,74.0879326499999
2017,"Morelos","Mujeres",17,84.98081151000024
2015,"Morelos","Mujeres",17,71.39786060000004
2013,"Morelos","Mujeres",17,72.73145409999982
2021,"Nayarit","Total",18,90.27505478000005
2019,"Nayarit","Total",18,82.63810041000019
2017,"Nayarit","Total",18,84.74742666999988
2015,"Nayarit","Total",18,83.78598387000001
2013,"Nayarit","Total",18,86.79565686999989
2021,"Nayarit","Hombres",18,91.25089094999993
2019,"Nayarit","Hombres",18,90.62110792000017
2017,"Nayarit","Hombres",18,77.70659832999992
2015,"Nayarit","Hombres",18,89.06749901999994
2013,"Nayarit","Hombres",18,82.58615102
2021,"Nayarit","Mujeres",18,89.35454953000027
2019,"Nayarit","Mujeres",18,75.9513766
2017,"Nayarit","Mujeres",18,92.09998176000028
2015,"Nayarit","Mujeres",18,79.02329181999995
2013,"Nayarit","Mujeres",18,90.625
2021,"Nuevo León","Total",19,81.24837214999995
2019,"Nuevo León","Total",19,91.37302081000001
2017,"Nuevo León","Total",19,89.61398575000017
2015,"Nuevo León","Total",19,82.49545998000016
2013,"Nuevo León","Total",19,89.14843036999993
2021,"Nuevo León","Hombres",19,79.73489220000009
2019,"Nuevo León","Hombres",19,89.79951939999972
2017,"Nuevo León","Hombres",19,83.50209342000012
2015,"Nuevo León","Hombres",19,77.64988531999994
2013,"Nuevo León","Hombres",19,88.20080348000009
2021,"Nuevo León","Mujeres",19,82.80558838000002
2019,"Nuevo León","Mujeres",19,92.57823798000014
2017,"Nuevo León","Mujeres",19,93.08758092999977
2015,"Nuevo León","Mujeres",19,86.98647674000003
2013,"Nuevo León","Mujeres",19,89.90550559999987
2021,"Oaxaca","Total",20,56.87301544000001
2019,"Oaxaca","Total",20,59.2192064399999
2017,"Oaxaca","Total",20,53.56722310999997
2015,"Oaxaca","Total",20,43.69495232000006
2013,"Oaxaca","Total",20,45.76973583000009
2021,"Oaxaca","Hombres",20,50.11158223999997
2019,"Oaxaca","Hombres",20,58.91018413999993
2017,"Oaxaca","Hombres",20,56.556475420000154
2015,"Oaxaca","Hombres",20,22.811041039999974
2013,"Oaxaca","Hombres",20,31.391755969999945
2021,"Oaxaca","Mujeres",20,63.277492999999836
2019,"Oaxaca","Mujeres",20,59.54706749999989
2017,"Oaxaca","Mujeres",20,49.11645547999986
2015,"Oaxaca","Mujeres",20,56.00231694000008
2013,"Oaxaca","Mujeres",20,61.272372849999805
2021,"Puebla","Total",21,76.02292847999996
2019,"Puebla","Total",21,72.9816617300001
2017,"Puebla","Total",21,83.42780267
2015,"Puebla","Total",21,76.79419880999998
2013,"Puebla","Total",21,82.71615695000018
2021,"Puebla","Hombres",21,83.17020287999985
2019,"Puebla","Hombres",21,79.15157897
2017,"Puebla","Hombres",21,87.41350760000019
2015,"Puebla","Hombres",21,78.03161556000003
2013,"Puebla","Hombres",21,86.1073381
2021,"Puebla","Mujeres",21,70.29549374999992
2019,"Puebla","Mujeres",21,65.3473376299999
2017,"Puebla","Mujeres",21,80.00659931999995
2015,"Puebla","Mujeres",21,75.98834972
2013,"Puebla","Mujeres",21,79.07959361000013
2021,"Querétaro","Total",22,84.58510270000009
2019,"Querétaro","Total",22,87.6730291099999
2017,"Querétaro","Total",22,76.51113539000002
2015,"Querétaro","Total",22,82.3952341800001
2013,"Querétaro","Total",22,75.38684982000005
2021,"Querétaro","Hombres",22,81.26029510000008
2019,"Querétaro","Hombres",22,86.27412210999992
2017,"Querétaro","Hombres",22,79.92674451000006
2015,"Querétaro","Hombres",22,87.0622205700001
2013,"Querétaro","Hombres",22,62.982802370000115
2021,"Querétaro","Mujeres",22,88.1872721700001
2019,"Querétaro","Mujeres",22,90.01090440000006
2017,"Querétaro","Mujeres",22,73.92510073000003
2015,"Querétaro","Mujeres",22,79.1046409800001
2013,"Querétaro","Mujeres",22,86.9038270199999
2021,"Quintana Roo","Total",23,67.52732217999989
2019,"Quintana Roo","Total",23,78.40981337999987
2017,"Quintana Roo","Total",23,73.30488322000014
2015,"Quintana Roo","Total",23,76.08706418000003
2013,"Quintana Roo","Total",23,87.05851303
2021,"Quintana Roo","Hombres",23,58.9259620100001
2019,"Quintana Roo","Hombres",23,81.4621409899999
2017,"Quintana Roo","Hombres",23,74.62443085999989
2015,"Quintana Roo","Hombres",23,82.97872339999977
2013,"Quintana Roo","Hombres",23,81.01828706999987
2021,"Quintana Roo","Mujeres",23,78.10172536000013
2019,"Quintana Roo","Mujeres",23,75.97201667999985
