Year,Entidad federativa,"Sexo","Grupos de edad en plazas del Poder judicial",GeoCode,Value
2020,"Poder judicial de la federación","Total","Total",8101000,1
2019,"Poder judicial de la federación","Total","Total",8101000,1
2020,"Poder judicial de la federación","Total","De 18 a 24 años",8101000,0
2019,"Poder judicial de la federación","Total","De 18 a 24 años",8101000,0
2020,"Poder judicial de la federación","Total","De 25 a 34 años",8101000,0.018999915618872
2019,"Poder judicial de la federación","Total","De 25 a 34 años",8101000,0.010866099806527
2020,"Poder judicial de la federación","Total","De 35 a 44 años",8101000,1.0545940744976898
2019,"Poder judicial de la federación","Total","De 35 a 44 años",8101000,1.14283079520367
2020,"Poder judicial de la federación","Total","De 45 a 54 años",8101000,2.10635273936531
2019,"Poder judicial de la federación","Total","De 45 a 54 años",8101000,2.02502616446928
2020,"Poder judicial de la federación","Total","De 55 a 59 años",8101000,2.4763792785862795
2019,"Poder judicial de la federación","Total","De 55 a 59 años",8101000,2.60811450217104
2020,"Poder judicial de la federación","Total","De 60 años y más",8101000,2.085185447914
2019,"Poder judicial de la federación","Total","De 60 años y más",8101000,2.06397568599788
2020,"Poder judicial de la federación","Hombres","Total",8101000,1.60061417156461
2019,"Poder judicial de la federación","Hombres","Total",8101000,1.61855976952395
2020,"Poder judicial de la federación","Hombres","De 18 a 24 años",8101000,0
2019,"Poder judicial de la federación","Hombres","De 18 a 24 años",8101000,0
2020,"Poder judicial de la federación","Hombres","De 25 a 34 años",8101000,0.017173834675204
2019,"Poder judicial de la federación","Hombres","De 25 a 34 años",8101000,0.003411197763084
2020,"Poder judicial de la federación","Hombres","De 35 a 44 años",8101000,1.0314490603932602
2019,"Poder judicial de la federación","Hombres","De 35 a 44 años",8101000,1.1449061303190098
2020,"Poder judicial de la federación","Hombres","De 45 a 54 años",8101000,2.1699869560515306
2019,"Poder judicial de la federación","Hombres","De 45 a 54 años",8101000,2.1030135863816
2020,"Poder judicial de la federación","Hombres","De 55 a 59 años",8101000,2.58872545500107
2019,"Poder judicial de la federación","Hombres","De 55 a 59 años",8101000,2.61570675848883
2020,"Poder judicial de la federación","Hombres","De 60 años y más",8101000,2.1697674641725
2019,"Poder judicial de la federación","Hombres","De 60 años y más",8101000,2.1494821106049105
2020,"Poder judicial de la federación","Mujeres","Total",8101000,0.43737337558136413
2019,"Poder judicial de la federación","Mujeres","Total",8101000,0.42091078109638197
2020,"Poder judicial de la federación","Mujeres","De 18 a 24 años",8101000,0
2019,"Poder judicial de la federación","Mujeres","De 18 a 24 años",8101000,0
2020,"Poder judicial de la federación","Mujeres","De 25 a 34 años",8101000,0.024514879800126003
2019,"Poder judicial de la federación","Mujeres","De 25 a 34 años",8101000,0.038114808259987
2020,"Poder judicial de la federación","Mujeres","De 35 a 44 años",8101000,1.19575937604965
2019,"Poder judicial de la federación","Mujeres","De 35 a 44 años",8101000,1.2139816585781
2020,"Poder judicial de la federación","Mujeres","De 45 a 54 años",8101000,1.99159476624928
2019,"Poder judicial de la federación","Mujeres","De 45 a 54 años",8101000,1.83606221168138
2020,"Poder judicial de la federación","Mujeres","De 55 a 59 años",8101000,2.20835993124418
2019,"Poder judicial de la federación","Mujeres","De 55 a 59 años",8101000,2.6906224223503505
2020,"Poder judicial de la federación","Mujeres","De 60 años y más",8101000,1.9694143279028897
2019,"Poder judicial de la federación","Mujeres","De 60 años y más",8101000,1.93471167268421
2020,"Poder judicial estatal","Total","Total",8102000,1
2019,"Poder judicial estatal","Total","Total",8102000,1
2020,"Poder judicial estatal","Total","De 18 a 24 años",8102000,0.021680007413349
2019,"Poder judicial estatal","Total","De 18 a 24 años",8102000,0.025660332538777
2020,"Poder judicial estatal","Total","De 25 a 34 años",8102000,0.532661477126613
2019,"Poder judicial estatal","Total","De 25 a 34 años",8102000,0.5475745221264771
2020,"Poder judicial estatal","Total","De 35 a 44 años",8102000,1.56667486854176
2019,"Poder judicial estatal","Total","De 35 a 44 años",8102000,1.5872813282883897
2020,"Poder judicial estatal","Total","De 45 a 54 años",8102000,1.99548362159573
2019,"Poder judicial estatal","Total","De 45 a 54 años",8102000,1.9706003364284004
2020,"Poder judicial estatal","Total","De 55 a 59 años",8102000,1.35199887524146
2019,"Poder judicial estatal","Total","De 55 a 59 años",8102000,1.31677464676705
2020,"Poder judicial estatal","Total","De 60 años y más",8102000,0.7659195340335139
2019,"Poder judicial estatal","Total","De 60 años y más",8102000,0.781161460579153
2020,"Poder judicial estatal","Hombres","Total",8102000,0.870548045587025
2019,"Poder judicial estatal","Hombres","Total",8102000,0.8874304851350898
2020,"Poder judicial estatal","Hombres","De 18 a 24 años",8102000,0.014323671694749
2019,"Poder judicial estatal","Hombres","De 18 a 24 años",8102000,0.020132482551285
2020,"Poder judicial estatal","Hombres","De 25 a 34 años",8102000,0.500199132951129
2019,"Poder judicial estatal","Hombres","De 25 a 34 años",8102000,0.5075961566491519
2020,"Poder judicial estatal","Hombres","De 35 a 44 años",8102000,1.48397710039196
2019,"Poder judicial estatal","Hombres","De 35 a 44 años",8102000,1.5089183302699
2020,"Poder judicial estatal","Hombres","De 45 a 54 años",8102000,1.93308302485048
2019,"Poder judicial estatal","Hombres","De 45 a 54 años",8102000,1.9014397930806999
2020,"Poder judicial estatal","Hombres","De 55 a 59 años",8102000,1.6335845753674003
2019,"Poder judicial estatal","Hombres","De 55 a 59 años",8102000,1.60885931558065
2020,"Poder judicial estatal","Hombres","De 60 años y más",8102000,1.09880523460298
2019,"Poder judicial estatal","Hombres","De 60 años y más",8102000,1.12924489965394
2020,"Poder judicial estatal","Mujeres","Total",8102000,1.12126439831754
2019,"Poder judicial estatal","Mujeres","Total",8102000,1.10538640831047
2020,"Poder judicial estatal","Mujeres","De 18 a 24 años",8102000,0.027707990538233
2019,"Poder judicial estatal","Mujeres","De 18 a 24 años",8102000,0.03039674836016199
2020,"Poder judicial estatal","Mujeres","De 25 a 34 años",8102000,0.559599591063459
2019,"Poder judicial estatal","Mujeres","De 25 a 34 años",8102000,0.580466177450787
2020,"Poder judicial estatal","Mujeres","De 35 a 44 años",8102000,1.6157083958245102
2019,"Poder judicial estatal","Mujeres","De 35 a 44 años",8102000,1.6357160516675004
2020,"Poder judicial estatal","Mujeres","De 45 a 54 años",8102000,2.03164330495802
2019,"Poder judicial estatal","Mujeres","De 45 a 54 años",8102000,2.01540204587995
2020,"Poder judicial estatal","Mujeres","De 55 a 59 años",8102000,1.14912490179986
2019,"Poder judicial estatal","Mujeres","De 55 a 59 años",8102000,1.10010056451284
2020,"Poder judicial estatal","Mujeres","De 60 años y más",8102000,0.53314803495427
2019,"Poder judicial estatal","Mujeres","De 60 años y más",8102000,0.530160487086749
2020,"Aguascalientes","Total","Total",8103001,1
2019,"Aguascalientes","Total","Total",8103001,1
2020,"Aguascalientes","Total","De 18 a 24 años",8103001,0
2019,"Aguascalientes","Total","De 18 a 24 años",8103001,0.028660371194085994
2020,"Aguascalientes","Total","De 25 a 34 años",8103001,0.9980801096371368
2019,"Aguascalientes","Total","De 25 a 34 años",8103001,0.9237191772259009
2020,"Aguascalientes","Total","De 35 a 44 años",8103001,1.64533061048718
2019,"Aguascalientes","Total","De 35 a 44 años",8103001,1.7421080954990098
2020,"Aguascalientes","Total","De 45 a 54 años",8103001,1.8217509691641902
2019,"Aguascalientes","Total","De 45 a 54 años",8103001,1.81923256333099
2020,"Aguascalientes","Total","De 55 a 59 años",8103001,0.8028999039902589
2019,"Aguascalientes","Total","De 55 a 59 años",8103001,0.8986194946352468
2020,"Aguascalientes","Total","De 60 años y más",8103001,0.369896641959359
2019,"Aguascalientes","Total","De 60 años y más",8103001,0.252009425140685
2020,"Aguascalientes","Hombres","Total",8103001,0.616520869389315
2019,"Aguascalientes","Hombres","Total",8103001,0.613230955227256
2020,"Aguascalientes","Hombres","De 18 a 24 años",8103001,0
2019,"Aguascalientes","Hombres","De 18 a 24 años",8103001,0.09173684507521498
2020,"Aguascalientes","Hombres","De 25 a 34 años",8103001,0.8797034107760748
2019,"Aguascalientes","Hombres","De 25 a 34 años",8103001,0.7348732869491881
2020,"Aguascalientes","Hombres","De 35 a 44 años",8103001,0.876394224739803
2019,"Aguascalientes","Hombres","De 35 a 44 años",8103001,0.875616317955754
2020,"Aguascalientes","Hombres","De 45 a 54 años",8103001,2.5047612153967402
2019,"Aguascalientes","Hombres","De 45 a 54 años",8103001,2.6289896786534297
2020,"Aguascalientes","Hombres","De 55 a 59 años",8103001,1.53722035069534
2019,"Aguascalientes","Hombres","De 55 a 59 años",8103001,1.8611986842667396
2020,"Aguascalientes","Hombres","De 60 años y más",8103001,0.8440545198777107
2019,"Aguascalientes","Hombres","De 60 años y más",8103001,0.649206015714288
2020,"Aguascalientes","Mujeres","Total",8103001,1.3634633615317902
2019,"Aguascalientes","Mujeres","Total",8103001,1.3662144111577503
2020,"Aguascalientes","Mujeres","De 18 a 24 años",8103001,0
2019,"Aguascalientes","Mujeres","De 18 a 24 años",8103001,0
2020,"Aguascalientes","Mujeres","De 25 a 34 años",8103001,1.06879730461738
2019,"Aguascalientes","Mujeres","De 25 a 34 años",8103001,1.02230034027939
2020,"Aguascalientes","Mujeres","De 35 a 44 años",8103001,1.9327335321821602
2019,"Aguascalientes","Mujeres","De 35 a 44 años",8103001,2.06041854649296
2020,"Aguascalientes","Mujeres","De 45 a 54 años",8103001,1.51476225300277
2019,"Aguascalientes","Mujeres","De 45 a 54 años",8103001,1.4651253702767897
2020,"Aguascalientes","Mujeres","De 55 a 59 años",8103001,0.4944229940276181
2019,"Aguascalientes","Mujeres","De 55 a 59 años",8103001,0.498669180917702
2020,"Aguascalientes","Mujeres","De 60 años y más",8103001,0.17188305854597402
2019,"Aguascalientes","Mujeres","De 60 años y más",8103001,0.08779660370158401
2020,"Baja California","Total","Total",8103002,1
2019,"Baja California","Total","Total",8103002,1
2020,"Baja California","Total","De 18 a 24 años",8103002,0
2019,"Baja California","Total","De 18 a 24 años",8103002,0
2020,"Baja California","Total","De 25 a 34 años",8103002,0.131170362483043
2019,"Baja California","Total","De 25 a 34 años",8103002,0.16124046845611997
2020,"Baja California","Total","De 35 a 44 años",8103002,0.8839422902967992
2019,"Baja California","Total","De 35 a 44 años",8103002,1.10893398714995
2020,"Baja California","Total","De 45 a 54 años",8103002,2.3440057968923607
2019,"Baja California","Total","De 45 a 54 años",8103002,2.36867678455226
2020,"Baja California","Total","De 55 a 59 años",8103002,3.2508951598304203
2019,"Baja California","Total","De 55 a 59 años",8103002,2.81484978351897
2020,"Baja California","Total","De 60 años y más",8103002,1.33706607150613
2019,"Baja California","Total","De 60 años y más",8103002,1.09557487854736
2020,"Baja California","Hombres","Total",8103002,0.6823727064173671
2019,"Baja California","Hombres","Total",8103002,0.684024935799703
2020,"Baja California","Hombres","De 18 a 24 años",8103002,0
2019,"Baja California","Hombres","De 18 a 24 años",8103002,0
2020,"Baja California","Hombres","De 25 a 34 años",8103002,0.158320732047477
2019,"Baja California","Hombres","De 25 a 34 años",8103002,0.155781441596756
