Year,"Sexo","Grupos de edad",Value
2020,"Total","Total",65.69122972
2020,"Total","De 15 a 24 años",69.63114234
2020,"Total","De 25 a 34 años",64.63126226
2020,"Total","De 35 a 44 años",63.889919240000005
2020,"Total","De 45 a 54 años",64.96438972
2020,"Total","De 55 a 64 años",62.51550963
2020,"Total","De 65 años y más",67.53603445
2020,"Hombres","Total",66.4797
2020,"Hombres","De 15 a 24 años",68.04408724
2020,"Hombres","De 25 a 34 años",65.48522793
2020,"Hombres","De 35 a 44 años",64.64718736
2020,"Hombres","De 45 a 54 años",67.60465886
2020,"Hombres","De 55 a 64 años",64.4817353
2020,"Hombres","De 65 años y más",68.4306744
2020,"Mujeres","Total",64.96646177
2020,"Mujeres","De 15 a 24 años",71.25601732
2020,"Mujeres","De 25 a 34 años",63.87134992
2020,"Mujeres","De 35 a 44 años",63.16908036
2020,"Mujeres","De 45 a 54 años",62.688989850000006
2020,"Mujeres","De 55 a 64 años",60.75898847
2020,"Mujeres","De 65 años y más",66.79253393
