Year,"Sexo","Hijos sobrevivientes menores de 5",Value
2018,"Total","Total",94.12098526305822
2014,"Total","Total",92.9540430066795
2018,"Total","Menos de 1 año",78.8774772731698
2014,"Total","Menos de 1 año",77.7366653028143
2018,"Total","1 año",96.11142383433791
2014,"Total","1 año",94.38103887301331
2018,"Total","2 años",97.1378486925686
2014,"Total","2 años",96.2900180564476
2018,"Total","3 años",98.06092120174462
2014,"Total","3 años",97.2633890065083
2018,"Total","4 años",98.7014765600516
2014,"Total","4 años",97.8515143643133
2018,"Hombres","Total",94.23784553812361
2014,"Hombres","Total",93.1750795379839
2018,"Hombres","Menos de 1 año",79.3701955726506
2014,"Hombres","Menos de 1 año",79.1048120609261
2018,"Hombres","1 año",96.14321265257679
2014,"Hombres","1 año",94.7261307205489
2018,"Hombres","2 años",97.565825312292
2014,"Hombres","2 años",96.56832274303959
2018,"Hombres","3 años",97.7689505701003
2014,"Hombres","3 años",96.9568526357633
2018,"Hombres","4 años",98.5290299077228
2014,"Hombres","4 años",97.7800799310105
2018,"Mujeres","Total",94.0017804273661
2014,"Mujeres","Total",92.7223184875845
2018,"Mujeres","Menos de 1 año",78.3812953361325
2014,"Mujeres","Menos de 1 año",76.2344406621009
2018,"Mujeres","1 año",96.0795495124296
2014,"Mujeres","1 año",94.01288523171301
2018,"Mujeres","2 años",96.7193328050423
2014,"Mujeres","2 años",96.005726542879
2018,"Mujeres","3 años",98.35101584243
2014,"Mujeres","3 años",97.5804116262532
2018,"Mujeres","4 años",98.89546600457122
2014,"Mujeres","4 años",97.92498482343551
