Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,24.20726594999997
2020,"Estados Unidos Mexicanos","Total",00,23.519720109999984
2019,"Estados Unidos Mexicanos","Total",00,24.849040989997743
2018,"Estados Unidos Mexicanos","Total",00,28.26856996034715
2017,"Estados Unidos Mexicanos","Total",00,29.74616351344445
2016,"Estados Unidos Mexicanos","Total",00,28.788280782982515
2015,"Estados Unidos Mexicanos","Total",00,28.201782480658032
2014,"Estados Unidos Mexicanos","Total",00,28.200305307555485
2013,"Estados Unidos Mexicanos","Total",00,28.223984686096145
2012,"Estados Unidos Mexicanos","Total",00,27.337448462293164
2011,"Estados Unidos Mexicanos","Total",00,24.31683405669582
2010,"Estados Unidos Mexicanos","Total",00,23.99337005982867
2021,"Estados Unidos Mexicanos","Hombres",00,25.253418729999943
2020,"Estados Unidos Mexicanos","Hombres",00,25.120509429999974
2019,"Estados Unidos Mexicanos","Hombres",00,26.440380681698112
2018,"Estados Unidos Mexicanos","Hombres",00,29.650279485701375
2017,"Estados Unidos Mexicanos","Hombres",00,31.419399609378644
2016,"Estados Unidos Mexicanos","Hombres",00,30.124198886846347
2015,"Estados Unidos Mexicanos","Hombres",00,30.180656966811483
2014,"Estados Unidos Mexicanos","Hombres",00,29.43038235221151
2013,"Estados Unidos Mexicanos","Hombres",00,30.284795226168146
2012,"Estados Unidos Mexicanos","Hombres",00,29.56035328986478
2011,"Estados Unidos Mexicanos","Hombres",00,25.867857063246866
2010,"Estados Unidos Mexicanos","Hombres",00,26.682097276338624
2021,"Estados Unidos Mexicanos","Mujeres",00,23.309100259999955
2020,"Estados Unidos Mexicanos","Mujeres",00,22.128920499999982
2019,"Estados Unidos Mexicanos","Mujeres",00,23.47118998043545
2018,"Estados Unidos Mexicanos","Mujeres",00,27.04461045771362
2017,"Estados Unidos Mexicanos","Mujeres",00,28.27952835181815
2016,"Estados Unidos Mexicanos","Mujeres",00,27.60915427646432
2015,"Estados Unidos Mexicanos","Mujeres",00,26.467100255226832
2014,"Estados Unidos Mexicanos","Mujeres",00,27.129643445820847
2013,"Estados Unidos Mexicanos","Mujeres",00,26.432083867260634
2012,"Estados Unidos Mexicanos","Mujeres",00,25.370698178943375
2011,"Estados Unidos Mexicanos","Mujeres",00,22.98226080969029
2010,"Estados Unidos Mexicanos","Mujeres",00,21.54783602558614
2021,"Aguascalientes","Total",01,27.29457779999996
2020,"Aguascalientes","Total",01,26.875646190000083
2019,"Aguascalientes","Total",01,33.24630308072164
2018,"Aguascalientes","Total",01,31.61762582015578
2017,"Aguascalientes","Total",01,33.8755088560497
2016,"Aguascalientes","Total",01,32.601894659872876
2015,"Aguascalientes","Total",01,30.720868274969572
2014,"Aguascalientes","Total",01,33.375787395860584
2013,"Aguascalientes","Total",01,26.78448166820261
2012,"Aguascalientes","Total",01,27.224927160032752
2011,"Aguascalientes","Total",01,25.668097579828544
2010,"Aguascalientes","Total",01,36.284805101892736
2021,"Aguascalientes","Hombres",01,29.712574449999945
2020,"Aguascalientes","Hombres",01,29.21303613000006
2019,"Aguascalientes","Hombres",01,34.57065190124559
2018,"Aguascalientes","Hombres",01,30.060780526731858
2017,"Aguascalientes","Hombres",01,37.403707853166445
2016,"Aguascalientes","Hombres",01,34.865288951070745
2015,"Aguascalientes","Hombres",01,33.471967889078776
2014,"Aguascalientes","Hombres",01,34.78933670957303
2013,"Aguascalientes","Hombres",01,28.95847102612382
2012,"Aguascalientes","Hombres",01,28.929067450333143
2011,"Aguascalientes","Hombres",01,26.305475164849245
2010,"Aguascalientes","Hombres",01,38.69909322303526
2021,"Aguascalientes","Mujeres",01,25.423592969999966
2020,"Aguascalientes","Mujeres",01,24.902854389999938
2019,"Aguascalientes","Mujeres",01,32.082756465098456
2018,"Aguascalientes","Mujeres",01,32.91132288477774
2017,"Aguascalientes","Mujeres",01,30.916998912649458
2016,"Aguascalientes","Mujeres",01,30.543183364705758
2015,"Aguascalientes","Mujeres",01,28.326561734593245
2014,"Aguascalientes","Mujeres",01,32.23278076012727
2013,"Aguascalientes","Mujeres",01,24.73851219107258
2012,"Aguascalientes","Mujeres",01,25.649981048759365
2011,"Aguascalientes","Mujeres",01,25.105809109030666
2010,"Aguascalientes","Mujeres",01,34.224833540574345
2021,"Baja California","Total",02,27.208342869999935
2020,"Baja California","Total",02,25.663809849999925
2019,"Baja California","Total",02,30.12248446281726
2018,"Baja California","Total",02,33.836399600045326
2017,"Baja California","Total",02,36.57805865357486
2016,"Baja California","Total",02,39.886139222354274
2015,"Baja California","Total",02,30.78581254285834
2014,"Baja California","Total",02,37.58313019906511
2013,"Baja California","Total",02,39.50687629238198
2012,"Baja California","Total",02,36.5794858093072
2011,"Baja California","Total",02,30.549495524672142
2010,"Baja California","Total",02,30.942775255967714
2021,"Baja California","Hombres",02,26.770352840000072
2020,"Baja California","Hombres",02,24.530128049999952
2019,"Baja California","Hombres",02,29.580482627357444
2018,"Baja California","Hombres",02,32.89694230504664
2017,"Baja California","Hombres",02,36.1376161813314
2016,"Baja California","Hombres",02,40.53563764012317
2015,"Baja California","Hombres",02,29.85409385437882
2014,"Baja California","Hombres",02,36.53188585385126
2013,"Baja California","Hombres",02,41.48327540443186
2012,"Baja California","Hombres",02,36.045508049658984
2011,"Baja California","Hombres",02,30.3398130905548
2010,"Baja California","Hombres",02,32.09681579902327
2021,"Baja California","Mujeres",02,27.603385620000044
2020,"Baja California","Mujeres",02,26.73960763000003
2019,"Baja California","Mujeres",02,30.645042377629704
2018,"Baja California","Mujeres",02,34.69513343051445
2017,"Baja California","Mujeres",02,36.98494898215174
2016,"Baja California","Mujeres",02,39.243530419600646
2015,"Baja California","Mujeres",02,31.612180712830746
2014,"Baja California","Mujeres",02,38.5497503626697
2013,"Baja California","Mujeres",02,37.65490862944587
2012,"Baja California","Mujeres",02,37.05877692952353
2011,"Baja California","Mujeres",02,30.751313272587133
2010,"Baja California","Mujeres",02,29.70111382587298
2021,"Baja California Sur","Total",03,19.00289257000001
2020,"Baja California Sur","Total",03,19.580437540000002
2019,"Baja California Sur","Total",03,15.896145941613836
2018,"Baja California Sur","Total",03,25.590850400303253
2017,"Baja California Sur","Total",03,24.427425925131946
2016,"Baja California Sur","Total",03,27.135486745377552
2015,"Baja California Sur","Total",03,24.212308843854927
2014,"Baja California Sur","Total",03,30.310030560906522
2013,"Baja California Sur","Total",03,24.74581111191549
2012,"Baja California Sur","Total",03,27.04339867009626
2011,"Baja California Sur","Total",03,26.93898140553224
2010,"Baja California Sur","Total",03,23.27988965517245
2021,"Baja California Sur","Hombres",03,18.7808814
2020,"Baja California Sur","Hombres",03,20.42208983999995
2019,"Baja California Sur","Hombres",03,16.451489280849227
2018,"Baja California Sur","Hombres",03,25.028822539385565
2017,"Baja California Sur","Hombres",03,26.027926176051434
2016,"Baja California Sur","Hombres",03,27.410522611296955
2015,"Baja California Sur","Hombres",03,24.413844570998055
2014,"Baja California Sur","Hombres",03,31.444895364566953
2013,"Baja California Sur","Hombres",03,25.14984748196878
2012,"Baja California Sur","Hombres",03,29.8265046847705
2011,"Baja California Sur","Hombres",03,30.124065261726653
2010,"Baja California Sur","Hombres",03,27.863921080029318
2021,"Baja California Sur","Mujeres",03,19.22355719000003
2020,"Baja California Sur","Mujeres",03,18.72665377000001
2019,"Baja California Sur","Mujeres",03,15.356575176159872
2018,"Baja California Sur","Mujeres",03,26.207152562791524
2017,"Baja California Sur","Mujeres",03,22.897987797310623
2016,"Baja California Sur","Mujeres",03,26.853326112464963
2015,"Baja California Sur","Mujeres",03,24.001349988244478
2014,"Baja California Sur","Mujeres",03,29.163697584276278
2013,"Baja California Sur","Mujeres",03,24.328148835839748
2012,"Baja California Sur","Mujeres",03,24.159099418621402
2011,"Baja California Sur","Mujeres",03,24.06985879177323
2010,"Baja California Sur","Mujeres",03,18.368904877926074
2021,"Campeche","Total",04,16.891086670000035
2020,"Campeche","Total",04,20.672306440000003
2019,"Campeche","Total",04,16.858174319670766
2018,"Campeche","Total",04,23.106119113137208
2017,"Campeche","Total",04,22.665681125267387
2016,"Campeche","Total",04,22.765963454732624
2015,"Campeche","Total",04,19.469097587916472
2014,"Campeche","Total",04,22.638949944557808
2013,"Campeche","Total",04,23.709768898600064
2012,"Campeche","Total",04,21.990915285782364
2011,"Campeche","Total",04,17.190627947172572
2010,"Campeche","Total",04,17.259912553052107
2021,"Campeche","Hombres",04,17.370844459999965
2020,"Campeche","Hombres",04,19.17104837000003
2019,"Campeche","Hombres",04,17.002835131159163
2018,"Campeche","Hombres",04,24.845163794905567
2017,"Campeche","Hombres",04,25.284311602969836
2016,"Campeche","Hombres",04,23.451627229964753
2015,"Campeche","Hombres",04,21.847896231285496
2014,"Campeche","Hombres",04,21.992113765978967
2013,"Campeche","Hombres",04,25.215426057033266
2012,"Campeche","Hombres",04,23.261087506564266
2011,"Campeche","Hombres",04,19.14712929544139
2010,"Campeche","Hombres",04,20.410793636520328
2021,"Campeche","Mujeres",04,16.442028380000007
2020,"Campeche","Mujeres",04,22.129650700000024
2019,"Campeche","Mujeres",04,16.7259687008243
2018,"Campeche","Mujeres",04,21.351909029294358
2017,"Campeche","Mujeres",04,20.14136336153846
2016,"Campeche","Mujeres",04,22.123062613416263
