Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,48.298579770000046
2020,"Estados Unidos Mexicanos","Total",00,52.516542319999914
2019,"Estados Unidos Mexicanos","Total",00,47.681212290000055
2018,"Estados Unidos Mexicanos","Total",00,49.02041964
2017,"Estados Unidos Mexicanos","Total",00,48.04367223000006
2016,"Estados Unidos Mexicanos","Total",00,49.41256351999989
2015,"Estados Unidos Mexicanos","Total",00,48.34560530999994
2014,"Estados Unidos Mexicanos","Total",00,50.412944159999896
2013,"Estados Unidos Mexicanos","Total",00,51.58423533000012
2012,"Estados Unidos Mexicanos","Total",00,49.516541369999935
2011,"Estados Unidos Mexicanos","Total",00,30.781894140000052
2010,"Estados Unidos Mexicanos","Total",00,32.78240100999994
2021,"Estados Unidos Mexicanos","Hombres",00,47.98022339
2020,"Estados Unidos Mexicanos","Hombres",00,54.45152441000006
2019,"Estados Unidos Mexicanos","Hombres",00,49.48253303999993
2018,"Estados Unidos Mexicanos","Hombres",00,50.37927883999993
2017,"Estados Unidos Mexicanos","Hombres",00,51.367068800000126
2016,"Estados Unidos Mexicanos","Hombres",00,50.15367751000006
2015,"Estados Unidos Mexicanos","Hombres",00,46.577384600000116
2014,"Estados Unidos Mexicanos","Hombres",00,48.91831681999999
2013,"Estados Unidos Mexicanos","Hombres",00,52.18978192000007
2012,"Estados Unidos Mexicanos","Hombres",00,51.45992403000009
2011,"Estados Unidos Mexicanos","Hombres",00,28.082321360000044
2010,"Estados Unidos Mexicanos","Hombres",00,32.40060962999997
2021,"Estados Unidos Mexicanos","Mujeres",00,48.6065363500001
2020,"Estados Unidos Mexicanos","Mujeres",00,50.649630359999954
2019,"Estados Unidos Mexicanos","Mujeres",00,45.844370660000074
2018,"Estados Unidos Mexicanos","Mujeres",00,47.607260050000086
2017,"Estados Unidos Mexicanos","Mujeres",00,44.39357488000008
2016,"Estados Unidos Mexicanos","Mujeres",00,48.64488537000005
2015,"Estados Unidos Mexicanos","Mujeres",00,50.12569119999991
2014,"Estados Unidos Mexicanos","Mujeres",00,51.98704189
2013,"Estados Unidos Mexicanos","Mujeres",00,50.98282508000009
2012,"Estados Unidos Mexicanos","Mujeres",00,47.49654503999987
2011,"Estados Unidos Mexicanos","Mujeres",00,33.471249830000026
2010,"Estados Unidos Mexicanos","Mujeres",00,33.21224015000005
2021,"Aguascalientes","Total",01,56.26501812999986
2020,"Aguascalientes","Total",01,68.41259842999992
2019,"Aguascalientes","Total",01,63.03861509000013
2018,"Aguascalientes","Total",01,61.38769109999994
2017,"Aguascalientes","Total",01,58.50356785999995
2016,"Aguascalientes","Total",01,51.3974442600001
2015,"Aguascalientes","Total",01,49.11740195000009
2014,"Aguascalientes","Total",01,49.36217415000008
2013,"Aguascalientes","Total",01,56.167148710000156
2012,"Aguascalientes","Total",01,55.9937503399999
2011,"Aguascalientes","Total",01,28.146903050000084
2010,"Aguascalientes","Total",01,24.096887459999962
2021,"Aguascalientes","Hombres",01,
2020,"Aguascalientes","Hombres",01,
2019,"Aguascalientes","Hombres",01,
2018,"Aguascalientes","Hombres",01,
2017,"Aguascalientes","Hombres",01,
2016,"Aguascalientes","Hombres",01,
2015,"Aguascalientes","Hombres",01,
2014,"Aguascalientes","Hombres",01,
2013,"Aguascalientes","Hombres",01,
2012,"Aguascalientes","Hombres",01,
2011,"Aguascalientes","Hombres",01,
2010,"Aguascalientes","Hombres",01,
2021,"Aguascalientes","Mujeres",01,
2020,"Aguascalientes","Mujeres",01,
2019,"Aguascalientes","Mujeres",01,
2018,"Aguascalientes","Mujeres",01,
