Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,45.62409932866188
2019,"Estados Unidos Mexicanos","Total",00,46.166116100568345
2017,"Estados Unidos Mexicanos","Total",00,43.73426820930492
2015,"Estados Unidos Mexicanos","Total",00,40.36997912670538
2021,"Estados Unidos Mexicanos","Hombres",00,46.508146277242325
2019,"Estados Unidos Mexicanos","Hombres",00,48.05008992567794
2017,"Estados Unidos Mexicanos","Hombres",00,45.5726870961814
2015,"Estados Unidos Mexicanos","Hombres",00,41.845137664854455
2021,"Estados Unidos Mexicanos","Mujeres",00,44.8515691691315
2019,"Estados Unidos Mexicanos","Mujeres",00,44.51978912223049
2017,"Estados Unidos Mexicanos","Mujeres",00,42.10267606527178
2015,"Estados Unidos Mexicanos","Mujeres",00,39.6884079505743
2021,"Aguascalientes","Total",01,45.79728374992524
2019,"Aguascalientes","Total",01,48.831305972422406
2017,"Aguascalientes","Total",01,52.34750386839307
2015,"Aguascalientes","Total",01,48.02697311514757
2021,"Aguascalientes","Hombres",01,49.86635699549781
2019,"Aguascalientes","Hombres",01,52.20663151920446
2017,"Aguascalientes","Hombres",01,54.50359195665463
2015,"Aguascalientes","Hombres",01,56.07942205695663
2021,"Aguascalientes","Mujeres",01,42.469873925395056
2019,"Aguascalientes","Mujeres",01,45.9918257463105
2017,"Aguascalientes","Mujeres",01,50.48748344768508
2015,"Aguascalientes","Mujeres",01,44.98916899049163
2021,"Baja California","Total",02,43.65284350144885
2019,"Baja California","Total",02,47.051730668501484
2017,"Baja California","Total",02,48.32252392298776
2015,"Baja California","Total",02,42.60414658901881
2021,"Baja California","Hombres",02,44.73782759354467
2019,"Baja California","Hombres",02,50.41607683302361
2017,"Baja California","Hombres",02,52.92821185970751
2015,"Baja California","Hombres",02,44.11709212721444
2021,"Baja California","Mujeres",02,42.48511584785901
2019,"Baja California","Mujeres",02,43.941978190106695
2017,"Baja California","Mujeres",02,43.893769735142975
2015,"Baja California","Mujeres",02,41.836551331507415
2021,"Baja California Sur","Total",03,46.96389330820154
2019,"Baja California Sur","Total",03,55.17628392936032
2017,"Baja California Sur","Total",03,55.49366211130926
2015,"Baja California Sur","Total",03,43.784355179704086
2021,"Baja California Sur","Hombres",03,47.18023728262629
2019,"Baja California Sur","Hombres",03,55.722031822536394
2017,"Baja California Sur","Hombres",03,58.07456685122431
2015,"Baja California Sur","Hombres",03,44.70344805289279
2021,"Baja California Sur","Mujeres",03,46.757672960559844
2019,"Baja California Sur","Mujeres",03,54.71813877902971
2017,"Baja California Sur","Mujeres",03,53.20125656799877
2015,"Baja California Sur","Mujeres",03,43.32063714735459
2021,"Campeche","Total",04,33.091482001977504
2019,"Campeche","Total",04,31.985390494985378
2017,"Campeche","Total",04,29.146157877041233
2015,"Campeche","Total",04,21.209041772786975
2021,"Campeche","Hombres",04,32.419722713410806
2019,"Campeche","Hombres",04,32.0354652446913
2017,"Campeche","Hombres",04,30.885735394566357
2015,"Campeche","Hombres",04,27.956599672018562
2021,"Campeche","Mujeres",04,33.65898278297666
2019,"Campeche","Mujeres",04,31.941559876270365
2017,"Campeche","Mujeres",04,27.809116671755877
2015,"Campeche","Mujeres",04,17.839150516642103
2021,"Coahuila de Zaragoza","Total",05,52.42067836211457
2019,"Coahuila de Zaragoza","Total",05,48.44229043214759
