Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,40.46939096538328
2019,"Estados Unidos Mexicanos","Total",00,38.17222288594442
2017,"Estados Unidos Mexicanos","Total",00,35.87585913075864
2015,"Estados Unidos Mexicanos","Total",00,33.0346557201774
2013,"Estados Unidos Mexicanos","Total",00,35.32893714991083
2021,"Estados Unidos Mexicanos","Hombres",00,43.184462988815476
2019,"Estados Unidos Mexicanos","Hombres",00,40.17454725211465
2017,"Estados Unidos Mexicanos","Hombres",00,38.224886392980295
2015,"Estados Unidos Mexicanos","Hombres",00,33.71418211689795
2013,"Estados Unidos Mexicanos","Hombres",00,36.59240441015655
2021,"Estados Unidos Mexicanos","Mujeres",00,38.09680766902513
2019,"Estados Unidos Mexicanos","Mujeres",00,36.422474253838516
2017,"Estados Unidos Mexicanos","Mujeres",00,33.79110333624394
2015,"Estados Unidos Mexicanos","Mujeres",00,32.72069244541902
2013,"Estados Unidos Mexicanos","Mujeres",00,34.29263318983466
2021,"Aguascalientes","Total",01,61.140142101876286
2019,"Aguascalientes","Total",01,60.08054249022527
2017,"Aguascalientes","Total",01,49.8103130005157
2015,"Aguascalientes","Total",01,57.63173224593543
2013,"Aguascalientes","Total",01,64.59666235861259
2021,"Aguascalientes","Hombres",01,64.13761336949034
2019,"Aguascalientes","Hombres",01,64.08360172591807
2017,"Aguascalientes","Hombres",01,52.25976385769907
2015,"Aguascalientes","Hombres",01,59.51369779146893
2013,"Aguascalientes","Hombres",01,68.10222288111231
2021,"Aguascalientes","Mujeres",01,58.68901509022564
2019,"Aguascalientes","Mujeres",01,56.71298360259677
2017,"Aguascalientes","Mujeres",01,47.69721352249054
2015,"Aguascalientes","Mujeres",01,56.92175659281475
2013,"Aguascalientes","Mujeres",01,61.92275329011931
2021,"Baja California","Total",02,32.95276758739747
2019,"Baja California","Total",02,31.407083715951565
2017,"Baja California","Total",02,29.904584124395235
2015,"Baja California","Total",02,24.93613218993326
2013,"Baja California","Total",02,35.77817905631434
2021,"Baja California","Hombres",02,35.16400701393775
2019,"Baja California","Hombres",02,33.5817232326367
2017,"Baja California","Hombres",02,32.98058761350242
2015,"Baja California","Hombres",02,25.80651034080983
2013,"Baja California","Hombres",02,39.61713622746718
2021,"Baja California","Mujeres",02,30.572893591188524
