Year,Entidad federativa,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,70.49538799746828
2019,"Estados Unidos Mexicanos","Total",00,66.3991466097559
2017,"Estados Unidos Mexicanos","Total",00,65.03422452910836
2015,"Estados Unidos Mexicanos","Total",00,60.96946234117351
2013,"Estados Unidos Mexicanos","Total",00,67.32859125438536
2021,"Estados Unidos Mexicanos","Hombres",00,71.59669558587036
2019,"Estados Unidos Mexicanos","Hombres",00,66.37974006727671
2017,"Estados Unidos Mexicanos","Hombres",00,64.91268052986017
2015,"Estados Unidos Mexicanos","Hombres",00,61.81802725813921
2013,"Estados Unidos Mexicanos","Hombres",00,67.42673208349352
2021,"Estados Unidos Mexicanos","Mujeres",00,69.5330032187794
2019,"Estados Unidos Mexicanos","Mujeres",00,66.41610518636321
2017,"Estados Unidos Mexicanos","Mujeres",00,65.14209452312498
2015,"Estados Unidos Mexicanos","Mujeres",00,60.577397777587265
2013,"Estados Unidos Mexicanos","Mujeres",00,67.24809551615
2021,"Aguascalientes","Total",01,77.1415604939856
2019,"Aguascalientes","Total",01,75.62386844518305
2017,"Aguascalientes","Total",01,78.61881396422073
2015,"Aguascalientes","Total",01,78.4336881498348
2013,"Aguascalientes","Total",01,88.12146826033246
2021,"Aguascalientes","Hombres",01,78.82731507311456
2019,"Aguascalientes","Hombres",01,80.76497015200947
2017,"Aguascalientes","Hombres",01,77.96029614867511
2015,"Aguascalientes","Hombres",01,78.4998485541757
2013,"Aguascalientes","Hombres",01,88.91044815166855
2021,"Aguascalientes","Mujeres",01,75.7630656845243
2019,"Aguascalientes","Mujeres",01,71.29893550623156
2017,"Aguascalientes","Mujeres",01,79.18690605237967
2015,"Aguascalientes","Mujeres",01,78.40872899136671
2013,"Aguascalientes","Mujeres",01,87.51966421993343
2021,"Baja California","Total",02,75.1958543991615
2019,"Baja California","Total",02,70.30302354224317
2017,"Baja California","Total",02,65.01632029833125
2015,"Baja California","Total",02,66.09518949771429
2013,"Baja California","Total",02,71.30282874976612
2021,"Baja California","Hombres",02,76.75597016381651
2019,"Baja California","Hombres",02,69.16935588582712
2017,"Baja California","Hombres",02,66.3427297775006
2015,"Baja California","Hombres",02,69.66293064640007
2013,"Baja California","Hombres",02,74.00857899827578
2021,"Baja California","Mujeres",02,73.51676036040023
2019,"Baja California","Mujeres",02,71.35090198037587
2017,"Baja California","Mujeres",02,63.74086663833982
2015,"Baja California","Mujeres",02,64.28509051092175
2013,"Baja California","Mujeres",02,69.02352797756909
2021,"Baja California Sur","Total",03,59.21796050145343
2019,"Baja California Sur","Total",03,79.28134211973415
2017,"Baja California Sur","Total",03,82.42770845712035
2015,"Baja California Sur","Total",03,72.34943351222417
2013,"Baja California Sur","Total",03,89.23317739554243
2021,"Baja California Sur","Hombres",03,60.734601007638716
2019,"Baja California Sur","Hombres",03,81.49808887001367
2017,"Baja California Sur","Hombres",03,79.35306625123671
2015,"Baja California Sur","Hombres",03,77.9457170107178
2013,"Baja California Sur","Hombres",03,88.83721496487668
2021,"Baja California Sur","Mujeres",03,57.772289859298574
2019,"Baja California Sur","Mujeres",03,77.42042467809192
2017,"Baja California Sur","Mujeres",03,85.15866040875876
2015,"Baja California Sur","Mujeres",03,69.52589124778757
2013,"Baja California Sur","Mujeres",03,89.60909868466665
2021,"Campeche","Total",04,79.99284127882918
2019,"Campeche","Total",04,80.04123650608946
2017,"Campeche","Total",04,82.48425682204397
2015,"Campeche","Total",04,67.61830965340705
2013,"Campeche","Total",04,72.42208583983827
2021,"Campeche","Hombres",04,79.68657902155248
2019,"Campeche","Hombres",04,79.29826775628682
2017,"Campeche","Hombres",04,82.36056707138592
2015,"Campeche","Hombres",04,71.90133862171551
2013,"Campeche","Hombres",04,72.82765892268138
2021,"Campeche","Mujeres",04,80.25157096541987
2019,"Campeche","Mujeres",04,80.69155987627043
2017,"Campeche","Mujeres",04,82.57932490129606
2015,"Campeche","Mujeres",04,65.47926289224323
2013,"Campeche","Mujeres",04,72.05644332545484
2021,"Coahuila de Zaragoza","Total",05,82.6100407198599
2019,"Coahuila de Zaragoza","Total",05,76.67478596799339
2017,"Coahuila de Zaragoza","Total",05,78.40957704519211
2015,"Coahuila de Zaragoza","Total",05,75.99154349951759
2013,"Coahuila de Zaragoza","Total",05,87.99482067433017
2021,"Coahuila de Zaragoza","Hombres",05,82.0522308493157
