Year,Entidad federativa,Áreas metropolitanas autorrepresentadas,"Sexo",GeoCode,Value
2021,"Estados Unidos Mexicanos",,"Total",00,54.06802365719256
2019,"Estados Unidos Mexicanos",,"Total",00,51.22416976000015
2017,"Estados Unidos Mexicanos",,"Total",00,25.46423489000003
2021,"Estados Unidos Mexicanos",,"Hombres",00,56.79746141565646
2019,"Estados Unidos Mexicanos",,"Hombres",00,53.181991309999894
2017,"Estados Unidos Mexicanos",,"Hombres",00,26.61413099999995
2021,"Estados Unidos Mexicanos",,"Mujeres",00,51.68245819100232
2019,"Estados Unidos Mexicanos",,"Mujeres",00,49.513145859999916
2017,"Estados Unidos Mexicanos",,"Mujeres",00,24.44295963000001
2021,"Aguascalientes",,"Total",01,52.17391938804847
2019,"Aguascalientes",,"Total",01,48.42191235999992
2017,"Aguascalientes",,"Total",01,31.231945049999947
2021,"Aguascalientes",,"Hombres",01,52.74260097831855
2019,"Aguascalientes",,"Hombres",01,52.662225920000076
2017,"Aguascalientes",,"Hombres",01,31.69586604000005
2021,"Aguascalientes",,"Mujeres",01,51.70889047451055
2019,"Aguascalientes",,"Mujeres",01,44.84841495
2017,"Aguascalientes",,"Mujeres",01,30.832220199999963
2021,"Aguascalientes","Área Metropolitana Aguascalientes","Total",9012001,52.17391938804847
2019,"Aguascalientes","Área Metropolitana Aguascalientes","Total",9012001,48.42191235999992
2017,"Aguascalientes","Área Metropolitana Aguascalientes","Total",9012001,31.231945049999947
2021,"Aguascalientes","Área Metropolitana Aguascalientes","Hombres",9012001,52.74260097831855
2019,"Aguascalientes","Área Metropolitana Aguascalientes","Hombres",9012001,52.662225920000076
2017,"Aguascalientes","Área Metropolitana Aguascalientes","Hombres",9012001,31.69586604000005
2021,"Aguascalientes","Área Metropolitana Aguascalientes","Mujeres",9012001,51.70889047451055
2019,"Aguascalientes","Área Metropolitana Aguascalientes","Mujeres",9012001,44.84841495
2017,"Aguascalientes","Área Metropolitana Aguascalientes","Mujeres",9012001,30.832220199999963
2021,"Baja California",,"Total",02,46.43555590665262
2019,"Baja California",,"Total",02,48.51922130999994
2017,"Baja California",,"Total",02,19.49909984000002
2021,"Baja California",,"Hombres",02,47.855628852299496
2019,"Baja California",,"Hombres",02,54.71928819999995
2017,"Baja California",,"Hombres",02,18.80400488000002
2021,"Baja California",,"Mujeres",02,44.907184697501265
2019,"Baja California",,"Mujeres",02,42.814600300000095
2017,"Baja California",,"Mujeres",02,20.16629591999999
2021,"Baja California","Área Metropolitana Tijuana","Total",9018001,36.770934659511916
2019,"Baja California","Área Metropolitana Tijuana","Total",9018001,45.662452999999935
2017,"Baja California","Área Metropolitana Tijuana","Total",9018001,17.97803388000006
2021,"Baja California","Área Metropolitana Tijuana","Hombres",9018001,35.536815627594976
2019,"Baja California","Área Metropolitana Tijuana","Hombres",9018001,53.54567953999987
2017,"Baja California","Área Metropolitana Tijuana","Hombres",9018001,17.71134890999999
2021,"Baja California","Área Metropolitana Tijuana","Mujeres",9018001,38.00208789423474
2019,"Baja California","Área Metropolitana Tijuana","Mujeres",9018001,38.43437020999995
2017,"Baja California","Área Metropolitana Tijuana","Mujeres",9018001,18.260517010000044
2021,"Baja California Sur",,"Total",03,44.26786676980043
2019,"Baja California Sur",,"Total",03,45.033957589999865
2017,"Baja California Sur",,"Total",03,24.909007960000043
2021,"Baja California Sur",,"Hombres",03,44.08519693643766
2019,"Baja California Sur",,"Hombres",03,49.83436812000007
2017,"Baja California Sur",,"Hombres",03,26.16891399999997
2021,"Baja California Sur",,"Mujeres",03,44.44271139166177
2019,"Baja California Sur",,"Mujeres",03,41.00678120999999
2017,"Baja California Sur",,"Mujeres",03,23.790175350000023
2021,"Baja California Sur","Área Metropolitana La Paz","Total",9030001,44.26786676980043
2019,"Baja California Sur","Área Metropolitana La Paz","Total",9030001,45.033957589999865
2017,"Baja California Sur","Área Metropolitana La Paz","Total",9030001,24.909007960000043
2021,"Baja California Sur","Área Metropolitana La Paz","Hombres",9030001,44.08519693643766
2019,"Baja California Sur","Área Metropolitana La Paz","Hombres",9030001,49.83436812000007
2017,"Baja California Sur","Área Metropolitana La Paz","Hombres",9030001,26.16891399999997
2021,"Baja California Sur","Área Metropolitana La Paz","Mujeres",9030001,44.44271139166177
2019,"Baja California Sur","Área Metropolitana La Paz","Mujeres",9030001,41.00678120999999
2017,"Baja California Sur","Área Metropolitana La Paz","Mujeres",9030001,23.790175350000023
2021,"Campeche",,"Total",04,71.02771657331965
2019,"Campeche",,"Total",04,66.9424603500001
