Year,"Ingresos con respecto al PIB",Value
2020,"Totales",23.09
2019,"Totales",22.22
2018,"Totales",21.74
2017,"Totales",22.7299340215242
2016,"Totales",24.8200417536204
2015,"Totales",23.3910417022577
2014,"Totales",23.0781876909572
2013,"Totales",23.5786598380868
2012,"Totales",22.4902446325229
2011,"Totales",22.481628149217
2010,"Totales",22.2890332438221
2009,"Totales",23.2942874121787
2008,"Totales",23.3414236442993
2007,"Totales",21.7988927986817
2006,"Totales",21.480143736043
2005,"Totales",20.6306960321302
2004,"Totales",20.3757643817673
2003,"Totales",20.7987018182081
2002,"Totales",19.3771469104915
2001,"Totales",18.7824442224096
2000,"Totales",18.2528438691523
1999,"Totales",17.2259282536521
1998,"Totales",17.0493950838615
1997,"Totales",19.3064939382045
1996,"Totales",19.1713565670197
1995,"Totales",18.9572355810636
2020,"Petroleros",2.62
2019,"Petroleros",3.94
2018,"Petroleros",4.16
2017,"Petroleros",3.80003088418836
2016,"Petroleros",4.04221719691357
2015,"Petroleros",4.62358576860217
2014,"Petroleros",7.10258526795321
2013,"Petroleros",8.36143051563
2012,"Petroleros",8.87558631277621
2011,"Petroleros",8.57427435123168
2010,"Petroleros",7.74873299637331
2009,"Petroleros",7.20165963492686
2008,"Petroleros",10.3797788973727
2007,"Petroleros",8.14698579537659
2006,"Petroleros",8.57360908830243
2005,"Petroleros",7.53441232174097
2004,"Petroleros",6.71816031593332
2003,"Petroleros",5.7934408533732
2002,"Petroleros",4.159155448919
2001,"Petroleros",4.42205301383037
2000,"Petroleros",4.93379971826776
1999,"Petroleros",3.57962427345723
1998,"Petroleros",3.73388022224792
1997,"Petroleros",5.63923951665701
1996,"Petroleros",6.16508158522906
1995,"Petroleros",5.50878952956482
2020,"No petroleros",20.47
2019,"No petroleros",18.27
2018,"No petroleros",17.58
2017,"No petroleros",18.9299031373358
2016,"No petroleros",20.7778245567068
2015,"No petroleros",18.7674559336556
2014,"No petroleros",15.975602423004
2013,"No petroleros",15.2172293224568
2012,"No petroleros",13.6146583197467
2011,"No petroleros",13.9073537979853
2010,"No petroleros",14.5403002474488
2009,"No petroleros",16.0926277772518
2008,"No petroleros",12.9616447469265
2007,"No petroleros",13.6519070033051
2006,"No petroleros",12.9065346477406
2005,"No petroleros",13.0962837103892
2004,"No petroleros",13.657604065834
2003,"No petroleros",15.0052609648349
2002,"No petroleros",15.2179914615724
2001,"No petroleros",14.3603912085793
2000,"No petroleros",13.3190441508846
1999,"No petroleros",13.6463039801948
1998,"No petroleros",13.3155148616136
1997,"No petroleros",13.6672544215475
1996,"No petroleros",13.0062749817906
1995,"No petroleros",13.4484460514988
2020,"Tributarios no petroleros",14.44
2019,"Tributarios no petroleros",13.21
2018,"Tributarios no petroleros",13.02
2017,"Tributarios no petroleros",13.1164900695515
2016,"Tributarios no petroleros",13.9120341939271
2015,"Tributarios no petroleros",12.9439533583835
2014,"Tributarios no petroleros",10.4475854166773
2013,"Tributarios no petroleros",9.66955106096391
2012,"Tributarios no petroleros",8.40771901447428
2011,"Tributarios no petroleros",8.87308858737584
2010,"Tributarios no petroleros",9.4723909027476
2009,"Tributarios no petroleros",9.33224919543711
2008,"Tributarios no petroleros",8.07801687996273
2007,"Tributarios no petroleros",8.76005117481506
2006,"Tributarios no petroleros",8.43100252376253
2005,"Tributarios no petroleros",8.56014222853729
2004,"Tributarios no petroleros",8.85883283793702
2003,"Tributarios no petroleros",9.96127594766387
2002,"Tributarios no petroleros",10.1708517107339
2001,"Tributarios no petroleros",9.67255032339757
2000,"Tributarios no petroleros",8.99870280327799
1999,"Tributarios no petroleros",9.41687702502503
1998,"Tributarios no petroleros",8.81362784111484
1997,"Tributarios no petroleros",8.20218116875496
1996,"Tributarios no petroleros",7.48356716625765
1995,"Tributarios no petroleros",7.71681302371274
