Year,Series,Sexo,Grupo de edad,Entidad federativa,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas,GeoCode,Value
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.41180672
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05444635
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35073755
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31694866
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.82969662
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.74334354
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.48392627
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96277467
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38430042
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.23223243
