Year,Sexo,Grupo de edad,Value
2018,"Total",,20.4118067242961
2016,"Total",,20.054446347028897
2014,"Total",,23.3507375499039
2012,"Total",,23.3169486568526
2010,"Total",,24.8296966229216
2008,"Total",,21.743343535109492
2018,"Hombres",,20.4839262690281
2016,"Hombres",,19.962774672765303
2014,"Hombres",,23.384300417167598
2012,"Hombres",,23.232232431454893
2010,"Hombres",,25.046683705707206
2008,"Hombres",,21.843199302424896
2018,"Mujeres",,20.343736466098502
2016,"Mujeres",,20.1404109009502
2014,"Mujeres",,23.3189012101526
2012,"Mujeres",,23.3975115759615
2010,"Mujeres",,24.623428629807304
2008,"Mujeres",,21.6496396488667
2018,,"Menores de 18 años",23.897174022479998
2016,,"Menores de 18 años",23.256312848145104
2014,,"Menores de 18 años",27.5672789998886
2012,,"Menores de 18 años",28.157937542874304
2010,,"Menores de 18 años",29.439663555776594
2008,,"Menores de 18 años",25.6921074867883
2018,,"De 18 años o más",18.8105513492383
2016,,"De 18 años o más",18.4795317141361
2014,,"De 18 años o más",21.2587442891496
2012,,"De 18 años o más",20.872086026449697
2010,,"De 18 años o más",22.314942982914292
2008,,"De 18 años o más",19.453109948837405
2018,,"Entre 12 y 29 años de edad",21.005718535074003
2016,,"Entre 12 y 29 años de edad",20.5614967962693
2014,,"Entre 12 y 29 años de edad",24.6498461632843
2012,,"Entre 12 y 29 años de edad",24.0917887338949
2010,,"Entre 12 y 29 años de edad",25.2696841435602
2008,,"Entre 12 y 29 años de edad",22.056237354782606
2018,,"De 0 a 11 años y de 30 años o más",20.1504532923077
2016,,"De 0 a 11 años y de 30 años o más",19.8307743177574
2014,,"De 0 a 11 años y de 30 años o más",22.76992870080659
2012,,"De 0 a 11 años y de 30 años o más",22.9591564688732
2010,,"De 0 a 11 años y de 30 años o más",24.6243830128366
2008,,"De 0 a 11 años y de 30 años o más",21.591842991992397
2018,,"De 65 años o más",18.208542061528597
2016,,"De 65 años o más",17.350167698691997
2014,,"De 65 años o más",19.976631144048802
2012,,"De 65 años o más",19.917692214817002
2010,,"De 65 años o más",21.4300791475423
2008,,"De 65 años o más",19.304342975245397
2018,,"Menores de 65 años",20.6118589297775
2016,,"Menores de 65 años",20.2837819119666
2014,,"Menores de 65 años",23.6266889407392
2012,,"Menores de 65 años",23.587173177653707
2010,,"Menores de 65 años",25.0777312814227
2008,,"Menores de 65 años",21.9126547353641
