Year,Entidad federativa,"Cobertura geografica",GeoCode,Value
2021,"Estados Unidos Mexicanos","Nacional",00,8.700000000000001
2020,"Estados Unidos Mexicanos","Nacional",00,9.63
2018,"Estados Unidos Mexicanos","Nacional",00,7.6899999999999995
2012,"Estados Unidos Mexicanos","Nacional",00,10.6
2006,"Estados Unidos Mexicanos","Nacional",00,9.5
2021,"Estados Unidos Mexicanos","Urbana",00,9.840000000000002
2020,"Estados Unidos Mexicanos","Urbana",00,9.71
2018,"Estados Unidos Mexicanos","Urbana",00,7.46
2012,"Estados Unidos Mexicanos","Urbana",00,11.099999999999998
2006,"Estados Unidos Mexicanos","Urbana",00,9.799999999999999
2021,"Estados Unidos Mexicanos","Rural",00,5.61
2020,"Estados Unidos Mexicanos","Rural",00,9.42
2018,"Estados Unidos Mexicanos","Rural",00,8.269999999999998
2012,"Estados Unidos Mexicanos","Rural",00,9.299999999999999
2006,"Estados Unidos Mexicanos","Rural",00,8.700000000000001
2021,"Aguascalientes","Nacional",01,
2020,"Aguascalientes","Nacional",01,
2018,"Aguascalientes","Nacional",01,8.549999999999999
2012,"Aguascalientes","Nacional",01,
2006,"Aguascalientes","Nacional",01,
2021,"Aguascalientes","Urbana",01,
2020,"Aguascalientes","Urbana",01,
2018,"Aguascalientes","Urbana",01,
2012,"Aguascalientes","Urbana",01,
2006,"Aguascalientes","Urbana",01,
2021,"Aguascalientes","Rural",01,
2020,"Aguascalientes","Rural",01,
2018,"Aguascalientes","Rural",01,
2012,"Aguascalientes","Rural",01,
2006,"Aguascalientes","Rural",01,
2021,"Baja California","Nacional",02,
2020,"Baja California","Nacional",02,
2018,"Baja California","Nacional",02,1.67
2012,"Baja California","Nacional",02,
2006,"Baja California","Nacional",02,
2021,"Baja California","Urbana",02,
2020,"Baja California","Urbana",02,
2018,"Baja California","Urbana",02,
2012,"Baja California","Urbana",02,
2006,"Baja California","Urbana",02,
2021,"Baja California","Rural",02,
2020,"Baja California","Rural",02,
2018,"Baja California","Rural",02,
2012,"Baja California","Rural",02,
2006,"Baja California","Rural",02,
2021,"Baja California Sur","Nacional",03,
2020,"Baja California Sur","Nacional",03,
2018,"Baja California Sur","Nacional",03,9.230000000000002
2012,"Baja California Sur","Nacional",03,
2006,"Baja California Sur","Nacional",03,
2021,"Baja California Sur","Urbana",03,
2020,"Baja California Sur","Urbana",03,
2018,"Baja California Sur","Urbana",03,
2012,"Baja California Sur","Urbana",03,
2006,"Baja California Sur","Urbana",03,
2021,"Baja California Sur","Rural",03,
2020,"Baja California Sur","Rural",03,
2018,"Baja California Sur","Rural",03,
2012,"Baja California Sur","Rural",03,
2006,"Baja California Sur","Rural",03,
2021,"Campeche","Nacional",04,
2020,"Campeche","Nacional",04,
2018,"Campeche","Nacional",04,8.659999999999998
2012,"Campeche","Nacional",04,
2006,"Campeche","Nacional",04,
2021,"Campeche","Urbana",04,
2020,"Campeche","Urbana",04,
2018,"Campeche","Urbana",04,
2012,"Campeche","Urbana",04,
2006,"Campeche","Urbana",04,
2021,"Campeche","Rural",04,
2020,"Campeche","Rural",04,
2018,"Campeche","Rural",04,
2012,"Campeche","Rural",04,
2006,"Campeche","Rural",04,
2021,"Coahuila de Zaragoza","Nacional",05,
2020,"Coahuila de Zaragoza","Nacional",05,
2018,"Coahuila de Zaragoza","Nacional",05,11.22
2012,"Coahuila de Zaragoza","Nacional",05,
2006,"Coahuila de Zaragoza","Nacional",05,
2021,"Coahuila de Zaragoza","Urbana",05,
2020,"Coahuila de Zaragoza","Urbana",05,
2018,"Coahuila de Zaragoza","Urbana",05,
2012,"Coahuila de Zaragoza","Urbana",05,
2006,"Coahuila de Zaragoza","Urbana",05,
2021,"Coahuila de Zaragoza","Rural",05,
2020,"Coahuila de Zaragoza","Rural",05,
2018,"Coahuila de Zaragoza","Rural",05,
2012,"Coahuila de Zaragoza","Rural",05,
2006,"Coahuila de Zaragoza","Rural",05,
2021,"Colima","Nacional",06,
2020,"Colima","Nacional",06,
2018,"Colima","Nacional",06,9.58
2012,"Colima","Nacional",06,
2006,"Colima","Nacional",06,
2021,"Colima","Urbana",06,
2020,"Colima","Urbana",06,
2018,"Colima","Urbana",06,
2012,"Colima","Urbana",06,
2006,"Colima","Urbana",06,
2021,"Colima","Rural",06,
2020,"Colima","Rural",06,
2018,"Colima","Rural",06,
2012,"Colima","Rural",06,
2006,"Colima","Rural",06,
2021,"Chiapas","Nacional",07,
2020,"Chiapas","Nacional",07,
2018,"Chiapas","Nacional",07,8.659999999999998
2012,"Chiapas","Nacional",07,
2006,"Chiapas","Nacional",07,
2021,"Chiapas","Urbana",07,
2020,"Chiapas","Urbana",07,
2018,"Chiapas","Urbana",07,
2012,"Chiapas","Urbana",07,
2006,"Chiapas","Urbana",07,
2021,"Chiapas","Rural",07,
2020,"Chiapas","Rural",07,
2018,"Chiapas","Rural",07,
2012,"Chiapas","Rural",07,
2006,"Chiapas","Rural",07,
2021,"Chihuahua","Nacional",08,
2020,"Chihuahua","Nacional",08,
2018,"Chihuahua","Nacional",08,9.72
2012,"Chihuahua","Nacional",08,
2006,"Chihuahua","Nacional",08,
2021,"Chihuahua","Urbana",08,
2020,"Chihuahua","Urbana",08,
2018,"Chihuahua","Urbana",08,
2012,"Chihuahua","Urbana",08,
2006,"Chihuahua","Urbana",08,
2021,"Chihuahua","Rural",08,
2020,"Chihuahua","Rural",08,
