Year,"Grupos de interés",Value
2020,"Nacional",
2018,"Nacional",20.4
2016,"Nacional",20.1
2014,"Nacional",23.399999999999995
2012,"Nacional",23.3
2010,"Nacional",24.8
2008,"Nacional",21.7
2020,"Población indígena",
2018,"Población indígena",31.5
2016,"Población indígena",30.5
2014,"Población indígena",38.8
2012,"Población indígena",34.4
2010,"Población indígena",39.7
2008,"Población indígena",37.9
2020,"Personas con discapacidad",
2018,"Personas con discapacidad",27.8
2016,"Personas con discapacidad",27.899999999999995
2014,"Personas con discapacidad",31.100000000000005
2012,"Personas con discapacidad",31.2
2010,"Personas con discapacidad",34.6
2008,"Personas con discapacidad",
