Year,"Sexo","Estimación",Value
2022,"Total","Estimación puntual",0.16
2021,"Total","Estimación puntual",0.16
2020,"Total","Estimación puntual",0.16
2019,"Total","Estimación puntual",0.16
2018,"Total","Estimación puntual",0.16
2017,"Total","Estimación puntual",0.16
2016,"Total","Estimación puntual",0.16
2015,"Total","Estimación puntual",0.16
2014,"Total","Estimación puntual",0.16
2013,"Total","Estimación puntual",0.16
2012,"Total","Estimación puntual",0.16
2011,"Total","Estimación puntual",0.16
2010,"Total","Estimación puntual",0.16
2009,"Total","Estimación puntual",0.16
2008,"Total","Estimación puntual",0.16
2007,"Total","Estimación puntual",0.16
2006,"Total","Estimación puntual",0.16
2005,"Total","Estimación puntual",0.16
2004,"Total","Estimación puntual",0.16
2003,"Total","Estimación puntual",0.16
2002,"Total","Estimación puntual",0.16
2001,"Total","Estimación puntual",0.15000000048994
2000,"Total","Estimación puntual",0.149999999498227
1999,"Total","Estimación puntual",0.15
1998,"Total","Estimación puntual",0.15
1997,"Total","Estimación puntual",0.140000000630725
1996,"Total","Estimación puntual",0.139999999552394
1995,"Total","Estimación puntual",0.12999999988729
1994,"Total","Estimación puntual",0.119999999538861
1993,"Total","Estimación puntual",0.10000000000000002
1992,"Total","Estimación puntual",0.10000000000000002
1991,"Total","Estimación puntual",0.120000000479712
1990,"Total","Estimación puntual",0.140000000237832
2022,"Total","Límite inferior",0.130000000302097
2021,"Total","Límite inferior",0.129999999772846
2020,"Total","Límite inferior",0.13
2019,"Total","Límite inferior",0.139999999670685
2018,"Total","Límite inferior",0.139999999834035
2017,"Total","Límite inferior",0.140000000500506
2016,"Total","Límite inferior",0.139999999497578
2015,"Total","Límite inferior",0.14
2014,"Total","Límite inferior",0.140000000170441
2013,"Total","Límite inferior",0.140000000516002
2012,"Total","Límite inferior",0.139999999826776
2011,"Total","Límite inferior",0.140000000350307
2010,"Total","Límite inferior",0.14000000017771
2009,"Total","Límite inferior",0.140000000358951
2008,"Total","Límite inferior",0.13999999963525
2007,"Total","Límite inferior",0.139999999630363
2006,"Total","Límite inferior",0.140000000187191
2005,"Total","Límite inferior",0.139999999620904
2004,"Total","Límite inferior",0.14
2003,"Total","Límite inferior",0.140000000195613
2002,"Total","Límite inferior",0.139999999402815
2001,"Total","Límite inferior",0.140000000202752
2000,"Total","Límite inferior",0.140000000207055
1999,"Total","Límite inferior",0.140000000639805
1998,"Total","Límite inferior",0.129999999385488
1997,"Total","Límite inferior",0.129999999570319
1996,"Total","Límite inferior",0.120000000422349
1995,"Total","Límite inferior",0.10999999957955102
1994,"Total","Límite inferior",0.11000000023315
1993,"Total","Límite inferior",0.09000000000000001
