Year,"Tasa de mortalidad-enfermedad no transmisible",Value
2021,"Total",386.63
2020,"Total",407.79
2019,"Total",319.05
2018,"Total",313.49
2017,"Total",317.56
2016,"Total",320.35
2015,"Total",308.05
2014,"Total",303.75
2013,"Total",297.47
2012,"Total",292.59
2011,"Total",288.61
2010,"Total",297.38
2009,"Total",296.97
2008,"Total",294.05
2007,"Total",288.69
2006,"Total",285.88
2005,"Total",290.58
2004,"Total",287.82
2003,"Total",292.56
2002,"Total",289.75
2001,"Total",284.92
2000,"Total",287.94
1999,"Total",294.86
1998,"Total",294.47
2021,"Enfermedades respiratorias crónicas",16.41
2020,"Enfermedades respiratorias crónicas",18.75
2019,"Enfermedades respiratorias crónicas",16.08
2018,"Enfermedades respiratorias crónicas",15.76
2017,"Enfermedades respiratorias crónicas",15.24
2016,"Enfermedades respiratorias crónicas",16.71
2015,"Enfermedades respiratorias crónicas",15.68
2014,"Enfermedades respiratorias crónicas",16.32
2013,"Enfermedades respiratorias crónicas",15.83
2012,"Enfermedades respiratorias crónicas",15.42
2011,"Enfermedades respiratorias crónicas",15.7
2010,"Enfermedades respiratorias crónicas",17.49
2009,"Enfermedades respiratorias crónicas",18.2
2008,"Enfermedades respiratorias crónicas",17
2007,"Enfermedades respiratorias crónicas",17.19
2006,"Enfermedades respiratorias crónicas",16.17
2005,"Enfermedades respiratorias crónicas",17.09
2004,"Enfermedades respiratorias crónicas",17.01
2003,"Enfermedades respiratorias crónicas",18.21
2002,"Enfermedades respiratorias crónicas",17.54
2001,"Enfermedades respiratorias crónicas",18.02
2000,"Enfermedades respiratorias crónicas",18.66
1999,"Enfermedades respiratorias crónicas",20.09
1998,"Enfermedades respiratorias crónicas",19.4
2021,"Diabetes",130.9
2020,"Diabetes",147.07
2019,"Diabetes",100.81
2018,"Diabetes",100.01
2017,"Diabetes",106.84
2016,"Diabetes",109.35
2015,"Diabetes",103
2014,"Diabetes",101.49
2013,"Diabetes",97.36
2012,"Diabetes",96.12
2011,"Diabetes",92.75
2010,"Diabetes",98.58
2009,"Diabetes",96.4
2008,"Diabetes",96.42
2007,"Diabetes",92.81
2006,"Diabetes",93.21
2005,"Diabetes",94.29
2004,"Diabetes",91.19
2003,"Diabetes",89.69
2002,"Diabetes",85.81
2001,"Diabetes",80.9
2000,"Diabetes",79.26
1999,"Diabetes",80.29
1998,"Diabetes",76.68
2021,"Enfermedades cardiovasculares",154.43
2020,"Enfermedades cardiovasculares",155.43
2019,"Enfermedades cardiovasculares",114.99
2018,"Enfermedades cardiovasculares",112.26
2017,"Enfermedades cardiovasculares",109.83
2016,"Enfermedades cardiovasculares",109.36
2015,"Enfermedades cardiovasculares",104.8
2014,"Enfermedades cardiovasculares",102.51
2013,"Enfermedades cardiovasculares",101.58
2012,"Enfermedades cardiovasculares",99.27
2011,"Enfermedades cardiovasculares",98.58
2010,"Enfermedades cardiovasculares",100.01
2009,"Enfermedades cardiovasculares",100.31
2008,"Enfermedades cardiovasculares",97.99
2007,"Enfermedades cardiovasculares",96.57
2006,"Enfermedades cardiovasculares",93.17
2005,"Enfermedades cardiovasculares",95.1
2004,"Enfermedades cardiovasculares",95.34
2003,"Enfermedades cardiovasculares",99.09
2002,"Enfermedades cardiovasculares",99.81
2001,"Enfermedades cardiovasculares",100.3
2000,"Enfermedades cardiovasculares",102.8
1999,"Enfermedades cardiovasculares",106.01
1998,"Enfermedades cardiovasculares",109.02
2021,"Cáncer",84.89
2020,"Cáncer",86.54
2019,"Cáncer",87.18
2018,"Cáncer",85.46
2017,"Cáncer",85.65
2016,"Cáncer",84.92
2015,"Cáncer",84.57
2014,"Cáncer",83.44
2013,"Cáncer",82.69
2012,"Cáncer",81.79
2011,"Cáncer",81.59
2010,"Cáncer",81.29
2009,"Cáncer",82.06
2008,"Cáncer",82.63
2007,"Cáncer",82.11
2006,"Cáncer",83.33
2005,"Cáncer",84.1
2004,"Cáncer",84.29
2003,"Cáncer",85.57
2002,"Cáncer",86.58
2001,"Cáncer",85.71
2000,"Cáncer",87.21
1999,"Cáncer",88.47
1998,"Cáncer",89.39
