Year,Entidad federativa,GeoCode,Value
2018,"Estados Unidos Mexicanos",00,70.49768
2017,"Estados Unidos Mexicanos",00,71.63093
2016,"Estados Unidos Mexicanos",00,72.89337
2015,"Estados Unidos Mexicanos",00,74.33358
2014,"Estados Unidos Mexicanos",00,75.55849
2013,"Estados Unidos Mexicanos",00,76.07069
2012,"Estados Unidos Mexicanos",00,76.32806
2011,"Estados Unidos Mexicanos",00,76.38485
2010,"Estados Unidos Mexicanos",00,76.12599
2018,"Aguascalientes",01,76.61167
2017,"Aguascalientes",01,77.83295
2016,"Aguascalientes",01,77.74159
2015,"Aguascalientes",01,78.39242
2014,"Aguascalientes",01,79.5451
2013,"Aguascalientes",01,79.96929
2012,"Aguascalientes",01,80.15928
2011,"Aguascalientes",01,80.1372
2010,"Aguascalientes",01,79.78193
2018,"Baja California",02,64.68157
2017,"Baja California",02,66.0293
2016,"Baja California",02,67.27869
2015,"Baja California",02,68.82912
2014,"Baja California",02,72.84852
2013,"Baja California",02,76.10677
2012,"Baja California",02,79.03154
2011,"Baja California",02,81.68699
2010,"Baja California",02,83.92421
2018,"Baja California Sur",03,70.44147
2017,"Baja California Sur",03,70.88784
2016,"Baja California Sur",03,72.02696
2015,"Baja California Sur",03,72.74264
2014,"Baja California Sur",03,73.87802
2013,"Baja California Sur",03,74.33646
2012,"Baja California Sur",03,74.53437
2011,"Baja California Sur",03,74.58148
2010,"Baja California Sur",03,74.25486
2018,"Campeche",04,81.1779
2017,"Campeche",04,81.97389
2016,"Campeche",04,83.60738
2015,"Campeche",04,83.85623
2014,"Campeche",04,82.61937
2013,"Campeche",04,80.67935
2012,"Campeche",04,78.47869
2011,"Campeche",04,76.1967
2010,"Campeche",04,73.73978
2018,"Coahuila de Zaragoza",05,96.46046
2017,"Coahuila de Zaragoza",05,97.29552
2016,"Coahuila de Zaragoza",05,99.04259
2015,"Coahuila de Zaragoza",05,100.39102
2014,"Coahuila de Zaragoza",05,101.50168
2013,"Coahuila de Zaragoza",05,101.69389
2012,"Coahuila de Zaragoza",05,101.57007
2011,"Coahuila de Zaragoza",05,101.22838
2010,"Coahuila de Zaragoza",05,100.51064
2018,"Colima",06,69.38316
2017,"Colima",06,70.32843
2016,"Colima",06,72.02086
2015,"Colima",06,73.59798
2014,"Colima",06,73.67888
2013,"Colima",06,73.12184
2012,"Colima",06,72.32231
2011,"Colima",06,71.37561
2010,"Colima",06,70.1173
2018,"Chiapas",07,87.17362
2017,"Chiapas",07,88.21266
2016,"Chiapas",07,89.91901
2015,"Chiapas",07,91.56035
2014,"Chiapas",07,91.46722
2013,"Chiapas",07,90.54206
2012,"Chiapas",07,89.36827
2011,"Chiapas",07,88.01245
2010,"Chiapas",07,86.35853
2018,"Chihuahua",08,76.36938
2017,"Chihuahua",08,78.24245
2016,"Chihuahua",08,79.93633
2015,"Chihuahua",08,82.62794
2014,"Chihuahua",08,84.75598
2013,"Chihuahua",08,86.07346
2012,"Chihuahua",08,87.10913
2011,"Chihuahua",08,87.90701
2010,"Chihuahua",08,88.33086
2018,"Ciudad de México",09,48.69364
2017,"Ciudad de México",09,49.03433
2016,"Ciudad de México",09,49.76233
2015,"Ciudad de México",09,49.54713
2014,"Ciudad de México",09,50.96448
2013,"Ciudad de México",09,51.91352
2012,"Ciudad de México",09,52.6718
2011,"Ciudad de México",09,53.25471
2010,"Ciudad de México",09,53.55672
2018,"Durango",10,70.02127
2017,"Durango",10,72.56491
2016,"Durango",10,74.95452
2015,"Durango",10,78.78641
2014,"Durango",10,81.70923
2013,"Durango",10,83.87191
2012,"Durango",10,85.7122
2011,"Durango",10,87.27894
2010,"Durango",10,88.44137
2018,"Guanajuato",11,70.52481
2017,"Guanajuato",11,72.12176
2016,"Guanajuato",11,73.53386
2015,"Guanajuato",11,75.64095
2014,"Guanajuato",11,75.5836
2013,"Guanajuato",11,74.83192
2012,"Guanajuato",11,73.86851
2011,"Guanajuato",11,72.73743
2010,"Guanajuato",11,71.33026
2018,"Guerrero",12,74.94825
2017,"Guerrero",12,77.65505
2016,"Guerrero",12,79.80258
2015,"Guerrero",12,83.95796
2014,"Guerrero",12,85.79131
2013,"Guerrero",12,86.81997
2012,"Guerrero",12,87.56352
2011,"Guerrero",12,88.07006
2010,"Guerrero",12,88.17995
2018,"Hidalgo",13,70.79928
2017,"Hidalgo",13,72.17519
2016,"Hidalgo",13,73.79641
2015,"Hidalgo",13,75.75955
2014,"Hidalgo",13,76.90425
2013,"Hidalgo",13,77.31641
2012,"Hidalgo",13,77.47019
2011,"Hidalgo",13,77.43272
2010,"Hidalgo",13,77.09318
2018,"Jalisco",14,65.92384
2017,"Jalisco",14,67.84852
