Year,Entidad federativa,GeoCode,Value
2018,"Estados Unidos Mexicanos",00,12.2373689229577
2014,"Estados Unidos Mexicanos",00,12.4411486236599
2018,"Aguascalientes",01,12.3264292917539
2014,"Aguascalientes",01,10.6748011325334
2018,"Baja California",02,10.6198562600028
2014,"Baja California",02,10.8332278881437
2018,"Baja California Sur",03,12.8282184379079
2014,"Baja California Sur",03,14.3868079784083
2018,"Campeche",04,12.7462633721959
2014,"Campeche",04,13.3395277916756
2018,"Coahuila de Zaragoza",05,14.8028159387602
2014,"Coahuila de Zaragoza",05,19.7044374454035
2018,"Colima",06,10.2793166458799
2014,"Colima",06,11.6971446904074
2018,"Chiapas",07,16.0541709561317
2014,"Chiapas",07,15.9284223083806
2018,"Chihuahua",08,15.9172083606568
2014,"Chihuahua",08,12.9753972986286
2018,"Ciudad de México",09,7.9412820154124
2014,"Ciudad de México",09,10.5312152252689
2018,"Durango",10,12.9582459014554
2014,"Durango",10,15.7796014067995
2018,"Guanajuato",11,11.0467795251928
2014,"Guanajuato",11,14.2898583210817
2018,"Guerrero",12,14.9391625701635
2014,"Guerrero",12,16.1944074266483
2018,"Hidalgo",13,11.0169131936489
2014,"Hidalgo",13,13.424293276909
2018,"Jalisco",14,13.8357219227637
2014,"Jalisco",14,10.5343014203552
2018,"México",15,10.5148119412001
2014,"México",15,11.5360332289248
2018,"Michoacán de Ocampo",16,16.5132817402217
2014,"Michoacán de Ocampo",16,14.979246665039
2018,"Morelos",17,11.1553357564202
2014,"Morelos",17,15.6644604046378
2018,"Nayarit",18,13.0365412304938
2014,"Nayarit",18,19.4452205148673
2018,"Nuevo León",19,9.33413267732
2014,"Nuevo León",19,10.6906454498376
2018,"Oaxaca",20,13.2803536274593
2014,"Oaxaca",20,13.9218762525337
2018,"Puebla",21,12.7720699976265
2014,"Puebla",21,10.8727520840933
2018,"Querétaro",22,9.4696534958213
2014,"Querétaro",22,8.5880836275994
2018,"Quintana Roo",23,7.488645822685
2014,"Quintana Roo",23,10.5578334052654
2018,"San Luis Potosí",24,11.046034906876
2014,"San Luis Potosí",24,9.7641049570456
2018,"Sinaloa",25,11.3657634288157
2014,"Sinaloa",25,12.130238573512
2018,"Sonora",26,10.4762541706608
2014,"Sonora",26,11.1560367631288
2018,"Tabasco",27,14.7874705024137
2014,"Tabasco",27,11.2677733347886
2018,"Tamaulipas",28,9.4281327716591
2014,"Tamaulipas",28,12.7607751773801
2018,"Tlaxcala",29,14.0803303886103
2014,"Tlaxcala",29,12.5160084455367
2018,"Veracruz de Ignacio de la Llave",30,15.8143749372931
2014,"Veracruz de Ignacio de la Llave",30,10.3825551576894
2018,"Yucatán",31,10.5780441408088
2014,"Yucatán",31,10.5395113661397
2018,"Zacatecas",32,15.2405342227119
2014,"Zacatecas",32,13.2508436445444
