Year,"Quintiles de Ingreso","Cobertura geografica",Value
2020,"Total","Nacional",4.02033
2018,"Total","Nacional",2.22138
2016,"Total","Nacional",2.13102
2014,"Total","Nacional",2.08
2012,"Total","Nacional",2.06
2010,"Total","Nacional",2.23
2008,"Total","Nacional",2.52
2006,"Total","Nacional",3.77
2020,"Total","Urbana",
2018,"Total","Urbana",1.7874799999999997
2016,"Total","Urbana",1.81407
2014,"Total","Urbana",1.7731699999999997
2012,"Total","Urbana",1.6961199999999999
2010,"Total","Urbana",1.58892
2008,"Total","Urbana",1.80797
2006,"Total","Urbana",2.75782
2020,"Total","Rural",
2018,"Total","Rural",3.6661699999999997
2016,"Total","Rural",3.273
2014,"Total","Rural",3.1498900000000005
2012,"Total","Rural",3.37434
2010,"Total","Rural",3.4205799999999997
2008,"Total","Rural",3.83327
2006,"Total","Rural",5.62032
2020,"I","Nacional",6.73716
2018,"I","Nacional",4.25161
2016,"I","Nacional",4.13483
2014,"I","Nacional",4.53
2012,"I","Nacional",4.6
2010,"I","Nacional",4.04
2008,"I","Nacional",4.8
2006,"I","Nacional",6.41
2020,"I","Urbana",
2018,"I","Urbana",3.71925
2016,"I","Urbana",3.8047300000000006
2014,"I","Urbana",4.41
2012,"I","Urbana",4.71
2010,"I","Urbana",3.32
2008,"I","Urbana",3.4500000000000006
2006,"I","Urbana",4.38
2020,"I","Rural",
2018,"I","Rural",4.91861
2016,"I","Rural",4.5722
2014,"I","Rural",4.69
2012,"I","Rural",4.47
2010,"I","Rural",4.45
2008,"I","Rural",5.46
2006,"I","Rural",7.45
2020,"II","Nacional",3.48988
2018,"II","Nacional",2.10451
2016,"II","Nacional",2.03424
2014,"II","Nacional",2
2012,"II","Nacional",1.66
2010,"II","Nacional",2.17
2008,"II","Nacional",2.54
2006,"II","Nacional",4.47
2020,"II","Urbana",
2018,"II","Urbana",1.8761400000000001
2016,"II","Urbana",1.8368
2014,"II","Urbana",1.71
2012,"II","Urbana",1.33
2010,"II","Urbana",1.68
2008,"II","Urbana",1.93
2006,"II","Urbana",3.7900000000000005
2020,"II","Rural",
2018,"II","Rural",2.67144
2016,"II","Rural",2.54523
2014,"II","Rural",2.76
2012,"II","Rural",2.53
2010,"II","Rural",2.84
2008,"II","Rural",3.34
2006,"II","Rural",5.24
2020,"III","Nacional",3.19764
2018,"III","Nacional",1.44897
2016,"III","Nacional",1.65813
2014,"III","Nacional",0.96
2012,"III","Nacional",1.62
2010,"III","Nacional",1.45
2008,"III","Nacional",1.74
2006,"III","Nacional",2.42
2020,"III","Urbana",
2018,"III","Urbana",1.12813
2016,"III","Urbana",1.44151
2014,"III","Urbana",0.84
2012,"III","Urbana",1.33
2010,"III","Urbana",1.07
2008,"III","Urbana",1.27
2006,"III","Urbana",2.24
2020,"III","Rural",
2018,"III","Rural",2.7730100000000006
2016,"III","Rural",2.62901
2014,"III","Rural",1.51
2012,"III","Rural",2.9
2010,"III","Rural",2.25
2008,"III","Rural",2.83
2006,"III","Rural",2.82
2020,"IV","Nacional",3.11666
2018,"IV","Nacional",1.56785
2016,"IV","Nacional",1.29248
2014,"IV","Nacional",1.15
2012,"IV","Nacional",1.28
2010,"IV","Nacional",1.8500000000000003
2008,"IV","Nacional",1.59
2006,"IV","Nacional",2.9500000000000006
2020,"IV","Urbana",
2018,"IV","Urbana",1.28159
2016,"IV","Urbana",1.23117
2014,"IV","Urbana",1.08
2012,"IV","Urbana",1.16
2010,"IV","Urbana",1.42
2008,"IV","Urbana",1.31
2006,"IV","Urbana",2.17
2020,"IV","Rural",
2018,"IV","Rural",3.2358500000000006
2016,"IV","Rural",1.7321099999999998
2014,"IV","Rural",1.61
2012,"IV","Rural",2.19
2010,"IV","Rural",3.33
2008,"IV","Rural",2.6
2006,"IV","Rural",5.75
2020,"V","Nacional",3.56042
2018,"V","Nacional",1.73402
2016,"V","Nacional",1.53549
2014,"V","Nacional",1.7299999999999998
2012,"V","Nacional",1.15
2010,"V","Nacional",1.64
2008,"V","Nacional",1.9400000000000002
2006,"V","Nacional",2.6
2020,"V","Urbana",
2018,"V","Urbana",1.59684
2016,"V","Urbana",1.45324
2014,"V","Urbana",1.6900000000000002
2012,"V","Urbana",1.04
2010,"V","Urbana",1.36
2008,"V","Urbana",1.99
2006,"V","Urbana",2.43
2020,"V","Rural",
2018,"V","Rural",3.26456
2016,"V","Rural",2.58586
2014,"V","Rural",2.33
2012,"V","Rural",2.81
2010,"V","Rural",3.35
2008,"V","Rural",1.62
2006,"V","Rural",3.8699999999999997
