Year,Entidad federativa,"Índice de finalización","Población que finalizó el nivel de instrucción",GeoCode,Value
2020,"Estados Unidos Mexicanos","Indice de finalización primaria","Total",00,97.95882138
2018,"Estados Unidos Mexicanos","Indice de finalización primaria","Total",00,97.89028547
2016,"Estados Unidos Mexicanos","Indice de finalización primaria","Total",00,97.75227956000002
2020,"Estados Unidos Mexicanos","Indice de finalización primaria","Hombres",00,97.58238942000001
2018,"Estados Unidos Mexicanos","Indice de finalización primaria","Hombres",00,97.51202503
2016,"Estados Unidos Mexicanos","Indice de finalización primaria","Hombres",00,97.59568477999998
2020,"Estados Unidos Mexicanos","Indice de finalización primaria","Mujeres",00,98.34984435
2018,"Estados Unidos Mexicanos","Indice de finalización primaria","Mujeres",00,98.28331398
2016,"Estados Unidos Mexicanos","Indice de finalización primaria","Mujeres",00,97.91222581
2020,"Estados Unidos Mexicanos","Indice de finalización primaria","Hablantes de lengua indígena",00,95.02655229000001
2018,"Estados Unidos Mexicanos","Indice de finalización primaria","Hablantes de lengua indígena",00,93.19721560000002
2016,"Estados Unidos Mexicanos","Indice de finalización primaria","Hablantes de lengua indígena",00,95.02126064000001
2020,"Estados Unidos Mexicanos","Indice de finalización primaria","Población con alguna discapacidad",00,80.21767758
2018,"Estados Unidos Mexicanos","Indice de finalización primaria","Población con alguna discapacidad",00,83.43021346
2016,"Estados Unidos Mexicanos","Indice de finalización primaria","Población con alguna discapacidad",00,79.19077516999998
2020,"Estados Unidos Mexicanos","Indice de finalización primaria","Cambio de residencia",00,96.83023267
2018,"Estados Unidos Mexicanos","Indice de finalización primaria","Cambio de residencia",00,97.83725762999998
2016,"Estados Unidos Mexicanos","Indice de finalización primaria","Cambio de residencia",00,97.04476565000002
2020,"Estados Unidos Mexicanos","Indice de finalización secundaria","Total",00,90.34206493
2018,"Estados Unidos Mexicanos","Indice de finalización secundaria","Total",00,88.62381714000001
2016,"Estados Unidos Mexicanos","Indice de finalización secundaria","Total",00,87.55826018000002
2020,"Estados Unidos Mexicanos","Indice de finalización secundaria","Hombres",00,89.24836399000002
