Year,Entidad federativa,GeoCode,Value
2021/2022,"Estados Unidos Mexicanos",00,36.8512221327745
2020/2021,"Estados Unidos Mexicanos",00,37.7849995013511
2019/2020,"Estados Unidos Mexicanos",00,38.521747377592
2018/2019,"Estados Unidos Mexicanos",00,38.6400482835504
2017/2018,"Estados Unidos Mexicanos",00,38.6608987522694
2016/2017,"Estados Unidos Mexicanos",00,37.8130638771724
2015/2016,"Estados Unidos Mexicanos",00,37.4544011632446
2014/2015,"Estados Unidos Mexicanos",00,36.5078811632594
2013/2014,"Estados Unidos Mexicanos",00,35.7037438799924
2012/2013,"Estados Unidos Mexicanos",00,34.620209595994
2021/2022,"Aguascalientes",01,38.392173863872
2020/2021,"Aguascalientes",01,39.2257898540033
2019/2020,"Aguascalientes",01,39.8742520657232
2018/2019,"Aguascalientes",01,40.1022281772617
2017/2018,"Aguascalientes",01,31.9196145799344
2016/2017,"Aguascalientes",01,38.7642859627492
2015/2016,"Aguascalientes",01,38.1519192330109
2014/2015,"Aguascalientes",01,36.7793359225774
2013/2014,"Aguascalientes",01,35.9556303611624
2012/2013,"Aguascalientes",01,34.5586469092445
2021/2022,"Baja California",02,38.575684094564
2020/2021,"Baja California",02,39.3700837401278
2019/2020,"Baja California",02,39.8211509544563
2018/2019,"Baja California",02,40.5399527277496
2017/2018,"Baja California",02,41.2671326424038
2016/2017,"Baja California",02,40.7628691328329
2015/2016,"Baja California",02,39.9426956411696
2014/2015,"Baja California",02,37.9262572518142
2013/2014,"Baja California",02,36.6568571088893
2012/2013,"Baja California",02,35.0837157182702
2021/2022,"Baja California Sur",03,36.778755133545
2020/2021,"Baja California Sur",03,39.6280988702017
2019/2020,"Baja California Sur",03,40.794199764495
2018/2019,"Baja California Sur",03,41.0939030682829
2017/2018,"Baja California Sur",03,40.4348614975203
2016/2017,"Baja California Sur",03,39.5561067854873
2015/2016,"Baja California Sur",03,38.8706739526412
2014/2015,"Baja California Sur",03,38.0135213565277
2013/2014,"Baja California Sur",03,37.9885514390205
2012/2013,"Baja California Sur",03,36.6860990892061
2021/2022,"Campeche",04,35.1315075368087
2020/2021,"Campeche",04,36.528116786954
2019/2020,"Campeche",04,36.5660868952891
2018/2019,"Campeche",04,36.7404192250688
2017/2018,"Campeche",04,36.9231494800387
