Year,Entidad federativa,Principales ciudades,"Habilidades para uso de PC",GeoCode,Value
2018,"Estados Unidos Mexicanos",,"Copiar archivos entre carpetas",00,33.6999367276235
2017,"Estados Unidos Mexicanos",,"Copiar archivos entre carpetas",00,32.8380350142966
2016 P/,"Estados Unidos Mexicanos",,"Copiar archivos entre carpetas",00,35.6672239820401
2018,"Estados Unidos Mexicanos",,"Crear archivos de texto",00,36.3066674925998
2017,"Estados Unidos Mexicanos",,"Crear archivos de texto",00,35.3562368272188
2016 P/,"Estados Unidos Mexicanos",,"Crear archivos de texto",00,38.0062601381975
2018,"Estados Unidos Mexicanos",,"Crear hojas de cálculo",00,26.993196670899597
2017,"Estados Unidos Mexicanos",,"Crear hojas de cálculo",00,25.5911643792771
2016 P/,"Estados Unidos Mexicanos",,"Crear hojas de cálculo",00,25.5614397761714
2018,"Estados Unidos Mexicanos",,"Crear presentaciones",00,30.6880928466817
2017,"Estados Unidos Mexicanos",,"Crear presentaciones",00,29.330731264464603
2016 P/,"Estados Unidos Mexicanos",,"Crear presentaciones",00,31.0446829845196
2018,"Estados Unidos Mexicanos",,"Crear / usar base de datos",00,19.8415836677625
2017,"Estados Unidos Mexicanos",,"Crear / usar base de datos",00,19.110777395954702
2016 P/,"Estados Unidos Mexicanos",,"Crear / usar base de datos",00,23.5438244205402
2018,"Estados Unidos Mexicanos",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",00,38.9819607357294
2017,"Estados Unidos Mexicanos",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",00,37.6077803724418
2016 P/,"Estados Unidos Mexicanos",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",00,40.314194250791
2018,"Estados Unidos Mexicanos",,"Enviar y recibir correo electrónico",00,34.4154897857146
2017,"Estados Unidos Mexicanos",,"Enviar y recibir correo electrónico",00,33.6991726309942
2016 P/,"Estados Unidos Mexicanos",,"Enviar y recibir correo electrónico",00,35.354659621547
2018,"Estados Unidos Mexicanos",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",00,23.530417199467298
2017,"Estados Unidos Mexicanos",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",00,21.9687883305261
2016 P/,"Estados Unidos Mexicanos",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",00,21.516950968145398
2018,"Aguascalientes",,"Copiar archivos entre carpetas",01,34.1740104313469
2017,"Aguascalientes",,"Copiar archivos entre carpetas",01,35.5856511409096
2016 P/,"Aguascalientes",,"Copiar archivos entre carpetas",01,41.4173167229402
2018,"Aguascalientes",,"Crear archivos de texto",01,38.6346459403303
2017,"Aguascalientes",,"Crear archivos de texto",01,38.643109528676696
2016 P/,"Aguascalientes",,"Crear archivos de texto",01,43.99934455354181
2018,"Aguascalientes",,"Crear hojas de cálculo",01,28.5422803792401
2017,"Aguascalientes",,"Crear hojas de cálculo",01,28.044681960022498
2016 P/,"Aguascalientes",,"Crear hojas de cálculo",01,32.3338637275068
2018,"Aguascalientes",,"Crear presentaciones",01,32.6910397340697
2017,"Aguascalientes",,"Crear presentaciones",01,32.458133930807605
2016 P/,"Aguascalientes",,"Crear presentaciones",01,36.491377860571
2018,"Aguascalientes",,"Crear / usar base de datos",01,21.6058420864024
2017,"Aguascalientes",,"Crear / usar base de datos",01,23.830406882687
2016 P/,"Aguascalientes",,"Crear / usar base de datos",01,30.506720482270605
2018,"Aguascalientes",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",01,42.7745919460956
2017,"Aguascalientes",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",01,41.812086669870595
2016 P/,"Aguascalientes",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",01,49.4029831438144
2018,"Aguascalientes",,"Enviar y recibir correo electrónico",01,36.3850801640613
2017,"Aguascalientes",,"Enviar y recibir correo electrónico",01,35.1616598864167
2016 P/,"Aguascalientes",,"Enviar y recibir correo electrónico",01,42.6336011177087
2018,"Aguascalientes",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",01,24.7453898285637
