Year,Entidad federativa,"Educación Básica","Educación Media",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",,00,50.73674516510991
2020/2021,"Estados Unidos Mexicanos","Total",,00,52.795409350073676
2019/2020,"Estados Unidos Mexicanos","Total",,00,53.9858735950528
2018/2019,"Estados Unidos Mexicanos","Total",,00,54.349148195640176
2021/2022,"Aguascalientes","Total",,01,75.4113345521024
2020/2021,"Aguascalientes","Total",,01,81.1059907834101
2019/2020,"Aguascalientes","Total",,01,78.5116279069767
2018/2019,"Aguascalientes","Total",,01,77.93296089385481
2021/2022,"Baja California","Total",,02,74.73730297723293
2020/2021,"Baja California","Total",,02,79.89487516425763
2019/2020,"Baja California","Total",,02,81.56400174748799
2018/2019,"Baja California","Total",,02,79.54445904511611
2021/2022,"Baja California Sur","Total",,03,66.35514018691592
2020/2021,"Baja California Sur","Total",,03,73.19749216300941
2019/2020,"Baja California Sur","Total",,03,72.0379146919431
2018/2019,"Baja California Sur","Total",,03,71.3831478537361
2021/2022,"Campeche","Total",,04,55.99284436493738
2020/2021,"Campeche","Total",,04,65.82278481012659
2019/2020,"Campeche","Total",,04,67.96380090497743
2018/2019,"Campeche","Total",,04,69.5573622402891
2021/2022,"Coahuila de Zaragoza","Total",,05,54.37676482452602
2020/2021,"Coahuila de Zaragoza","Total",,05,57.77777777777782
2019/2020,"Coahuila de Zaragoza","Total",,05,60.42932361279871
2018/2019,"Coahuila de Zaragoza","Total",,05,60.657734470158296
2021/2022,"Colima","Total",,06,67.9878048780488
2020/2021,"Colima","Total",,06,73.4756097560976
2019/2020,"Colima","Total",,06,72.6858877086495
2018/2019,"Colima","Total",,06,73.37367624810892
2021/2022,"Chiapas","Total",,07,22.354964250158393
2020/2021,"Chiapas","Total",,07,24.8438648052902
2019/2020,"Chiapas","Total",,07,22.5192237275723
2018/2019,"Chiapas","Total",,07,24.166511454646997
2021/2022,"Chihuahua","Total",,08,45.64929912721501
2020/2021,"Chihuahua","Total",,08,53.7782680639824
2019/2020,"Chihuahua","Total",,08,51.45684442001098
2018/2019,"Chihuahua","Total",,08,60.92357547934112
2021/2022,"Ciudad de México","Total",,09,75.7363253856942
2020/2021,"Ciudad de México","Total",,09,80.63844552394173
2019/2020,"Ciudad de México","Total",,09,80.5631868131868
2018/2019,"Ciudad de México","Total",,09,87.80930760499429
2021/2022,"Durango","Total",,10,60.78487539387002
2020/2021,"Durango","Total",,10,66.16146895948701
2019/2020,"Durango","Total",,10,63.11852704257772
2018/2019,"Durango","Total",,10,61.1127209504491
2021/2022,"Guanajuato","Total",,11,62.986700849222885
2020/2021,"Guanajuato","Total",,11,65.68580157581599
2019/2020,"Guanajuato","Total",,11,63.48090139044269
