Year,Entidad federativa,"Educación Básica","Educación Media",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",,00,77.00448771360492
2020/2021,"Estados Unidos Mexicanos","Total",,00,75.0398086250798
2019/2020,"Estados Unidos Mexicanos","Total",,00,73.0198854061341
2018/2019,"Estados Unidos Mexicanos","Total",,00,71.69298406301519
2021/2022,"Aguascalientes","Total",,01,97.07495429616091
2020/2021,"Aguascalientes","Total",,01,96.86635944700463
2019/2020,"Aguascalientes","Total",,01,94.32558139534878
2018/2019,"Aguascalientes","Total",,01,92.92364990689013
2021/2022,"Baja California","Total",,02,94.52714535901933
2020/2021,"Baja California","Total",,02,94.48094612352172
2019/2020,"Baja California","Total",,02,94.05854084753172
2018/2019,"Baja California","Total",,02,94.04292597459478
2021/2022,"Baja California Sur","Total",,03,88.785046728972
2020/2021,"Baja California Sur","Total",,03,88.87147335423198
2019/2020,"Baja California Sur","Total",,03,86.88783570300163
2018/2019,"Baja California Sur","Total",,03,86.32750397456282
2021/2022,"Campeche","Total",,04,79.33810375670842
2020/2021,"Campeche","Total",,04,81.01265822784809
2019/2020,"Campeche","Total",,04,75.2941176470588
2018/2019,"Campeche","Total",,04,75.60975609756102
2021/2022,"Coahuila de Zaragoza","Total",,05,88.10004033884631
2020/2021,"Coahuila de Zaragoza","Total",,05,89.0505050505051
2019/2020,"Coahuila de Zaragoza","Total",,05,87.9708383961118
2018/2019,"Coahuila de Zaragoza","Total",,05,88.1851400730816
2021/2022,"Colima","Total",,06,93.90243902439018
2020/2021,"Colima","Total",,06,95.2743902439024
2019/2020,"Colima","Total",,06,92.412746585736
2018/2019,"Colima","Total",,06,91.37670196671708
2021/2022,"Chiapas","Total",,07,46.22137750022629
2020/2021,"Chiapas","Total",,07,50.4684055841293
2019/2020,"Chiapas","Total",,07,39.939582570487
2018/2019,"Chiapas","Total",,07,39.46731234866831
2021/2022,"Chihuahua","Total",,08,72.54694525257868
2020/2021,"Chihuahua","Total",,08,78.48869277440711
2019/2020,"Chihuahua","Total",,08,74.71137987905442
2018/2019,"Chihuahua","Total",,08,71.80664326221981
2021/2022,"Ciudad de México","Total",,09,98.34034595605416
2020/2021,"Ciudad de México","Total",,09,98.28822576914179
2019/2020,"Ciudad de México","Total",,09,97.89377289377288
2018/2019,"Ciudad de México","Total",,09,97.9114642451759
2021/2022,"Durango","Total",,10,62.188484674878296
2020/2021,"Durango","Total",,10,66.83182745555231
2019/2020,"Durango","Total",,10,60.817031070195604
2018/2019,"Durango","Total",,10,60.50420168067229
2021/2022,"Guanajuato","Total",,11,90.17785611280239
2020/2021,"Guanajuato","Total",,11,90.464704936485
2019/2020,"Guanajuato","Total",,11,85.5681636567045
2018/2019,"Guanajuato","Total",,11,85.1424911943644
2021/2022,"Guerrero","Total",,12,55.11000156030581
2020/2021,"Guerrero","Total",,12,49.7338760175329
2019/2020,"Guerrero","Total",,12,49.01930017260319
2018/2019,"Guerrero","Total",,12,47.264701245467414
2021/2022,"Hidalgo","Total",,13,80.58167504920178
2020/2021,"Hidalgo","Total",,13,82.44257950530042
2019/2020,"Hidalgo","Total",,13,74.41808911549552
2018/2019,"Hidalgo","Total",,13,74.22634836427939
2021/2022,"Jalisco","Total",,14,91.35405960945533
2020/2021,"Jalisco","Total",,14,87.85046728971959
2019/2020,"Jalisco","Total",,14,84.86244401791427
2018/2019,"Jalisco","Total",,14,84.16943946762218
2021/2022,"México","Total",,15,87.2764262100534
2020/2021,"México","Total",,15,88.21680400985473
2019/2020,"México","Total",,15,87.2052438920576
2018/2019,"México","Total",,15,86.52433817250213
2021/2022,"Michoacán de Ocampo","Total",,16,74.0149406767248
2020/2021,"Michoacán de Ocampo","Total",,16,72.50072865053923
2019/2020,"Michoacán de Ocampo","Total",,16,75.16962610076509
2018/2019,"Michoacán de Ocampo","Total",,16,53.30188679245281
2021/2022,"Morelos","Total",,17,92.09039548022602
2020/2021,"Morelos","Total",,17,90.2204635387224
2019/2020,"Morelos","Total",,17,90.4708520179372
2018/2019,"Morelos","Total",,17,89.59864330130019
2021/2022,"Nayarit","Total",,18,77.9114270092947
2020/2021,"Nayarit","Total",,18,81.56884256719692
2019/2020,"Nayarit","Total",,18,76.93593314763231
2018/2019,"Nayarit","Total",,18,75.6232686980609
2021/2022,"Nuevo León","Total",,19,82.2823589481746
2020/2021,"Nuevo León","Total",,19,1.4362657091561897
2019/2020,"Nuevo León","Total",,19,83.57215967246671
2018/2019,"Nuevo León","Total",,19,83.53909465020578
2021/2022,"Oaxaca","Total",,20,76.33681622618317
2020/2021,"Oaxaca","Total",,20,79.15547961923359
2019/2020,"Oaxaca","Total",,20,62.83833211411851
2018/2019,"Oaxaca","Total",,20,68.95886114127163
2021/2022,"Puebla","Total",,21,81.26849894291749
2020/2021,"Puebla","Total",,21,81.81433408577877
2019/2020,"Puebla","Total",,21,77.24049914917751
2018/2019,"Puebla","Total",,21,77.40562021004828
2021/2022,"Querétaro","Total",,22,87.37089201877932
2020/2021,"Querétaro","Total",,22,85.99426386233269
2019/2020,"Querétaro","Total",,22,77.07222491517209
2018/2019,"Querétaro","Total",,22,75.15769044153322
2021/2022,"Quintana Roo","Total",,23,88.0543633762518
2020/2021,"Quintana Roo","Total",,23,93.25018341892881
2019/2020,"Quintana Roo","Total",,23,89.20495988329687
2018/2019,"Quintana Roo","Total",,23,87.4084919472914
2021/2022,"San Luis Potosí","Total",,24,66.12936557139902
2020/2021,"San Luis Potosí","Total",,24,63.19069380972158
2019/2020,"San Luis Potosí","Total",,24,58.64926455355291
2018/2019,"San Luis Potosí","Total",,24,57.96714579055438
2021/2022,"Sinaloa","Total",,25,79.1418016481955
2020/2021,"Sinaloa","Total",,25,80.6303724928367
2019/2020,"Sinaloa","Total",,25,73.25779036827201
2018/2019,"Sinaloa","Total",,25,72.39124253625252
2021/2022,"Sonora","Total",,26,90.97003154574129
2020/2021,"Sonora","Total",,26,91.39827179890018
2019/2020,"Sonora","Total",,26,90.28482247366371
2018/2019,"Sonora","Total",,26,88.44339622641512
2021/2022,"Tabasco","Total",,27,61.94415718717679
2020/2021,"Tabasco","Total",,27,64.7139903514817
2019/2020,"Tabasco","Total",,27,61.5517838586768
2018/2019,"Tabasco","Total",,27,60.37409075164531
2021/2022,"Tamaulipas","Total",,28,85.9821996185633
2020/2021,"Tamaulipas","Total",,28,86.2057980248487
2019/2020,"Tamaulipas","Total",,28,84.34004474272932
2018/2019,"Tamaulipas","Total",,28,82.4238578680203
2021/2022,"Tlaxcala","Total",,29,95.93220338983049
2020/2021,"Tlaxcala","Total",,29,97.60273972602742
2019/2020,"Tlaxcala","Total",,29,90.8620689655172
