Year,Entidad federativa,"Educación Básica","Educación Media",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",,00,83.250741861451
2020/2021,"Estados Unidos Mexicanos","Total",,00,84.7310991583319
2019/2020,"Estados Unidos Mexicanos","Total",,00,82.66071716416818
2018/2019,"Estados Unidos Mexicanos","Total",,00,85.70287598461258
2021/2022,"Aguascalientes","Total",,01,95.52102376599629
2020/2021,"Aguascalientes","Total",,01,98.34101382488483
2019/2020,"Aguascalientes","Total",,01,94.23255813953489
2018/2019,"Aguascalientes","Total",,01,94.22718808193669
2021/2022,"Baja California","Total",,02,97.67950963222417
2020/2021,"Baja California","Total",,02,98.42312746386327
2019/2020,"Baja California","Total",,02,98.20882481432939
2018/2019,"Baja California","Total",,02,98.46692947875597
2021/2022,"Baja California Sur","Total",,03,90.96573208722741
2020/2021,"Baja California Sur","Total",,03,94.35736677115989
2019/2020,"Baja California Sur","Total",,03,90.67930489731437
2018/2019,"Baja California Sur","Total",,03,91.41494435612078
2021/2022,"Campeche","Total",,04,85.24150268336322
2020/2021,"Campeche","Total",,04,89.69258589511749
2019/2020,"Campeche","Total",,04,85.5203619909502
2018/2019,"Campeche","Total",,04,86.26919602529362
2021/2022,"Coahuila de Zaragoza","Total",,05,95.96611536910048
2020/2021,"Coahuila de Zaragoza","Total",,05,96.68686868686873
2019/2020,"Coahuila de Zaragoza","Total",,05,96.47630619684081
2018/2019,"Coahuila de Zaragoza","Total",,05,96.10231425091348
2021/2022,"Colima","Total",,06,93.59756097560982
2020/2021,"Colima","Total",,06,95.12195121951217
2019/2020,"Colima","Total",,06,92.56449165402117
2018/2019,"Colima","Total",,06,93.7972768532527
2021/2022,"Chiapas","Total",,07,60.34935288261383
2020/2021,"Chiapas","Total",,07,65.98089639970611
2019/2020,"Chiapas","Total",,07,57.49725375320398
2018/2019,"Chiapas","Total",,07,61.575712423170096
2021/2022,"Chihuahua","Total",,08,81.1161068500397
2020/2021,"Chihuahua","Total",,08,89.5752895752896
2019/2020,"Chihuahua","Total",,08,85.67894447498632
2018/2019,"Chihuahua","Total",,08,86.2813934647583
2021/2022,"Ciudad de México","Total",,09,97.73258532024307
2020/2021,"Ciudad de México","Total",,09,95.99814943326393
2019/2020,"Ciudad de México","Total",,09,91.0714285714286
2018/2019,"Ciudad de México","Total",,09,99.86379114642453
2021/2022,"Durango","Total",,10,76.7688341449441
2020/2021,"Durango","Total",,10,85.3104051296998
2019/2020,"Durango","Total",,10,77.04257767548913
2018/2019,"Durango","Total",,10,78.7597797739786
2021/2022,"Guanajuato","Total",,11,91.73209421567063
2020/2021,"Guanajuato","Total",,11,96.47853352629043
2019/2020,"Guanajuato","Total",,11,91.59341537478022
2018/2019,"Guanajuato","Total",,11,91.93083573487027
2021/2022,"Guerrero","Total",,12,76.5173974098923
2020/2021,"Guerrero","Total",,12,80.55729492799
2019/2020,"Guerrero","Total",,12,75.47465871646008
2018/2019,"Guerrero","Total",,12,77.6131168216932
2021/2022,"Hidalgo","Total",,13,83.8617975071069
2020/2021,"Hidalgo","Total",,13,92.1819787985866
2019/2020,"Hidalgo","Total",,13,84.1720239414764
2018/2019,"Hidalgo","Total",,13,85.05747126436782
2021/2022,"Jalisco","Total",,14,88.70760534429603
2020/2021,"Jalisco","Total",,14,93.27870951222629
2019/2020,"Jalisco","Total",,14,88.58605246321183
2018/2019,"Jalisco","Total",,14,89.39083695930383
