Year,Entidad federativa,"Educación Básica","Educación Media",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",,00,81.58356356619741
2020/2021,"Estados Unidos Mexicanos","Total",,00,74.51073915627731
2019/2020,"Estados Unidos Mexicanos","Total",,00,68.38484195718118
2018/2019,"Estados Unidos Mexicanos","Total",,00,66.7455577944679
2021/2022,"Aguascalientes","Total",,01,97.80621572212068
2020/2021,"Aguascalientes","Total",,01,91.52073732718893
2019/2020,"Aguascalientes","Total",,01,83.81395348837212
2018/2019,"Aguascalientes","Total",,01,84.0782122905028
2021/2022,"Baja California","Total",,02,95.53415061295973
2020/2021,"Baja California","Total",,02,96.62724485326318
2019/2020,"Baja California","Total",,02,96.63608562691131
2018/2019,"Baja California","Total",,02,95.5759964958388
2021/2022,"Baja California Sur","Total",,03,92.8348909657321
2020/2021,"Baja California Sur","Total",,03,86.99059561128527
2019/2020,"Baja California Sur","Total",,03,86.2559241706161
2018/2019,"Baja California Sur","Total",,03,84.5786963434022
2021/2022,"Campeche","Total",,04,81.6636851520572
2020/2021,"Campeche","Total",,04,77.4864376130199
2019/2020,"Campeche","Total",,04,74.29864253393671
2018/2019,"Campeche","Total",,04,72.44805781391152
2021/2022,"Coahuila de Zaragoza","Total",,05,86.64784187172248
2020/2021,"Coahuila de Zaragoza","Total",,05,83.959595959596
2019/2020,"Coahuila de Zaragoza","Total",,05,82.78655326042932
2018/2019,"Coahuila de Zaragoza","Total",,05,81.36419001218027
2021/2022,"Colima","Total",,06,93.90243902439018
2020/2021,"Colima","Total",,06,93.75
2019/2020,"Colima","Total",,06,91.5022761760243
2018/2019,"Colima","Total",,06,89.56127080181543
2021/2022,"Chiapas","Total",,07,56.6386098289438
2020/2021,"Chiapas","Total",,07,40.55841293166792
2019/2020,"Chiapas","Total",,07,33.549981691688
2018/2019,"Chiapas","Total",,07,31.709815608120707
2021/2022,"Chihuahua","Total",,08,79.52922507273209
2020/2021,"Chihuahua","Total",,08,82.21180364037511
2019/2020,"Chihuahua","Total",,08,56.67949422759761
2018/2019,"Chihuahua","Total",,08,66.45962732919249
2021/2022,"Ciudad de México","Total",,09,97.35857877512859
2020/2021,"Ciudad de México","Total",,09,95.16539440203563
2019/2020,"Ciudad de México","Total",,09,93.75
2018/2019,"Ciudad de México","Total",,09,90.44267877412032
2021/2022,"Durango","Total",,10,68.2325981094242
2020/2021,"Durango","Total",,10,68.25998251238708
2019/2020,"Durango","Total",,10,58.026467203682394
2018/2019,"Durango","Total",,10,58.128078817734014
2021/2022,"Guanajuato","Total",,11,95.22512417881747
2020/2021,"Guanajuato","Total",,11,84.65991316931976
2019/2020,"Guanajuato","Total",,11,76.9857759309573
2018/2019,"Guanajuato","Total",,11,74.4316362471982
2021/2022,"Guerrero","Total",,12,58.62068965517241
2020/2021,"Guerrero","Total",,12,56.167814652473425
2019/2020,"Guerrero","Total",,12,43.9510434646163
2018/2019,"Guerrero","Total",,12,41.7625729150244
2021/2022,"Hidalgo","Total",,13,82.3748086595233
2020/2021,"Hidalgo","Total",,13,79.21819787985872
2019/2020,"Hidalgo","Total",,13,68.83174462425178
2018/2019,"Hidalgo","Total",,13,69.0981432360743
2021/2022,"Jalisco","Total",,14,91.59815005138753
2020/2021,"Jalisco","Total",,14,87.79925745743184
2019/2020,"Jalisco","Total",,14,80.29430582213692
2018/2019,"Jalisco","Total",,14,78.97363706168423
2021/2022,"México","Total",,15,87.13232177672288
2020/2021,"México","Total",,15,80.99566731798492
2019/2020,"México","Total",,15,76.98986975397972
2018/2019,"México","Total",,15,75.4995730145175
2021/2022,"Michoacán de Ocampo","Total",,16,77.10561007763292
2020/2021,"Michoacán de Ocampo","Total",,16,69.775575633926
2019/2020,"Michoacán de Ocampo","Total",,16,70.2901689042876
2018/2019,"Michoacán de Ocampo","Total",,16,49.456832475700395
2021/2022,"Morelos","Total",,17,95.31073446327679
2020/2021,"Morelos","Total",,17,92.7077444884115
2019/2020,"Morelos","Total",,17,91.03139013452913
2018/2019,"Morelos","Total",,17,88.58111927642743
2021/2022,"Nayarit","Total",,18,83.54291962821209
2020/2021,"Nayarit","Total",,18,73.12122874382888
2019/2020,"Nayarit","Total",,18,67.2980501392758
2018/2019,"Nayarit","Total",,18,66.5927977839335
2021/2022,"Nuevo León","Total",,19,73.5767168751596
2020/2021,"Nuevo León","Total",,19,1.9492177481405502
2019/2020,"Nuevo León","Total",,19,79.7338792221085
2018/2019,"Nuevo León","Total",,19,79.62962962962959
2021/2022,"Oaxaca","Total",,20,77.7750460971112
2020/2021,"Oaxaca","Total",,20,76.5926287527459
2019/2020,"Oaxaca","Total",,20,57.91270421848332
2018/2019,"Oaxaca","Total",,20,64.59162745807701
2021/2022,"Puebla","Total",,21,91.3037350246653
2020/2021,"Puebla","Total",,21,82.78781038374721
2019/2020,"Puebla","Total",,21,73.35507657402158
2018/2019,"Puebla","Total",,21,73.0343457280727
2021/2022,"Querétaro","Total",,22,84.3192488262911
2020/2021,"Querétaro","Total",,22,83.84321223709368
2019/2020,"Querétaro","Total",,22,69.89820649539512
2018/2019,"Querétaro","Total",,22,63.51285783600189
2021/2022,"Quintana Roo","Total",,23,81.1158798283262
2020/2021,"Quintana Roo","Total",,23,87.08730741012467
2019/2020,"Quintana Roo","Total",,23,81.4004376367615
2018/2019,"Quintana Roo","Total",,23,79.79502196193263
2021/2022,"San Luis Potosí","Total",,24,83.26100433973963
2020/2021,"San Luis Potosí","Total",,24,73.1200664727877
2019/2020,"San Luis Potosí","Total",,24,57.737725295214425
2018/2019,"San Luis Potosí","Total",,24,57.3100616016427
2021/2022,"Sinaloa","Total",,25,79.9658994032396
2020/2021,"Sinaloa","Total",,25,81.7478510028653
2019/2020,"Sinaloa","Total",,25,73.25779036827201
2018/2019,"Sinaloa","Total",,25,71.8794427068524
2021/2022,"Sonora","Total",,26,82.3343848580442
2020/2021,"Sonora","Total",,26,77.6904948939513
2019/2020,"Sonora","Total",,26,83.22278579789307
2018/2019,"Sonora","Total",,26,80.42452830188678
2021/2022,"Tabasco","Total",,27,80.38607376766632
2020/2021,"Tabasco","Total",,27,76.29221226740177
2019/2020,"Tabasco","Total",,27,68.92968479390369
2018/2019,"Tabasco","Total",,27,66.78212677519922
2021/2022,"Tamaulipas","Total",,28,85.6961220597584
2020/2021,"Tamaulipas","Total",,28,85.28193692258677
2019/2020,"Tamaulipas","Total",,28,81.68744007670179
2018/2019,"Tamaulipas","Total",,28,77.88705583756351
2021/2022,"Tlaxcala","Total",,29,96.10169491525423
2020/2021,"Tlaxcala","Total",,29,92.80821917808223
2019/2020,"Tlaxcala","Total",,29,85.2586206896552
2018/2019,"Tlaxcala","Total",,29,84.2241379310345
2021/2022,"Veracruz de Ignacio de la Llave","Total",,30,83.3061699650757
2020/2021,"Veracruz de Ignacio de la Llave","Total",,30,79.00985489252739
2019/2020,"Veracruz de Ignacio de la Llave","Total",,30,63.46911957950068
2018/2019,"Veracruz de Ignacio de la Llave","Total",,30,63.154647126880114
2021/2022,"Yucatán","Total",,31,89.8460057747834
2020/2021,"Yucatán","Total",,31,92.6233512457254
2019/2020,"Yucatán","Total",,31,84.9148418491484
2018/2019,"Yucatán","Total",,31,83.92330383480831
2021/2022,"Zacatecas","Total",,32,88.53567805207983
2020/2021,"Zacatecas","Total",,32,75.05057316250841
2019/2020,"Zacatecas","Total",,32,68.74365052488989
2018/2019,"Zacatecas","Total",,32,65.2100840336134
2021/2022,"Estados Unidos Mexicanos","Primaria",,00,80.82416149392313
2020/2021,"Estados Unidos Mexicanos","Primaria",,00,73.5953353744553
2019/2020,"Estados Unidos Mexicanos","Primaria",,00,66.91562499999999
2018/2019,"Estados Unidos Mexicanos","Primaria",,00,65.32308202428808
2021/2022,"Aguascalientes","Primaria",,01,97.76847977684798
2020/2021,"Aguascalientes","Primaria",,01,90.18232819074328
2019/2020,"Aguascalientes","Primaria",,01,82.2033898305085
2018/2019,"Aguascalientes","Primaria",,01,83.42776203966011
2021/2022,"Baja California","Primaria",,02,95.53626782393059
2020/2021,"Baja California","Primaria",,02,96.53679653679653
2019/2020,"Baja California","Primaria",,02,96.66666666666673
2018/2019,"Baja California","Primaria",,02,95.18221124150708
2021/2022,"Baja California Sur","Primaria",,03,92.41071428571429
2020/2021,"Baja California Sur","Primaria",,03,85.81081081081082
2019/2020,"Baja California Sur","Primaria",,03,82.9545454545455
2018/2019,"Baja California Sur","Primaria",,03,80.77803203661327
2021/2022,"Campeche","Primaria",,04,79.8684210526316
2020/2021,"Campeche","Primaria",,04,77.5564409030545
2019/2020,"Campeche","Primaria",,04,76.0956175298805
2018/2019,"Campeche","Primaria",,04,74.67018469656992
2021/2022,"Coahuila de Zaragoza","Primaria",,05,84.4262295081967
2020/2021,"Coahuila de Zaragoza","Primaria",,05,81.79332968835432
2019/2020,"Coahuila de Zaragoza","Primaria",,05,80.72289156626513
2018/2019,"Coahuila de Zaragoza","Primaria",,05,79.67123287671231
2021/2022,"Colima","Primaria",,06,93.51464435146438
2020/2021,"Colima","Primaria",,06,92.90187891440497
2019/2020,"Colima","Primaria",,06,91.38655462184873
2018/2019,"Colima","Primaria",,06,88.58921161825727
2021/2022,"Chiapas","Primaria",,07,54.247356540334984
2020/2021,"Chiapas","Primaria",,07,38.1484149855908
2019/2020,"Chiapas","Primaria",,07,30.633424788261998
2018/2019,"Chiapas","Primaria",,07,28.030121922065504
2021/2022,"Chihuahua","Primaria",,08,80.66278222869633
2020/2021,"Chihuahua","Primaria",,08,81.41891891891893
2019/2020,"Chihuahua","Primaria",,08,56.06850335070738
2018/2019,"Chihuahua","Primaria",,08,65.8260233918129
2021/2022,"Ciudad de México","Primaria",,09,96.93499494779392
2020/2021,"Ciudad de México","Primaria",,09,94.37041972018649
