Year,Entidad federativa,"Sexo",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",00,91.14783714161435
2020/2021,"Estados Unidos Mexicanos","Total",00,90.93656226433019
2019/2020,"Estados Unidos Mexicanos","Total",00,90.28467906192587
2018/2019,"Estados Unidos Mexicanos","Total",00,88.59385706095414
2017/2018,"Estados Unidos Mexicanos","Total",00,87.54024356103032
2016/2017,"Estados Unidos Mexicanos","Total",00,86.45889297451158
2015/2016,"Estados Unidos Mexicanos","Total",00,85.66621967572846
2014/2015,"Estados Unidos Mexicanos","Total",00,84.40453719117627
2013/2014,"Estados Unidos Mexicanos","Total",00,83.52708648065892
2012/2013,"Estados Unidos Mexicanos","Total",00,82.89280891025612
2021/2022,"Estados Unidos Mexicanos","Hombres",00,89.80460551597749
2020/2021,"Estados Unidos Mexicanos","Hombres",00,88.34307788682413
2019/2020,"Estados Unidos Mexicanos","Hombres",00,87.53656140030162
2018/2019,"Estados Unidos Mexicanos","Hombres",00,85.481095914278
2017/2018,"Estados Unidos Mexicanos","Hombres",00,84.5076017866346
2016/2017,"Estados Unidos Mexicanos","Hombres",00,82.89236555488792
2015/2016,"Estados Unidos Mexicanos","Hombres",00,81.91428438762401
2014/2015,"Estados Unidos Mexicanos","Hombres",00,80.4411839625045
2013/2014,"Estados Unidos Mexicanos","Hombres",00,79.73516269885678
2012/2013,"Estados Unidos Mexicanos","Hombres",00,78.99837313462812
2021/2022,"Estados Unidos Mexicanos","Mujeres",00,91.71757141710803
2020/2021,"Estados Unidos Mexicanos","Mujeres",00,92.0643808976094
2019/2020,"Estados Unidos Mexicanos","Mujeres",00,91.49361795166264
2018/2019,"Estados Unidos Mexicanos","Mujeres",00,90.06564720420118
2017/2018,"Estados Unidos Mexicanos","Mujeres",00,89.00656200681097
2016/2017,"Estados Unidos Mexicanos","Mujeres",00,88.24692483154338
2015/2016,"Estados Unidos Mexicanos","Mujeres",00,87.57804633750693
2014/2015,"Estados Unidos Mexicanos","Mujeres",00,86.46272613271387
2013/2014,"Estados Unidos Mexicanos","Mujeres",00,85.50485746137927
2012/2013,"Estados Unidos Mexicanos","Mujeres",00,84.95458303316752
2021/2022,"Aguascalientes","Total",01,96.91272511379381
2020/2021,"Aguascalientes","Total",01,96.77099841521391
2019/2020,"Aguascalientes","Total",01,96.67661691542295
2018/2019,"Aguascalientes","Total",01,96.31048387096779
2017/2018,"Aguascalientes","Total",01,95.98796389167498
2016/2017,"Aguascalientes","Total",01,95.56492073048335
2015/2016,"Aguascalientes","Total",01,95.24950099800418
2014/2015,"Aguascalientes","Total",01,94.7779111644656
2013/2014,"Aguascalientes","Total",01,94.97795668008438
2012/2013,"Aguascalientes","Total",01,94.26824608330158
2021/2022,"Aguascalientes","Hombres",01,97.50692520775607
2020/2021,"Aguascalientes","Hombres",01,96.39639639639621
2019/2020,"Aguascalientes","Hombres",01,97.56756756756779
2018/2019,"Aguascalientes","Hombres",01,94.7368421052633
2017/2018,"Aguascalientes","Hombres",01,95.72649572649593
2016/2017,"Aguascalientes","Hombres",01,95.1118475559238
2015/2016,"Aguascalientes","Hombres",01,95.96837944664014
