Year,Entidad federativa,"Sexo",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",00,84.69808393012667
2020/2021,"Estados Unidos Mexicanos","Total",00,83.70448948102423
2019/2020,"Estados Unidos Mexicanos","Total",00,82.65893822408057
2018/2019,"Estados Unidos Mexicanos","Total",00,81.35607411274516
2017/2018,"Estados Unidos Mexicanos","Total",00,79.54186972346902
2016/2017,"Estados Unidos Mexicanos","Total",00,78.26946382845637
2015/2016,"Estados Unidos Mexicanos","Total",00,76.5992701498126
2014/2015,"Estados Unidos Mexicanos","Total",00,74.83123169023041
2013/2014,"Estados Unidos Mexicanos","Total",00,72.64961102256531
2012/2013,"Estados Unidos Mexicanos","Total",00,70.77962359506456
2021/2022,"Estados Unidos Mexicanos","Hombres",00,81.3995421957328
2020/2021,"Estados Unidos Mexicanos","Hombres",00,81.17794499812831
2019/2020,"Estados Unidos Mexicanos","Hombres",00,79.97479494189994
2018/2019,"Estados Unidos Mexicanos","Hombres",00,78.61361221112506
2017/2018,"Estados Unidos Mexicanos","Hombres",00,76.42918188174978
2016/2017,"Estados Unidos Mexicanos","Hombres",00,75.36966689924274
2015/2016,"Estados Unidos Mexicanos","Hombres",00,73.70613280467578
2014/2015,"Estados Unidos Mexicanos","Hombres",00,71.930655503099
2013/2014,"Estados Unidos Mexicanos","Hombres",00,69.97124067125714
2012/2013,"Estados Unidos Mexicanos","Hombres",00,68.25013405244432
2021/2022,"Estados Unidos Mexicanos","Mujeres",00,87.47370859814018
2020/2021,"Estados Unidos Mexicanos","Mujeres",00,85.82041064832266
2019/2020,"Estados Unidos Mexicanos","Mujeres",00,84.94841604226907
2018/2019,"Estados Unidos Mexicanos","Mujeres",00,83.74703265804712
2017/2018,"Estados Unidos Mexicanos","Mujeres",00,82.30964794311079
2016/2017,"Estados Unidos Mexicanos","Mujeres",00,80.86956118765254
2015/2016,"Estados Unidos Mexicanos","Mujeres",00,79.2331790339924
2014/2015,"Estados Unidos Mexicanos","Mujeres",00,77.51900669658667
2013/2014,"Estados Unidos Mexicanos","Mujeres",00,75.16131059115816
2012/2013,"Estados Unidos Mexicanos","Mujeres",00,73.17483165564066
2021/2022,"Aguascalientes","Total",01,91.79652516568174
2020/2021,"Aguascalientes","Total",01,90.64949608062688
2019/2020,"Aguascalientes","Total",01,89.6108732079685
2018/2019,"Aguascalientes","Total",01,88.92422825070155
2017/2018,"Aguascalientes","Total",01,88.39985080193951
2016/2017,"Aguascalientes","Total",01,88.1509137355079
2015/2016,"Aguascalientes","Total",01,86.10046012269954
2014/2015,"Aguascalientes","Total",01,85.06857253235468
2013/2014,"Aguascalientes","Total",01,82.47403898706507
2012/2013,"Aguascalientes","Total",01,80.53442197068095
2021/2022,"Aguascalientes","Hombres",01,90
2020/2021,"Aguascalientes","Hombres",01,88.709024686362
2019/2020,"Aguascalientes","Hombres",01,88.16521048451135
2018/2019,"Aguascalientes","Hombres",01,88.08208366219401
2017/2018,"Aguascalientes","Hombres",01,86.37243515292303
2016/2017,"Aguascalientes","Hombres",01,85.98700243704302
2015/2016,"Aguascalientes","Hombres",01,83.20373250388798
2014/2015,"Aguascalientes","Hombres",01,82.61689291101052
2013/2014,"Aguascalientes","Hombres",01,79.78300180831847
2012/2013,"Aguascalientes","Hombres",01,78.31938886867948
2021/2022,"Aguascalientes","Mujeres",01,93.32890806505152
2020/2021,"Aguascalientes","Mujeres",01,92.31035677173533
2019/2020,"Aguascalientes","Mujeres",01,90.8867858394673
2018/2019,"Aguascalientes","Mujeres",01,89.68338669512623
2017/2018,"Aguascalientes","Mujeres",01,90.2842749190355
2016/2017,"Aguascalientes","Mujeres",01,90.17891130567178
2015/2016,"Aguascalientes","Mujeres",01,88.91830559757923
2014/2015,"Aguascalientes","Mujeres",01,87.64356435643572
2013/2014,"Aguascalientes","Mujeres",01,85.20558002936865
2012/2013,"Aguascalientes","Mujeres",01,82.84090909090921
2021/2022,"Baja California","Total",02,88.67010974822485
2020/2021,"Baja California","Total",02,88.37528234914497
2019/2020,"Baja California","Total",02,86.45717020258415
2018/2019,"Baja California","Total",02,85.50521563132496
2017/2018,"Baja California","Total",02,84.35847060601486
2016/2017,"Baja California","Total",02,83.88329536268084
2015/2016,"Baja California","Total",02,82.27093065037731
2014/2015,"Baja California","Total",02,81.71869261843555
2013/2014,"Baja California","Total",02,80
2012/2013,"Baja California","Total",02,77.47683535281539
2021/2022,"Baja California","Hombres",02,86.44842025123744
2020/2021,"Baja California","Hombres",02,86.54708520179352
2019/2020,"Baja California","Hombres",02,84.65236686390548
2018/2019,"Baja California","Hombres",02,83.52748452857666
2017/2018,"Baja California","Hombres",02,82.59888965995852
2016/2017,"Baja California","Hombres",02,81.13777479442858
2015/2016,"Baja California","Hombres",02,80.12483574244412
2014/2015,"Baja California","Hombres",02,80.3080490228551
2013/2014,"Baja California","Hombres",02,78.42309640384943
2012/2013,"Baja California","Hombres",02,76.03115595680646
2021/2022,"Baja California","Mujeres",02,90.3054076772205
2020/2021,"Baja California","Mujeres",02,89.76433844406584
2019/2020,"Baja California","Mujeres",02,87.82608695652185
2018/2019,"Baja California","Mujeres",02,86.98313384113152
2017/2018,"Baja California","Mujeres",02,85.71619812583661
2016/2017,"Baja California","Mujeres",02,86.02248953974902
2015/2016,"Baja California","Mujeres",02,83.94020697585269
2014/2015,"Baja California","Mujeres",02,82.8428137785402
2013/2014,"Baja California","Mujeres",02,81.26352813852823
2012/2013,"Baja California","Mujeres",02,78.6471768415019
2021/2022,"Baja California Sur","Total",03,87.00400436840205
2020/2021,"Baja California Sur","Total",03,85.16624040920742
2019/2020,"Baja California Sur","Total",03,84.31793770139647
2018/2019,"Baja California Sur","Total",03,82.72214386459802
2017/2018,"Baja California Sur","Total",03,81.63643095149932
2016/2017,"Baja California Sur","Total",03,79.95610826627667
2015/2016,"Baja California Sur","Total",03,78.27225130890048
2014/2015,"Baja California Sur","Total",03,72.81141534901671
2013/2014,"Baja California Sur","Total",03,70.77294685990343
2012/2013,"Baja California Sur","Total",03,67.24872231686548
2021/2022,"Baja California Sur","Hombres",03,82.97709923664117
2020/2021,"Baja California Sur","Hombres",03,81.18657298985163
2019/2020,"Baja California Sur","Hombres",03,81.46194423511696
2018/2019,"Baja California Sur","Hombres",03,80.34682080924884
2017/2018,"Baja California Sur","Hombres",03,78.76712328767104
2016/2017,"Baja California Sur","Hombres",03,77.3782771535581
2015/2016,"Baja California Sur","Hombres",03,74.82732156561786
2014/2015,"Baja California Sur","Hombres",03,70.44753086419763
2013/2014,"Baja California Sur","Hombres",03,67.40858505564391
2012/2013,"Baja California Sur","Hombres",03,65.26054590570699
2021/2022,"Baja California Sur","Mujeres",03,90.67501739735582
2020/2021,"Baja California Sur","Mujeres",03,88.66758241758235
2019/2020,"Baja California Sur","Mujeres",03,86.90313778990456
2018/2019,"Baja California Sur","Mujeres",03,84.98622589531679
2017/2018,"Baja California Sur","Mujeres",03,84.35472242249475
2016/2017,"Baja California Sur","Mujeres",03,82.4160114367405
2015/2016,"Baja California Sur","Mujeres",03,81.54631655725754
2014/2015,"Baja California Sur","Mujeres",03,75.17347725520443
2013/2014,"Baja California Sur","Mujeres",03,74.22512234910288
2012/2013,"Baja California Sur","Mujeres",03,69.35908691834926
2021/2022,"Campeche","Total",04,89.43089430894308
2020/2021,"Campeche","Total",04,88.77415056628892
2019/2020,"Campeche","Total",04,87.42261322906472
2018/2019,"Campeche","Total",04,87.45970341715
2017/2018,"Campeche","Total",04,86.39924788467575
2016/2017,"Campeche","Total",04,87.67166042446956
2015/2016,"Campeche","Total",04,88.18755635707862
2014/2015,"Campeche","Total",04,83.42457420924565
2013/2014,"Campeche","Total",04,83.65233762158768
2012/2013,"Campeche","Total",04,80.70903864580028
2021/2022,"Campeche","Hombres",04,86.95364238410602
2020/2021,"Campeche","Hombres",04,87.27984344422676
2019/2020,"Campeche","Hombres",04,85.55979643765917
2018/2019,"Campeche","Hombres",04,84.95630461922589
2017/2018,"Campeche","Hombres",04,83.85020479812742
2016/2017,"Campeche","Hombres",04,85.63734290843799
2015/2016,"Campeche","Hombres",04,86.25646923519275
2014/2015,"Campeche","Hombres",04,81.3781321184508
2013/2014,"Campeche","Hombres",04,81.8713450292398
2012/2013,"Campeche","Hombres",04,79.18128654970755
2021/2022,"Campeche","Mujeres",04,92.02496532593615
2020/2021,"Campeche","Mujeres",04,90.33356024506446
2019/2020,"Campeche","Mujeres",04,89.37875751503024
2018/2019,"Campeche","Mujeres",04,90.13333333333323
2017/2018,"Campeche","Mujeres",04,89.3387314439946
2016/2017,"Campeche","Mujeres",04,89.88910632746233
2015/2016,"Campeche","Mujeres",04,90.30226700251893
2014/2015,"Campeche","Mujeres",04,85.77023498694511
2013/2014,"Campeche","Mujeres",04,85.71428571428568
2012/2013,"Campeche","Mujeres",04,82.54750175932423
2021/2022,"Coahuila de Zaragoza","Total",05,82.05840200644907
2020/2021,"Coahuila de Zaragoza","Total",05,80.87717715007672
2019/2020,"Coahuila de Zaragoza","Total",05,79.16405620692765
2018/2019,"Coahuila de Zaragoza","Total",05,77.5556328233658
2017/2018,"Coahuila de Zaragoza","Total",05,76.87478500172
2016/2017,"Coahuila de Zaragoza","Total",05,74.56637758505691
2015/2016,"Coahuila de Zaragoza","Total",05,72.12282599650479
2014/2015,"Coahuila de Zaragoza","Total",05,72.07927387792485
2013/2014,"Coahuila de Zaragoza","Total",05,67.89583902394594
2012/2013,"Coahuila de Zaragoza","Total",05,66.30584350059617
2021/2022,"Coahuila de Zaragoza","Hombres",05,77.42195367573005
2020/2021,"Coahuila de Zaragoza","Hombres",05,76.7925671581499
2019/2020,"Coahuila de Zaragoza","Hombres",05,74.60717749757528
2018/2019,"Coahuila de Zaragoza","Hombres",05,73.63891487371372
2017/2018,"Coahuila de Zaragoza","Hombres",05,72.03079178885652
2016/2017,"Coahuila de Zaragoza","Hombres",05,69.87305560522074
2015/2016,"Coahuila de Zaragoza","Hombres",05,67.86473087818717
2014/2015,"Coahuila de Zaragoza","Hombres",05,67.84078901021508
2013/2014,"Coahuila de Zaragoza","Hombres",05,63.72835181941997
2012/2013,"Coahuila de Zaragoza","Hombres",05,62.06762534006994
2021/2022,"Coahuila de Zaragoza","Mujeres",05,85.77189869333775
2020/2021,"Coahuila de Zaragoza","Mujeres",05,84.17618270799356
2019/2020,"Coahuila de Zaragoza","Mujeres",05,83.067464273845
2018/2019,"Coahuila de Zaragoza","Mujeres",05,80.95470043838284
2017/2018,"Coahuila de Zaragoza","Mujeres",05,81.15683732987674
2016/2017,"Coahuila de Zaragoza","Mujeres",05,78.66854195968136
2015/2016,"Coahuila de Zaragoza","Mujeres",05,75.89888522531025
2014/2015,"Coahuila de Zaragoza","Mujeres",05,75.88058758489953
2013/2014,"Coahuila de Zaragoza","Mujeres",05,71.56057494866518
2012/2013,"Coahuila de Zaragoza","Mujeres",05,70.09556907037381
2021/2022,"Colima","Total",06,83.38249754178958
2020/2021,"Colima","Total",06,82.76779773785766
2019/2020,"Colima","Total",06,81.74757281553393
2018/2019,"Colima","Total",06,79.84471044969283
2017/2018,"Colima","Total",06,78.83096366508671
2016/2017,"Colima","Total",06,77.90262172284639
2015/2016,"Colima","Total",06,78.3229813664596
2014/2015,"Colima","Total",06,76.31074168797936
2013/2014,"Colima","Total",06,77.09604882749768
2012/2013,"Colima","Total",06,77.19184729860898
2021/2022,"Colima","Hombres",06,82.43440233236124
2020/2021,"Colima","Hombres",06,81.38222849083225
2019/2020,"Colima","Hombres",06,79.44636678200712
2018/2019,"Colima","Hombres",06,78.00546448087438
2017/2018,"Colima","Hombres",06,76.48234510326442
2016/2017,"Colima","Hombres",06,74.88524590163918
2015/2016,"Colima","Hombres",06,75.06527415143601
2014/2015,"Colima","Hombres",06,73.7120211360634
2013/2014,"Colima","Hombres",06,74.14473684210515
2012/2013,"Colima","Hombres",06,74.16331994645242
2021/2022,"Colima","Mujeres",06,84.15723645026809
2020/2021,"Colima","Mujeres",06,84.0050377833753
2019/2020,"Colima","Mujeres",06,83.76899696048642
2018/2019,"Colima","Mujeres",06,81.49969268592506
2017/2018,"Colima","Mujeres",06,80.94951923076937
2016/2017,"Colima","Mujeres",06,80.64324002382381
2015/2016,"Colima","Mujeres",06,81.2796208530806
2014/2015,"Colima","Mujeres",06,78.74845105328376
2013/2014,"Colima","Mujeres",06,79.91211550533568
2012/2013,"Colima","Mujeres",06,80.02504696305554
2021/2022,"Chiapas","Total",07,84.35143288084454
2020/2021,"Chiapas","Total",07,84.29893509127774
2019/2020,"Chiapas","Total",07,82.80551533085674
2018/2019,"Chiapas","Total",07,83.45801625177351
2017/2018,"Chiapas","Total",07,81.57761137200153
2016/2017,"Chiapas","Total",07,80.7128559436949
2015/2016,"Chiapas","Total",07,80.62631302521005
2014/2015,"Chiapas","Total",07,78.05318011758408
2013/2014,"Chiapas","Total",07,76.41496690530872
2012/2013,"Chiapas","Total",07,75.19763525125461
2021/2022,"Chiapas","Hombres",07,82.21049007230594
2020/2021,"Chiapas","Hombres",07,82.96193129062215
2019/2020,"Chiapas","Hombres",07,80.65543923532094
2018/2019,"Chiapas","Hombres",07,81.56289561514556
2017/2018,"Chiapas","Hombres",07,79.16946496530109
2016/2017,"Chiapas","Hombres",07,77.93213391027102
2015/2016,"Chiapas","Hombres",07,78.0128794848206
2014/2015,"Chiapas","Hombres",07,75.15513675017245
2013/2014,"Chiapas","Hombres",07,73.57944682328426
2012/2013,"Chiapas","Hombres",07,72.65450264861667
2021/2022,"Chiapas","Mujeres",07,86.94263092096118
2020/2021,"Chiapas","Mujeres",07,85.90782122905024
2019/2020,"Chiapas","Mujeres",07,85.46863988724432
2018/2019,"Chiapas","Mujeres",07,85.87355141557852
2017/2018,"Chiapas","Mujeres",07,84.73036342321213
2016/2017,"Chiapas","Mujeres",07,84.35495898583154
2015/2016,"Chiapas","Mujeres",07,84.10342717258264
