Year,Entidad federativa,"Violencia en mujeres por edad",GeoCode,Value
2021,"Estados Unidos Mexicanos","Total",00,20.1902889740508
2016,"Estados Unidos Mexicanos","Total",00,17.4033411142911
2021,"Estados Unidos Mexicanos","De 15 a 24 años",00,21.9967959464459
2016,"Estados Unidos Mexicanos","De 15 a 24 años",00,19.9443155485773
2021,"Estados Unidos Mexicanos","De 25 a 64 años",00,12.8857303021607
2016,"Estados Unidos Mexicanos","De 25 a 64 años",00,10.4268474960273
2021,"Estados Unidos Mexicanos","De 65 años y más",00,7.30784476235091
2016,"Estados Unidos Mexicanos","De 65 años y más",00,5.602541536083801
2021,"Estados Unidos Mexicanos","Edad no especificada en mujeres de 15 años y más",00,81.1894420314066
2016,"Estados Unidos Mexicanos","Edad no especificada en mujeres de 15 años y más",00,13.7555753791258
2021,"Aguascalientes","Total",01,21.0779009297683
2016,"Aguascalientes","Total",01,20.0102885950923
2021,"Aguascalientes","De 15 a 24 años",01,23.1105510839098
2016,"Aguascalientes","De 15 a 24 años",01,24.714419734010296
2021,"Aguascalientes","De 25 a 64 años",01,12.2421472105016
2016,"Aguascalientes","De 25 a 64 años",01,6.5405428437513295
2021,"Aguascalientes","De 65 años y más",01,0
2016,"Aguascalientes","De 65 años y más",01,0
2021,"Aguascalientes","Edad no especificada en mujeres de 15 años y más",01,
2016,"Aguascalientes","Edad no especificada en mujeres de 15 años y más",01,
2021,"Baja California","Total",02,12.970225338834402
2016,"Baja California","Total",02,13.3080412651126
2021,"Baja California","De 15 a 24 años",02,13.4654113382338
2016,"Baja California","De 15 a 24 años",02,15.807288916555999
2021,"Baja California","De 25 a 64 años",02,11.2919395089905
2016,"Baja California","De 25 a 64 años",02,5.35701181477948
2021,"Baja California","De 65 años y más",02,
2016,"Baja California","De 65 años y más",02,0
2021,"Baja California","Edad no especificada en mujeres de 15 años y más",02,
2016,"Baja California","Edad no especificada en mujeres de 15 años y más",02,
2021,"Baja California Sur","Total",03,17.518998180456
2016,"Baja California Sur","Total",03,14.0394595459637
2021,"Baja California Sur","De 15 a 24 años",03,18.2201925450506
2016,"Baja California Sur","De 15 a 24 años",03,14.8233231569084
2021,"Baja California Sur","De 25 a 64 años",03,13.401201602136203
2016,"Baja California Sur","De 25 a 64 años",03,11.166715729565302
2021,"Baja California Sur","De 65 años y más",03,0
2016,"Baja California Sur","De 65 años y más",03,21.1991434689507
2021,"Baja California Sur","Edad no especificada en mujeres de 15 años y más",03,
2016,"Baja California Sur","Edad no especificada en mujeres de 15 años y más",03,
2021,"Campeche","Total",04,17.2661427662761
2016,"Campeche","Total",04,14.8918341171441
2021,"Campeche","De 15 a 24 años",04,20.1849658543961
2016,"Campeche","De 15 a 24 años",04,14.775786639744203
2021,"Campeche","De 25 a 64 años",04,4.56440888087456
2016,"Campeche","De 25 a 64 años",04,15.494384091327598
2021,"Campeche","De 65 años y más",04,0
2016,"Campeche","De 65 años y más",04,0
2021,"Campeche","Edad no especificada en mujeres de 15 años y más",04,
2016,"Campeche","Edad no especificada en mujeres de 15 años y más",04,
2021,"Coahuila de Zaragoza","Total",05,23.441058787319196
2016,"Coahuila de Zaragoza","Total",05,18.8709985990854
2021,"Coahuila de Zaragoza","De 15 a 24 años",05,24.3941567137293
2016,"Coahuila de Zaragoza","De 15 a 24 años",05,21.2993414947401
2021,"Coahuila de Zaragoza","De 25 a 64 años",05,19.0020895333376
2016,"Coahuila de Zaragoza","De 25 a 64 años",05,7.08974840405558
2021,"Coahuila de Zaragoza","De 65 años y más",05,
2016,"Coahuila de Zaragoza","De 65 años y más",05,0
2021,"Coahuila de Zaragoza","Edad no especificada en mujeres de 15 años y más",05,
2016,"Coahuila de Zaragoza","Edad no especificada en mujeres de 15 años y más",05,
2021,"Colima","Total",06,20.7340257349263
2016,"Colima","Total",06,10.4372439183706
2021,"Colima","De 15 a 24 años",06,23.0594499535929
2016,"Colima","De 15 a 24 años",06,11.5542538834812
2021,"Colima","De 25 a 64 años",06,10.2632753235163
2016,"Colima","De 25 a 64 años",06,8.15806662312214
2021,"Colima","De 65 años y más",06,0
2016,"Colima","De 65 años y más",06,0
2021,"Colima","Edad no especificada en mujeres de 15 años y más",06,
2016,"Colima","Edad no especificada en mujeres de 15 años y más",06,
2021,"Chiapas","Total",07,21.7519959537326
2016,"Chiapas","Total",07,13.571675512984802
2021,"Chiapas","De 15 a 24 años",07,22.5353556056569
2016,"Chiapas","De 15 a 24 años",07,15.8458908553407
2021,"Chiapas","De 25 a 64 años",07,13.6932892249527
2016,"Chiapas","De 25 a 64 años",07,7.732743725656721
2021,"Chiapas","De 65 años y más",07,100
2016,"Chiapas","De 65 años y más",07,0
2021,"Chiapas","Edad no especificada en mujeres de 15 años y más",07,
2016,"Chiapas","Edad no especificada en mujeres de 15 años y más",07,
2021,"Chihuahua","Total",08,21.0830567763925
2016,"Chihuahua","Total",08,16.6127234667314
2021,"Chihuahua","De 15 a 24 años",08,24.4518359665631
2016,"Chihuahua","De 15 a 24 años",08,18.8458810586218
2021,"Chihuahua","De 25 a 64 años",08,5.86848509430136
2016,"Chihuahua","De 25 a 64 años",08,10.5280658696857
2021,"Chihuahua","De 65 años y más",08,0
2016,"Chihuahua","De 65 años y más",08,0
2021,"Chihuahua","Edad no especificada en mujeres de 15 años y más",08,
2016,"Chihuahua","Edad no especificada en mujeres de 15 años y más",08,
2021,"Ciudad de México","Total",09,25.382674337307105
2016,"Ciudad de México","Total",09,19.6526343777016
2021,"Ciudad de México","De 15 a 24 años",09,25.7469807917355
2016,"Ciudad de México","De 15 a 24 años",09,23.9196452724557
2021,"Ciudad de México","De 25 a 64 años",09,24.9040202825063
2016,"Ciudad de México","De 25 a 64 años",09,11.044539675447302
2021,"Ciudad de México","De 65 años y más",09,0
2016,"Ciudad de México","De 65 años y más",09,0
2021,"Ciudad de México","Edad no especificada en mujeres de 15 años y más",09,
2016,"Ciudad de México","Edad no especificada en mujeres de 15 años y más",09,
2021,"Durango","Total",10,23.586968244164
2016,"Durango","Total",10,17.0620993027282
2021,"Durango","De 15 a 24 años",10,26.7551879440892
2016,"Durango","De 15 a 24 años",10,18.6180489280976
2021,"Durango","De 25 a 64 años",10,11.4744926504247
2016,"Durango","De 25 a 64 años",10,8.78751248226205
2021,"Durango","De 65 años y más",10,0
2016,"Durango","De 65 años y más",10,29.5886075949367
2021,"Durango","Edad no especificada en mujeres de 15 años y más",10,
2016,"Durango","Edad no especificada en mujeres de 15 años y más",10,
2021,"Guanajuato","Total",11,19.7375900257975
2016,"Guanajuato","Total",11,18.0069587604825
2021,"Guanajuato","De 15 a 24 años",11,20.4225101092712
2016,"Guanajuato","De 15 a 24 años",11,20.4973904345511
2021,"Guanajuato","De 25 a 64 años",11,15.2000988523856
2016,"Guanajuato","De 25 a 64 años",11,9.90931828026101
2021,"Guanajuato","De 65 años y más",11,0
2016,"Guanajuato","De 65 años y más",11,0
2021,"Guanajuato","Edad no especificada en mujeres de 15 años y más",11,100
2016,"Guanajuato","Edad no especificada en mujeres de 15 años y más",11,0
2021,"Guerrero","Total",12,20.0471616526181
2016,"Guerrero","Total",12,14.869113324054
2021,"Guerrero","De 15 a 24 años",12,22.965334011673104
2016,"Guerrero","De 15 a 24 años",12,15.9708291681482
2021,"Guerrero","De 25 a 64 años",12,7.161335100006309
2016,"Guerrero","De 25 a 64 años",12,10.8343850792315
2021,"Guerrero","De 65 años y más",12,0
2016,"Guerrero","De 65 años y más",12,0
2021,"Guerrero","Edad no especificada en mujeres de 15 años y más",12,
2016,"Guerrero","Edad no especificada en mujeres de 15 años y más",12,
2021,"Hidalgo","Total",13,19.3144751617561
2016,"Hidalgo","Total",13,16.3104035059092
2021,"Hidalgo","De 15 a 24 años",13,20.4930227785758
2016,"Hidalgo","De 15 a 24 años",13,18.1938804229826
2021,"Hidalgo","De 25 a 64 años",13,13.8224066390042
2016,"Hidalgo","De 25 a 64 años",13,12.0962648863226
2021,"Hidalgo","De 65 años y más",13,0
2016,"Hidalgo","De 65 años y más",13,0
2021,"Hidalgo","Edad no especificada en mujeres de 15 años y más",13,
2016,"Hidalgo","Edad no especificada en mujeres de 15 años y más",13,
2021,"Jalisco","Total",14,21.1815126976257
2016,"Jalisco","Total",14,20.5295488316123
2021,"Jalisco","De 15 a 24 años",14,22.8940077160359
2016,"Jalisco","De 15 a 24 años",14,22.3939132480979
2021,"Jalisco","De 25 a 64 años",14,15.4011847065159
2016,"Jalisco","De 25 a 64 años",14,16.173893864948
2021,"Jalisco","De 65 años y más",14,26.8608414239482
2016,"Jalisco","De 65 años y más",14,0
2021,"Jalisco","Edad no especificada en mujeres de 15 años y más",14,
2016,"Jalisco","Edad no especificada en mujeres de 15 años y más",14,0
2021,"México","Total",15,18.3962788595259
2016,"México","Total",15,17.3844853865861
2021,"México","De 15 a 24 años",15,21.5730352791461
2016,"México","De 15 a 24 años",15,19.8827515873277
2021,"México","De 25 a 64 años",15,7.13008227018004
2016,"México","De 25 a 64 años",15,12.0790339631631
2021,"México","De 65 años y más",15,0
2016,"México","De 65 años y más",15,9.23602397880942
2021,"México","Edad no especificada en mujeres de 15 años y más",15,
2016,"México","Edad no especificada en mujeres de 15 años y más",15,
2021,"Michoacán de Ocampo","Total",16,23.8567538100201
2016,"Michoacán de Ocampo","Total",16,20.4808400060186
2021,"Michoacán de Ocampo","De 15 a 24 años",16,26.3486555828068
2016,"Michoacán de Ocampo","De 15 a 24 años",16,27.55305485903
2021,"Michoacán de Ocampo","De 25 a 64 años",16,9.87130028852076
2016,"Michoacán de Ocampo","De 25 a 64 años",16,5.97600672021841
2021,"Michoacán de Ocampo","De 65 años y más",16,
2016,"Michoacán de Ocampo","De 65 años y más",16,21.8506774286538
2021,"Michoacán de Ocampo","Edad no especificada en mujeres de 15 años y más",16,0
2016,"Michoacán de Ocampo","Edad no especificada en mujeres de 15 años y más",16,0
2021,"Morelos","Total",17,19.2724066281364
2016,"Morelos","Total",17,18.4075395594167
2021,"Morelos","De 15 a 24 años",17,19.8619078698774
2016,"Morelos","De 15 a 24 años",17,20.3225969050859
2021,"Morelos","De 25 a 64 años",17,17.531047265987
2016,"Morelos","De 25 a 64 años",17,12.6581381338814
