Year,Entidad federativa,"Violencia sexual","Lugar de la(s) agresión(es)",GeoCode,Value
2021,"Estados Unidos Mexicanos","Con al menos un incidente",,00,22.285223526515995
2016,"Estados Unidos Mexicanos","Con al menos un incidente",,00,22.2025648932707
2011,"Estados Unidos Mexicanos","Con al menos un incidente",,00,15.184594555515398
2021,"Aguascalientes","Con al menos un incidente",,01,25.6714420256049
2016,"Aguascalientes","Con al menos un incidente",,01,26.7424520936688
2011,"Aguascalientes","Con al menos un incidente",,01,17.6698816602411
2021,"Baja California","Con al menos un incidente",,02,19.0312875592335
2016,"Baja California","Con al menos un incidente",,02,20.7233390030254
2011,"Baja California","Con al menos un incidente",,02,16.0309079373337
2021,"Baja California Sur","Con al menos un incidente",,03,21.2328525358191
2016,"Baja California Sur","Con al menos un incidente",,03,14.7901335609914
2011,"Baja California Sur","Con al menos un incidente",,03,11.2058812590655
2021,"Campeche","Con al menos un incidente",,04,19.8936984250191
2016,"Campeche","Con al menos un incidente",,04,16.7754050742069
2011,"Campeche","Con al menos un incidente",,04,11.629267654894
2021,"Coahuila de Zaragoza","Con al menos un incidente",,05,24.664476634000597
2016,"Coahuila de Zaragoza","Con al menos un incidente",,05,21.7982845312038
2011,"Coahuila de Zaragoza","Con al menos un incidente",,05,13.6881057509336
2021,"Colima","Con al menos un incidente",,06,26.615668864313097
2016,"Colima","Con al menos un incidente",,06,19.1522187098793
2011,"Colima","Con al menos un incidente",,06,16.0647240456894
2021,"Chiapas","Con al menos un incidente",,07,13.9078147316277
2016,"Chiapas","Con al menos un incidente",,07,13.4909874390914
2011,"Chiapas","Con al menos un incidente",,07,7.43201503542824
2021,"Chihuahua","Con al menos un incidente",,08,22.6102139398962
2016,"Chihuahua","Con al menos un incidente",,08,22.0548686822449
2011,"Chihuahua","Con al menos un incidente",,08,17.0248951953466
2021,"Ciudad de México","Con al menos un incidente",,09,28.0241838526337
2016,"Ciudad de México","Con al menos un incidente",,09,34.0175670451774
2011,"Ciudad de México","Con al menos un incidente",,09,19.8038637948206
2021,"Durango","Con al menos un incidente",,10,22.192879653550495
2016,"Durango","Con al menos un incidente",,10,22.5642158148266
2011,"Durango","Con al menos un incidente",,10,14.1267012605324
2021,"Guanajuato","Con al menos un incidente",,11,23.760433973217
2016,"Guanajuato","Con al menos un incidente",,11,22.043722696020996
2011,"Guanajuato","Con al menos un incidente",,11,16.0979153160612
2021,"Guerrero","Con al menos un incidente",,12,18.4304374386736
2016,"Guerrero","Con al menos un incidente",,12,14.0680192133543
2011,"Guerrero","Con al menos un incidente",,12,9.77130139924622
2021,"Hidalgo","Con al menos un incidente",,13,19.6290539557152
2016,"Hidalgo","Con al menos un incidente",,13,18.299926292212
2011,"Hidalgo","Con al menos un incidente",,13,8.30271439811172
2021,"Jalisco","Con al menos un incidente",,14,25.429006748959903
2016,"Jalisco","Con al menos un incidente",,14,27.264463031127303
2011,"Jalisco","Con al menos un incidente",,14,18.031876855861
2021,"México","Con al menos un incidente",,15,26.0509371870082
2016,"México","Con al menos un incidente",,15,29.0384124939888
2011,"México","Con al menos un incidente",,15,19.9467358540177
2021,"Michoacán de Ocampo","Con al menos un incidente",,16,20.0174823762459
2016,"Michoacán de Ocampo","Con al menos un incidente",,16,17.0452874854948
2011,"Michoacán de Ocampo","Con al menos un incidente",,16,12.8393514122953
2021,"Morelos","Con al menos un incidente",,17,22.5545368321214
2016,"Morelos","Con al menos un incidente",,17,20.6871292049325
2011,"Morelos","Con al menos un incidente",,17,15.163655528496
2021,"Nayarit","Con al menos un incidente",,18,20.0436001377291
2016,"Nayarit","Con al menos un incidente",,18,15.7401924421252
2011,"Nayarit","Con al menos un incidente",,18,14.1082190744235
2021,"Nuevo León","Con al menos un incidente",,19,23.9972527472527
2016,"Nuevo León","Con al menos un incidente",,19,21.7858859586776
2011,"Nuevo León","Con al menos un incidente",,19,17.3315363278204
2021,"Oaxaca","Con al menos un incidente",,20,15.6877943710164
2016,"Oaxaca","Con al menos un incidente",,20,13.131261081999503
2011,"Oaxaca","Con al menos un incidente",,20,11.6779694659594
2021,"Puebla","Con al menos un incidente",,21,19.4391498025882
2016,"Puebla","Con al menos un incidente",,21,20.5377094853579
2011,"Puebla","Con al menos un incidente",,21,13.7148778613511
2021,"Querétaro","Con al menos un incidente",,22,27.2571942352352
2016,"Querétaro","Con al menos un incidente",,22,27.8530661210245
2011,"Querétaro","Con al menos un incidente",,22,14.8696180205823
2021,"Quintana Roo","Con al menos un incidente",,23,26.1274380509475
2016,"Quintana Roo","Con al menos un incidente",,23,24.6019162926053
2011,"Quintana Roo","Con al menos un incidente",,23,14.6129157268202
2021,"San Luis Potosí","Con al menos un incidente",,24,20.2729056794287
2016,"San Luis Potosí","Con al menos un incidente",,24,17.6674444172624
2011,"San Luis Potosí","Con al menos un incidente",,24,14.4634764021782
2021,"Sinaloa","Con al menos un incidente",,25,17.07251077718
