Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,23.0988206588044
2018,"Estados Unidos Mexicanos",00,21.2184003315375
2016,"Estados Unidos Mexicanos",00,11.6269343370974
2014,"Estados Unidos Mexicanos",00,7.33496332518337
2020,"Aguascalientes",01,11.1111111111111
2018,"Aguascalientes",01,27.2727272727273
2016,"Aguascalientes",01,9.09090909090909
2014,"Aguascalientes",01,9.09090909090909
2020,"Baja California",02,66.6666666666667
2018,"Baja California",02,40
2016,"Baja California",02,
2014,"Baja California",02,0
2020,"Baja California Sur",03,40
2018,"Baja California Sur",03,40
2016,"Baja California Sur",03,40
2014,"Baja California Sur",03,20
2020,"Campeche",04,27.2727272727273
2018,"Campeche",04,27.2727272727273
2016,"Campeche",04,0
2014,"Campeche",04,9.09090909090909
2020,"Coahuila de Zaragoza",05,36.8421052631579
2018,"Coahuila de Zaragoza",05,36.8421052631579
2016,"Coahuila de Zaragoza",05,2.63157894736842
2014,"Coahuila de Zaragoza",05,2.63157894736842
2020,"Colima",06,20
2018,"Colima",06,20
2016,"Colima",06,20
2014,"Colima",06,20
2020,"Chiapas",07,30.6451612903226
2018,"Chiapas",07,25
2016,"Chiapas",07,23.9316239316239
2014,"Chiapas",07,1.70940170940171
2020,"Chihuahua",08,26.865671641791
2018,"Chihuahua",08,28.3582089552239
2016,"Chihuahua",08,33.3333333333333
2014,"Chihuahua",08,2.98507462686567
2020,"Ciudad de México",09,25
2018,"Ciudad de México",09,25
2016,"Ciudad de México",09,25
2014,"Ciudad de México",09,18.75
2020,"Durango",10,30.7692307692308
2018,"Durango",10,31.5789473684211
2016,"Durango",10,33.3333333333333
2014,"Durango",10,15.3846153846154
2020,"Guanajuato",11,28.8888888888889
2018,"Guanajuato",11,30.4347826086957
2016,"Guanajuato",11,2.17391304347826
2014,"Guanajuato",11,6.52173913043478
2020,"Guerrero",12,20.9876543209877
2018,"Guerrero",12,20.9876543209877
2016,"Guerrero",12,26.9230769230769
2014,"Guerrero",12,4.93827160493827
2020,"Hidalgo",13,16.6666666666667
2018,"Hidalgo",13,21.4285714285714
2016,"Hidalgo",13,22.8915662650602
2014,"Hidalgo",13,7.14285714285714
2020,"Jalisco",14,22.4
2018,"Jalisco",14,21.9512195121951
2016,"Jalisco",14,4
2014,"Jalisco",14,8.8
2020,"México",15,32.258064516129
2018,"México",15,14.1509433962264
2016,"México",15,16.8067226890756
2014,"México",15,12
2020,"Michoacán de Ocampo",16,20.5357142857143
2018,"Michoacán de Ocampo",16,19.6428571428571
2016,"Michoacán de Ocampo",16,1.81818181818182
2014,"Michoacán de Ocampo",16,7.07964601769912
2020,"Morelos",17,13.8888888888889
2018,"Morelos",17,18.75
2016,"Morelos",17,18.1818181818182
2014,"Morelos",17,9.09090909090909
2020,"Nayarit",18,25
2018,"Nayarit",18,30
2016,"Nayarit",18,10
2014,"Nayarit",18,10
2020,"Nuevo León",19,22
2018,"Nuevo León",19,17.6470588235294
2016,"Nuevo León",19,5.26315789473684
2014,"Nuevo León",19,7.84313725490196
2020,"Oaxaca",20,13.0052724077329
2018,"Oaxaca",20,10.5633802816901
2016,"Oaxaca",20,2.83185840707965
2014,"Oaxaca",20,3.16901408450704
2020,"Puebla",21,21.6589861751152
2018,"Puebla",21,19.9074074074074
2016,"Puebla",21,6.91244239631336
2014,"Puebla",21,5.99078341013825
2020,"Querétaro",22,33.3333333333333
2018,"Querétaro",22,35.2941176470588
2016,"Querétaro",22,44.4444444444444
2014,"Querétaro",22,11.1111111111111
2020,"Quintana Roo",23,36.3636363636364
2018,"Quintana Roo",23,27.2727272727273
2016,"Quintana Roo",23,45.4545454545455
2014,"Quintana Roo",23,0
2020,"San Luis Potosí",24,31.0344827586207
2018,"San Luis Potosí",24,27.5862068965517
2016,"San Luis Potosí",24,5.17241379310345
2014,"San Luis Potosí",24,10.3448275862069
2020,"Sinaloa",25,38.8888888888889
2018,"Sinaloa",25,27.7777777777778
2016,"Sinaloa",25,5.55555555555556
2014,"Sinaloa",25,5.55555555555556
2020,"Sonora",26,37.5
2018,"Sonora",26,39.4366197183099
2016,"Sonora",26,15.4929577464789
2014,"Sonora",26,12.5
2020,"Tabasco",27,41.1764705882353
2018,"Tabasco",27,41.1764705882353
2016,"Tabasco",27,17.6470588235294
2014,"Tabasco",27,5.88235294117647
2020,"Tamaulipas",28,44.1860465116279
2018,"Tamaulipas",28,42.1052631578947
2016,"Tamaulipas",28,38.0952380952381
2014,"Tamaulipas",28,18.6046511627907
2020,"Tlaxcala",29,10.1694915254237
2018,"Tlaxcala",29,10
2016,"Tlaxcala",29,1.92307692307692
2014,"Tlaxcala",29,3.33333333333333
2020,"Veracruz de Ignacio de la Llave",30,26.0663507109005
2018,"Veracruz de Ignacio de la Llave",30,26.5700483091787
2016,"Veracruz de Ignacio de la Llave",30,14.2857142857143
2014,"Veracruz de Ignacio de la Llave",30,11.7924528301887
2020,"Yucatán",31,27.3584905660377
2018,"Yucatán",31,27.3584905660377
2016,"Yucatán",31,6.60377358490566
2014,"Yucatán",31,17.9245283018868
2020,"Zacatecas",32,25.8620689655172
2018,"Zacatecas",32,25.8620689655172
2016,"Zacatecas",32,24.1379310344828
2014,"Zacatecas",32,1.72413793103448
