Year,Entidad federativa,GeoCode,Value
2020,"Estados Unidos Mexicanos",00,47.4642108938547
2018,"Estados Unidos Mexicanos",00,45.0115493958778
2020,"Aguascalientes",01,53.2710280373832
2018,"Aguascalientes",01,52.2935779816514
2020,"Baja California",02,51.8987341772152
2018,"Baja California",02,43.8356164383562
2020,"Baja California Sur",03,48.2758620689655
2018,"Baja California Sur",03,48.2758620689655
2020,"Campeche",04,45.8015267175573
2018,"Campeche",04,46.5116279069767
2020,"Coahuila de Zaragoza",05,52.2504892367906
2018,"Coahuila de Zaragoza",05,50.7936507936508
2020,"Colima",06,45.6140350877193
2018,"Colima",06,43.859649122807
2020,"Chiapas",07,57.2832886505809
2018,"Chiapas",07,57.029702970297
2020,"Chihuahua",08,50
2018,"Chihuahua",08,48.4633569739953
2020,"Ciudad de México",09,48.8636363636364
2018,"Ciudad de México",09,25
2020,"Durango",10,58.5185185185185
2018,"Durango",10,45.2970297029703
2020,"Guanajuato",11,47.378640776699
2018,"Guanajuato",11,47.093023255814
2020,"Guerrero",12,45.1612903225806
2018,"Guerrero",12,44.7704081632653
2020,"Hidalgo",13,52.304797742239
2018,"Hidalgo",13,45.7407407407407
2020,"Jalisco",14,48.0325644504749
2018,"Jalisco",14,46.4760638297872
2020,"México",15,50.9351620947631
2018,"México",15,44.7538860103627
2020,"Michoacán de Ocampo",16,48.4472049689441
2018,"Michoacán de Ocampo",16,48.7671232876712
2020,"Morelos",17,34.0080971659919
2018,"Morelos",17,37.9591836734694
2020,"Nayarit",18,43.4599156118143
2018,"Nayarit",18,43.8818565400844
2020,"Nuevo León",19,51.0416666666667
2018,"Nuevo León",19,50.3448275862069
2020,"Oaxaca",20,35.3351607276352
2018,"Oaxaca",20,29.1478696741855
2020,"Puebla",21,52.5491949910555
2018,"Puebla",21,51.2356575463372
2020,"Querétaro",22,57.4257425742574
2018,"Querétaro",22,57.7114427860697
2020,"Quintana Roo",23,51.0791366906475
2018,"Quintana Roo",23,50.3597122302158
2020,"San Luis Potosí",24,51.4734774066798
2018,"San Luis Potosí",24,50.8840864440079
2020,"Sinaloa",25,49.7354497354497
2018,"Sinaloa",25,47.2636815920398
2020,"Sonora",26,47.758887171561
2018,"Sonora",26,47.9813664596273
2020,"Tabasco",27,53.7444933920705
2018,"Tabasco",27,54.0540540540541
2020,"Tamaulipas",28,52.3622047244094
2018,"Tamaulipas",28,52.5252525252525
2020,"Tlaxcala",29,39.3939393939394
2018,"Tlaxcala",29,38.7234042553192
2020,"Veracruz de Ignacio de la Llave",30,47.5783475783476
2018,"Veracruz de Ignacio de la Llave",30,46.8146718146718
2020,"Yucatán",31,46.8888888888889
2018,"Yucatán",31,49.6847414880202
2020,"Zacatecas",32,51.7345399698341
2018,"Zacatecas",32,51.7397881996974
