Year,Entidad federativa,"Usuarios",GeoCode,Value
2020/4,"Estados Unidos Mexicanos","Hombres",00,
2020/3,"Estados Unidos Mexicanos","Hombres",00,
2020/2,"Estados Unidos Mexicanos","Hombres",00,
2020/1,"Estados Unidos Mexicanos","Hombres",00,4836.89
2020/4,"Estados Unidos Mexicanos","Mujeres",00,
2020/3,"Estados Unidos Mexicanos","Mujeres",00,
2020/2,"Estados Unidos Mexicanos","Mujeres",00,
2020/1,"Estados Unidos Mexicanos","Mujeres",00,3773.05
2020/4,"Aguascalientes","Hombres",01,
2020/3,"Aguascalientes","Hombres",01,
2020/2,"Aguascalientes","Hombres",01,
2020/1,"Aguascalientes","Hombres",01,5440.79
2020/4,"Aguascalientes","Mujeres",01,
2020/3,"Aguascalientes","Mujeres",01,
2020/2,"Aguascalientes","Mujeres",01,
2020/1,"Aguascalientes","Mujeres",01,4036.5700000000006
2020/4,"Baja California","Hombres",02,
2020/3,"Baja California","Hombres",02,
2020/2,"Baja California","Hombres",02,
2020/1,"Baja California","Hombres",02,6281.37
2020/4,"Baja California","Mujeres",02,
2020/3,"Baja California","Mujeres",02,
2020/2,"Baja California","Mujeres",02,
2020/1,"Baja California","Mujeres",02,5354.26
2020/4,"Baja California Sur","Hombres",03,
2020/3,"Baja California Sur","Hombres",03,
2020/2,"Baja California Sur","Hombres",03,
2020/1,"Baja California Sur","Hombres",03,6787.45
2020/4,"Baja California Sur","Mujeres",03,
2020/3,"Baja California Sur","Mujeres",03,
2020/2,"Baja California Sur","Mujeres",03,
2020/1,"Baja California Sur","Mujeres",03,5345.26
2020/4,"Campeche","Hombres",04,
2020/3,"Campeche","Hombres",04,
2020/2,"Campeche","Hombres",04,
2020/1,"Campeche","Hombres",04,4488.74
2020/4,"Campeche","Mujeres",04,
2020/3,"Campeche","Mujeres",04,
2020/2,"Campeche","Mujeres",04,
2020/1,"Campeche","Mujeres",04,3256.61
2020/4,"Coahuila de Zaragoza","Hombres",05,
2020/3,"Coahuila de Zaragoza","Hombres",05,
2020/2,"Coahuila de Zaragoza","Hombres",05,
2020/1,"Coahuila de Zaragoza","Hombres",05,6083.27
2020/4,"Coahuila de Zaragoza","Mujeres",05,
2020/3,"Coahuila de Zaragoza","Mujeres",05,
2020/2,"Coahuila de Zaragoza","Mujeres",05,
2020/1,"Coahuila de Zaragoza","Mujeres",05,4640.57
2020/4,"Colima","Hombres",06,
2020/3,"Colima","Hombres",06,
2020/2,"Colima","Hombres",06,
2020/1,"Colima","Hombres",06,5598.96
2020/4,"Colima","Mujeres",06,
2020/3,"Colima","Mujeres",06,
2020/2,"Colima","Mujeres",06,
2020/1,"Colima","Mujeres",06,3890.2600000000007
