Year,Series,Entidad federativa,Municipios,Sexo,Poblaciones,GeoCode,Value
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Total,,0,97.90527218
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Hombres,,0,97.79632814
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Mujeres,,0,98.00873265
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,,0,91.19
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,,0,97.58855447
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,,0,0
2010,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,Hablantes de lengua indigena,0,98.28194018
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Total,Discapacidad,0,99.11500993
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Hombres,Afromexicana o afrodescendiente,0,99.04531447
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Mujeres,Residentes en otra entidad 5 años atrás,0,99.18112662
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,,0,96.25257406
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,,0,99.10048204
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,,0,99.30522211
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,Hablantes de lengua indigena,0,99.43591673
2010,Censo de Población y Vivienda,Aguascalientes,,Total,Discapacidad,1,99.30032343
2010,Censo de Población y Vivienda,Aguascalientes,,Hombres,Afromexicana o afrodescendiente,1,99.25489819
2010,Censo de Población y Vivienda,Aguascalientes,,Mujeres,Residentes en otra entidad 5 años atrás,1,99.34328131
2010,Censo de Población y Vivienda,Aguascalientes,,,,1,98.15
2010,Censo de Población y Vivienda,Aguascalientes,,,,1,98.95754243
2010,Censo de Población y Vivienda,Aguascalientes,,,,1,0
2010,Censo de Población y Vivienda,Aguascalientes,,,Hablantes de lengua indigena,1,99.35098714
2020,Censo de Población y Vivienda,Aguascalientes,,Total,Discapacidad,1,99.11500993
2020,Censo de Población y Vivienda,Aguascalientes,,Hombres,Afromexicana o afrodescendiente,1,99.04531447
2020,Censo de Población y Vivienda,Aguascalientes,,Mujeres,Residentes en otra entidad 5 años atrás,1,99.18112662
2020,Censo de Población y Vivienda,Aguascalientes,,,,1,96.25257406
2020,Censo de Población y Vivienda,Aguascalientes,,,,1,99.10048204
2020,Censo de Población y Vivienda,Aguascalientes,,,,1,99.30522211
2020,Censo de Población y Vivienda,Aguascalientes,,,Hablantes de lengua indigena,1,99.43591673
2010,Censo de Población y Vivienda,Baja California,,Total,Discapacidad,2,98.75875111
2010,Censo de Población y Vivienda,Baja California,,Hombres,Afromexicana o afrodescendiente,2,98.63178269
2010,Censo de Población y Vivienda,Baja California,,Mujeres,Residentes en otra entidad 5 años atrás,2,98.88603736
2010,Censo de Población y Vivienda,Baja California,,,,2,93.38
2010,Censo de Población y Vivienda,Baja California,,,,2,98.36527305
2010,Censo de Población y Vivienda,Baja California,,,,2,0
2010,Censo de Población y Vivienda,Baja California,,,Hablantes de lengua indigena,2,98.20401494
2020,Censo de Población y Vivienda,Baja California,,Total,Discapacidad,2,99.19210976
2020,Censo de Población y Vivienda,Baja California,,Hombres,Afromexicana o afrodescendiente,2,99.06916927
2020,Censo de Población y Vivienda,Baja California,,Mujeres,Residentes en otra entidad 5 años atrás,2,99.3158274
2020,Censo de Población y Vivienda,Baja California,,,,2,94.34979467
2020,Censo de Población y Vivienda,Baja California,,,,2,99.13679151
2020,Censo de Población y Vivienda,Baja California,,,,2,99.24734915
2020,Censo de Población y Vivienda,Baja California,,,Hablantes de lengua indigena,2,98.96109893
2010,Censo de Población y Vivienda,Baja California Sur,,Total,Discapacidad,3,96.95213724
2010,Censo de Población y Vivienda,Baja California Sur,,Hombres,Afromexicana o afrodescendiente,3,96.67745648
2010,Censo de Población y Vivienda,Baja California Sur,,Mujeres,Residentes en otra entidad 5 años atrás,3,97.2360681
2010,Censo de Población y Vivienda,Baja California Sur,,,,3,92.34
2010,Censo de Población y Vivienda,Baja California Sur,,,,3,95.94697935
2010,Censo de Población y Vivienda,Baja California Sur,,,,3,0
2010,Censo de Población y Vivienda,Baja California Sur,,,Hablantes de lengua indigena,3,94.74362206
2020,Censo de Población y Vivienda,Baja California Sur,,Total,Discapacidad,3,98.55318073
2020,Censo de Población y Vivienda,Baja California Sur,,Hombres,Afromexicana o afrodescendiente,3,98.41272618
2020,Censo de Población y Vivienda,Baja California Sur,,Mujeres,Residentes en otra entidad 5 años atrás,3,98.69711178
2020,Censo de Población y Vivienda,Baja California Sur,,,,3,96.6113259
2020,Censo de Población y Vivienda,Baja California Sur,,,,3,98.550477
2020,Censo de Población y Vivienda,Baja California Sur,,,,3,99.35865433
2020,Censo de Población y Vivienda,Baja California Sur,,,Hablantes de lengua indigena,3,98.91716525
2010,Censo de Población y Vivienda,Campeche,,Total,Discapacidad,4,97.2444142
2010,Censo de Población y Vivienda,Campeche,,Hombres,Afromexicana o afrodescendiente,4,96.96169908
2010,Censo de Población y Vivienda,Campeche,,Mujeres,Residentes en otra entidad 5 años atrás,4,97.52130829
2010,Censo de Población y Vivienda,Campeche,,,,4,95.84
2010,Censo de Población y Vivienda,Campeche,,,,4,96.71617824
2010,Censo de Población y Vivienda,Campeche,,,,4,0
2010,Censo de Población y Vivienda,Campeche,,,Hablantes de lengua indigena,4,94.714695
2020,Censo de Población y Vivienda,Campeche,,Total,Discapacidad,4,98.49114667
2020,Censo de Población y Vivienda,Campeche,,Hombres,Afromexicana o afrodescendiente,4,98.32241902
2020,Censo de Población y Vivienda,Campeche,,Mujeres,Residentes en otra entidad 5 años atrás,4,98.6543682
2020,Censo de Población y Vivienda,Campeche,,,,4,98.29182038
2020,Censo de Población y Vivienda,Campeche,,,,4,98.62299748
2020,Censo de Población y Vivienda,Campeche,,,,4,99.4499507
2020,Censo de Población y Vivienda,Campeche,,,Hablantes de lengua indigena,4,97.85230524
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,Total,Discapacidad,5,99.32431083
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,Hombres,Afromexicana o afrodescendiente,5,99.24169456
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,Mujeres,Residentes en otra entidad 5 años atrás,5,99.40548668
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,,,5,98.99
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,,,5,98.89314707
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,,,5,0
2010,Censo de Población y Vivienda,Coahuila de Zaragoza,,,Hablantes de lengua indigena,5,99.15710335
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,Total,Discapacidad,5,99.62889195
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,Hombres,Afromexicana o afrodescendiente,5,99.58400502
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,Mujeres,Residentes en otra entidad 5 años atrás,5,99.6730998
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,,5,99.64064684
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,,5,99.64368417
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,,5,99.8016392
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,Hablantes de lengua indigena,5,99.79952232
2010,Censo de Población y Vivienda,Colima,,Total,Discapacidad,6,99.26182396
2010,Censo de Población y Vivienda,Colima,,Hombres,Afromexicana o afrodescendiente,6,99.15780338
2010,Censo de Población y Vivienda,Colima,,Mujeres,Residentes en otra entidad 5 años atrás,6,99.3634535
2010,Censo de Población y Vivienda,Colima,,,,6,96.85
2010,Censo de Población y Vivienda,Colima,,,,6,98.65886288
2010,Censo de Población y Vivienda,Colima,,,,6,0
2010,Censo de Población y Vivienda,Colima,,,Hablantes de lengua indigena,6,98.86625202
2020,Censo de Población y Vivienda,Colima,,Total,Discapacidad,6,99.40294649
2020,Censo de Población y Vivienda,Colima,,Hombres,Afromexicana o afrodescendiente,6,99.30578272
2020,Censo de Población y Vivienda,Colima,,Mujeres,Residentes en otra entidad 5 años atrás,6,99.49698162
2020,Censo de Población y Vivienda,Colima,,,,6,98.86917528
2020,Censo de Población y Vivienda,Colima,,,,6,99.46873103
2020,Censo de Población y Vivienda,Colima,,,,6,99.74865085
2020,Censo de Población y Vivienda,Colima,,,Hablantes de lengua indigena,6,99.45547264
2010,Censo de Población y Vivienda,Chiapas,,Total,Discapacidad,7,95.73805211
2010,Censo de Población y Vivienda,Chiapas,,Hombres,Afromexicana o afrodescendiente,7,95.59775631
2010,Censo de Población y Vivienda,Chiapas,,Mujeres,Residentes en otra entidad 5 años atrás,7,95.87270297
2010,Censo de Población y Vivienda,Chiapas,,,,7,91.48
2010,Censo de Población y Vivienda,Chiapas,,,,7,96.33981922
2010,Censo de Población y Vivienda,Chiapas,,,,7,0
2010,Censo de Población y Vivienda,Chiapas,,,Hablantes de lengua indigena,7,98.10274138
2020,Censo de Población y Vivienda,Chiapas,,Total,Discapacidad,7,97.70399985
2020,Censo de Población y Vivienda,Chiapas,,Hombres,Afromexicana o afrodescendiente,7,97.59865268
2020,Censo de Población y Vivienda,Chiapas,,Mujeres,Residentes en otra entidad 5 años atrás,7,97.804131
2020,Censo de Población y Vivienda,Chiapas,,,,7,96.29386863
2020,Censo de Población y Vivienda,Chiapas,,,,7,98.29583524
2020,Censo de Población y Vivienda,Chiapas,,,,7,98.24043246
2020,Censo de Población y Vivienda,Chiapas,,,Hablantes de lengua indigena,7,99.09477881
2010,Censo de Población y Vivienda,Chihuahua,,Total,Discapacidad,8,95.8738207
2010,Censo de Población y Vivienda,Chihuahua,,Hombres,Afromexicana o afrodescendiente,8,95.68571227
2010,Censo de Población y Vivienda,Chihuahua,,Mujeres,Residentes en otra entidad 5 años atrás,8,96.05882388
2010,Censo de Población y Vivienda,Chihuahua,,,,8,40.59
2010,Censo de Población y Vivienda,Chihuahua,,,,8,96.36372939
2010,Censo de Población y Vivienda,Chihuahua,,,,8,0
2010,Censo de Población y Vivienda,Chihuahua,,,Hablantes de lengua indigena,8,98.10006773
2020,Censo de Población y Vivienda,Chihuahua,,Total,Discapacidad,8,98.12892908
2020,Censo de Población y Vivienda,Chihuahua,,Hombres,Afromexicana o afrodescendiente,8,98.0654389
2020,Censo de Población y Vivienda,Chihuahua,,Mujeres,Residentes en otra entidad 5 años atrás,8,98.19098094
2020,Censo de Población y Vivienda,Chihuahua,,,,8,63.57536722
2020,Censo de Población y Vivienda,Chihuahua,,,,8,98.48037476
2020,Censo de Población y Vivienda,Chihuahua,,,,8,98.36916112
2020,Censo de Población y Vivienda,Chihuahua,,,Hablantes de lengua indigena,8,99.64388501
2010,Censo de Población y Vivienda,Ciudad de México,,Total,Discapacidad,9,99.62978107
2010,Censo de Población y Vivienda,Ciudad de México,,Hombres,Afromexicana o afrodescendiente,9,99.61605462
2010,Censo de Población y Vivienda,Ciudad de México,,Mujeres,Residentes en otra entidad 5 años atrás,9,99.6422304
2010,Censo de Población y Vivienda,Ciudad de México,,,,9,99.31
2010,Censo de Población y Vivienda,Ciudad de México,,,,9,99.65454416
2010,Censo de Población y Vivienda,Ciudad de México,,,,9,0
2010,Censo de Población y Vivienda,Ciudad de México,,,Hablantes de lengua indigena,9,99.60366398
2020,Censo de Población y Vivienda,Ciudad de México,,Total,Discapacidad,9,99.83999785
2020,Censo de Población y Vivienda,Ciudad de México,,Hombres,Afromexicana o afrodescendiente,9,99.82532413
2020,Censo de Población y Vivienda,Ciudad de México,,Mujeres,Residentes en otra entidad 5 años atrás,9,99.85337213
2020,Censo de Población y Vivienda,Ciudad de México,,,,9,99.69528008
2020,Censo de Población y Vivienda,Ciudad de México,,,,9,99.90150951
2020,Censo de Población y Vivienda,Ciudad de México,,,,9,99.91549917
2020,Censo de Población y Vivienda,Ciudad de México,,,Hablantes de lengua indigena,9,99.92318186
2010,Censo de Población y Vivienda,Durango,,Total,Discapacidad,10,95.52927457
2010,Censo de Población y Vivienda,Durango,,Hombres,Afromexicana o afrodescendiente,10,95.29739758
2010,Censo de Población y Vivienda,Durango,,Mujeres,Residentes en otra entidad 5 años atrás,10,95.7530712
2010,Censo de Población y Vivienda,Durango,,,,10,31.73
2010,Censo de Población y Vivienda,Durango,,,,10,96.15024143
2010,Censo de Población y Vivienda,Durango,,,,10,0
2010,Censo de Población y Vivienda,Durango,,,Hablantes de lengua indigena,10,97.14308017
2020,Censo de Población y Vivienda,Durango,,Total,Discapacidad,10,97.70745184
2020,Censo de Población y Vivienda,Durango,,Hombres,Afromexicana o afrodescendiente,10,97.59667888
2020,Censo de Población y Vivienda,Durango,,Mujeres,Residentes en otra entidad 5 años atrás,10,97.81459402
2020,Censo de Población y Vivienda,Durango,,,,10,57.48121207
2020,Censo de Población y Vivienda,Durango,,,,10,98.50743326
2020,Censo de Población y Vivienda,Durango,,,,10,97.35888746
2020,Censo de Población y Vivienda,Durango,,,Hablantes de lengua indigena,10,99.13383773
2010,Censo de Población y Vivienda,Guanajuato,,Total,Discapacidad,11,98.34611049
2010,Censo de Población y Vivienda,Guanajuato,,Hombres,Afromexicana o afrodescendiente,11,98.28895347
2010,Censo de Población y Vivienda,Guanajuato,,Mujeres,Residentes en otra entidad 5 años atrás,11,98.3989826
2010,Censo de Población y Vivienda,Guanajuato,,,,11,93.92
