Year,Value
2020,2.05785315680664
2019,-2.38971239688736
2018,0.407129848812149
2017,1.78077831397228
2016,4.82642705864142
2015,0.196169092010701
2014,4.8662940731335
2013,1.48507136497573
2012,1.91797611726297
2011,7.40571496797486
2010,4.76067291767144
2009,-2.07657472902546
2008,4.33529019633443
2007,3.01411828964011
2006,7.37436911741707
2005,3.97628338912963
2004,4.46742316533535
2003,2.41814156509428
2002,0.373202940555206
2001,1.16192640054009
2000,5.02056490527782
1999,3.05240352776652
1998,3.62203486873338
1997,2.76974185810266
1996,4.44049526524544
