Year,"Sexo","Tipo de ocupación",Value
2021,"Total","Total",39.93
2020,"Total","Total",37.52
2019,"Total","Total",34.69
2018,"Total","Total",33
2017,"Total","Total",31.37
2016,"Total","Total",30.036622882978303
2021,"Total","Directores y gerentes",92.48
2020,"Total","Directores y gerentes",88.21
2019,"Total","Directores y gerentes",78.37
2018,"Total","Directores y gerentes",77.34
2017,"Total","Directores y gerentes",75.49
2016,"Total","Directores y gerentes",75.298280148485
2021,"Total","Profesionales científicos e intelectuales",85.98
2020,"Total","Profesionales científicos e intelectuales",81.67
2019,"Total","Profesionales científicos e intelectuales",76.39
2018,"Total","Profesionales científicos e intelectuales",73.94
2017,"Total","Profesionales científicos e intelectuales",72.16
2016,"Total","Profesionales científicos e intelectuales",70.4207690008008
2021,"Total","Técnicos y profesionales de nivel medio",53.93
2020,"Total","Técnicos y profesionales de nivel medio",50.91
2019,"Total","Técnicos y profesionales de nivel medio",47.02
2018,"Total","Técnicos y profesionales de nivel medio",45.26
2017,"Total","Técnicos y profesionales de nivel medio",42.56
2016,"Total","Técnicos y profesionales de nivel medio",41.3509310298837
2021,"Total","Personal de apoyo administrativo",43.69
2020,"Total","Personal de apoyo administrativo",41.26
2019,"Total","Personal de apoyo administrativo",38.67
2018,"Total","Personal de apoyo administrativo",36.75
2017,"Total","Personal de apoyo administrativo",35.43
2016,"Total","Personal de apoyo administrativo",33.5745283062425
2021,"Total","Trabajadores de los servicios y vendedores de comercios y mercados",32.62
2020,"Total","Trabajadores de los servicios y vendedores de comercios y mercados",30.77
2019,"Total","Trabajadores de los servicios y vendedores de comercios y mercados",28.86
2018,"Total","Trabajadores de los servicios y vendedores de comercios y mercados",27.49
2017,"Total","Trabajadores de los servicios y vendedores de comercios y mercados",25.94
2016,"Total","Trabajadores de los servicios y vendedores de comercios y mercados",24.8320627406125
2021,"Total","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",26.01
2020,"Total","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",25.929999999999996
2019,"Total","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",22.350000000000005
2018,"Total","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",20.93
2017,"Total","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",20.3
2016,"Total","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",18.2741430217311
2021,"Total","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",39.25
2020,"Total","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",36.69
2019,"Total","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",34.29
2018,"Total","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",32.41
2017,"Total","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",30.53
2016,"Total","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",28.9376248428299
2021,"Total","Operadores de instalaciones y máquinas y ensambladores",36.39
2020,"Total","Operadores de instalaciones y máquinas y ensambladores",34.04
2019,"Total","Operadores de instalaciones y máquinas y ensambladores",32.79
2018,"Total","Operadores de instalaciones y máquinas y ensambladores",30.5
2017,"Total","Operadores de instalaciones y máquinas y ensambladores",28.74
2016,"Total","Operadores de instalaciones y máquinas y ensambladores",27.3639864745229
2021,"Total","Ocupaciones elementales",29.19
2020,"Total","Ocupaciones elementales",27.73
2019,"Total","Ocupaciones elementales",26.23
2018,"Total","Ocupaciones elementales",24.59
2017,"Total","Ocupaciones elementales",23.350000000000005
2016,"Total","Ocupaciones elementales",22.1750001867356
2021,"Total","Ocupaciones militares",43.6
2020,"Total","Ocupaciones militares",36.53
2019,"Total","Ocupaciones militares",36.74
2018,"Total","Ocupaciones militares",33.27
2017,"Total","Ocupaciones militares",33.11
2016,"Total","Ocupaciones militares",31.0895093058425
2021,"Total","No especificado",54.88
2020,"Total","No especificado",60.09
2019,"Total","No especificado",46.84
2018,"Total","No especificado",34.93
2017,"Total","No especificado",65.55
2016,"Total","No especificado",61.7376488881713
2021,"Hombres","Total",40.6
2020,"Hombres","Total",38.03
2019,"Hombres","Total",35.39
2018,"Hombres","Total",33.57
2017,"Hombres","Total",31.83
2016,"Hombres","Total",30.5911783013447
2021,"Hombres","Directores y gerentes",97.42
2020,"Hombres","Directores y gerentes",88.06
2019,"Hombres","Directores y gerentes",82.7
2018,"Hombres","Directores y gerentes",80.01
2017,"Hombres","Directores y gerentes",77.75
2016,"Hombres","Directores y gerentes",79.0856786313344
2021,"Hombres","Profesionales científicos e intelectuales",92.08999999999999
2020,"Hombres","Profesionales científicos e intelectuales",88.2
2019,"Hombres","Profesionales científicos e intelectuales",81.14
2018,"Hombres","Profesionales científicos e intelectuales",78.17
