Year,"Sexo","Condición de residencia y país de nacimiento",Value
2021,"Total","Total",39.93
2020,"Total","Total",37.52
2019,"Total","Total",34.69
2018,"Total","Total",33
2017,"Total","Total",31.37
2016,"Total","Total",30.036622882978303
2021,"Total","Cambió de residencia 1 año",49.98
2020,"Total","Cambió de residencia 1 año",
2019,"Total","Cambió de residencia 1 año",
2018,"Total","Cambió de residencia 1 año",
2017,"Total","Cambió de residencia 1 año",
2016,"Total","Cambió de residencia 1 año",
2021,"Total","No cambió de residencia 1 año",40.33
2020,"Total","No cambió de residencia 1 año",
2019,"Total","No cambió de residencia 1 año",
2018,"Total","No cambió de residencia 1 año",
2017,"Total","No cambió de residencia 1 año",
2016,"Total","No cambió de residencia 1 año",
2021,"Total","No especificado",39.38
2020,"Total","No especificado",
2019,"Total","No especificado",
2018,"Total","No especificado",
2017,"Total","No especificado",
2016,"Total","No especificado",
2021,"Total","Nacimiento México",39.83
2020,"Total","Nacimiento México",37.48
2019,"Total","Nacimiento México",34.62
2018,"Total","Nacimiento México",32.92
2017,"Total","Nacimiento México",31.320000000000004
2016,"Total","Nacimiento México",29.9639317514513
2021,"Total","Nacimiento en otro país",61.99
2020,"Total","Nacimiento en otro país",47.54
2019,"Total","Nacimiento en otro país",55.18
2018,"Total","Nacimiento en otro país",57.07
2017,"Total","Nacimiento en otro país",50.35999999999999
2016,"Total","Nacimiento en otro país",55.0152752746779
2021,"Hombres","Total",40.6
2020,"Hombres","Total",38.03
2019,"Hombres","Total",35.39
2018,"Hombres","Total",33.57
2017,"Hombres","Total",31.83
2016,"Hombres","Total",30.5911783013447
2021,"Hombres","Cambió de residencia 1 año",53.1
2020,"Hombres","Cambió de residencia 1 año",
2019,"Hombres","Cambió de residencia 1 año",
2018,"Hombres","Cambió de residencia 1 año",
2017,"Hombres","Cambió de residencia 1 año",
2016,"Hombres","Cambió de residencia 1 año",
2021,"Hombres","No cambió de residencia 1 año",41.12
2020,"Hombres","No cambió de residencia 1 año",
2019,"Hombres","No cambió de residencia 1 año",
2018,"Hombres","No cambió de residencia 1 año",
2017,"Hombres","No cambió de residencia 1 año",
2016,"Hombres","No cambió de residencia 1 año",
2021,"Hombres","No especificado",39.91
2020,"Hombres","No especificado",
2019,"Hombres","No especificado",
2018,"Hombres","No especificado",
2017,"Hombres","No especificado",
2016,"Hombres","No especificado",
2021,"Hombres","Nacimiento México",40.49
2020,"Hombres","Nacimiento México",37.99
2019,"Hombres","Nacimiento México",35.3
2018,"Hombres","Nacimiento México",33.48
2017,"Hombres","Nacimiento México",31.77
2016,"Hombres","Nacimiento México",30.5010347303926
2021,"Hombres","Nacimiento en otro país",63.669999999999995
2020,"Hombres","Nacimiento en otro país",46.52
2019,"Hombres","Nacimiento en otro país",57.94
2018,"Hombres","Nacimiento en otro país",61.62
2017,"Hombres","Nacimiento en otro país",52.71
2016,"Hombres","Nacimiento en otro país",61.8398206105328
2021,"Mujeres","Total",38.67
2020,"Mujeres","Total",36.56
2019,"Mujeres","Total",33.36
2018,"Mujeres","Total",31.87
2017,"Mujeres","Total",30.45
2016,"Mujeres","Total",28.9230523972501
2021,"Mujeres","Cambió de residencia 1 año",43.85
2020,"Mujeres","Cambió de residencia 1 año",
2019,"Mujeres","Cambió de residencia 1 año",
2018,"Mujeres","Cambió de residencia 1 año",
2017,"Mujeres","Cambió de residencia 1 año",
2016,"Mujeres","Cambió de residencia 1 año",
2021,"Mujeres","No cambió de residencia 1 año",38.89
2020,"Mujeres","No cambió de residencia 1 año",
2019,"Mujeres","No cambió de residencia 1 año",
2018,"Mujeres","No cambió de residencia 1 año",
2017,"Mujeres","No cambió de residencia 1 año",
2016,"Mujeres","No cambió de residencia 1 año",
2021,"Mujeres","No especificado",38.37
2020,"Mujeres","No especificado",
2019,"Mujeres","No especificado",
2018,"Mujeres","No especificado",
2017,"Mujeres","No especificado",
2016,"Mujeres","No especificado",
2021,"Mujeres","Nacimiento México",38.59
2020,"Mujeres","Nacimiento México",36.5
2019,"Mujeres","Nacimiento México",33.29
2018,"Mujeres","Nacimiento México",31.820000000000004
2017,"Mujeres","Nacimiento México",30.399999999999995
2016,"Mujeres","Nacimiento México",28.8853242889147
2021,"Mujeres","Nacimiento en otro país",58.39000000000001
2020,"Mujeres","Nacimiento en otro país",49.56
2019,"Mujeres","Nacimiento en otro país",50.18
2018,"Mujeres","Nacimiento en otro país",47.87
2017,"Mujeres","Nacimiento en otro país",46.10999999999999
2016,"Mujeres","Nacimiento en otro país",41.6640429770352
