Year,Entidad federativa,"Sexo","Grupo de edad",GeoCode,Value
2022,"Estados Unidos Mexicanos","Total","Total",00,3.27360351413286
2021,"Estados Unidos Mexicanos","Total","Total",00,4.11048976991945
2020,"Estados Unidos Mexicanos","Total","Total",00,4.46055441624225
2019,"Estados Unidos Mexicanos","Total","Total",00,3.49931786582389
2018,"Estados Unidos Mexicanos","Total","Total",00,3.29212064398129
2017,"Estados Unidos Mexicanos","Total","Total",00,3.43760772823812
2016,"Estados Unidos Mexicanos","Total","Total",00,3.87842540394456
2015,"Estados Unidos Mexicanos","Total","Total",00,4.33346411480029
2014,"Estados Unidos Mexicanos","Total","Total",00,4.84112116624238
2022,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,6.528993517973771
2021,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,7.92590913460904
2020,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,8.151149846826799
2019,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,7.24290302690688
2018,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,6.893635824839209
2017,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,6.91889551694041
2016,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,7.7238329195657505
2015,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,8.61520863934732
2014,"Estados Unidos Mexicanos","Total","De 15 a 24 años",00,9.50582386433264
2022,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,2.74150930768821
2021,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,3.4783403310826304
2020,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,3.90618407011454
2019,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,2.8465388290265996
2018,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,2.6570353090559995
2017,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,2.8127140499533705
2016,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,3.18073322480246
2015,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,3.52380058887433
2014,"Estados Unidos Mexicanos","Total","De 25 a 64 años",00,3.90997529209386
2022,"Estados Unidos Mexicanos","Total","De 65 años y más",00,1.0302050908105
2021,"Estados Unidos Mexicanos","Total","De 65 años y más",00,1.35945628707864
2020,"Estados Unidos Mexicanos","Total","De 65 años y más",00,1.6191052333747697
2019,"Estados Unidos Mexicanos","Total","De 65 años y más",00,0.90237807068113
2018,"Estados Unidos Mexicanos","Total","De 65 años y más",00,0.89047150063457
2017,"Estados Unidos Mexicanos","Total","De 65 años y más",00,0.9618468904307599
2016,"Estados Unidos Mexicanos","Total","De 65 años y más",00,0.9634677398730102
2015,"Estados Unidos Mexicanos","Total","De 65 años y más",00,1.16373063508634
2014,"Estados Unidos Mexicanos","Total","De 65 años y más",00,1.3785968758564
2022,"Estados Unidos Mexicanos","Hombres","Total",00,3.23837283305104
2021,"Estados Unidos Mexicanos","Hombres","Total",00,4.0825048507301895
2020,"Estados Unidos Mexicanos","Hombres","Total",00,4.67939194626728
2019,"Estados Unidos Mexicanos","Hombres","Total",00,3.47268796280968
2018,"Estados Unidos Mexicanos","Hombres","Total",00,3.20758125568901
2017,"Estados Unidos Mexicanos","Hombres","Total",00,3.32426633161236
2016,"Estados Unidos Mexicanos","Hombres","Total",00,3.84229562566707
2015,"Estados Unidos Mexicanos","Hombres","Total",00,4.24500919720503
2014,"Estados Unidos Mexicanos","Hombres","Total",00,4.81447312674587
2022,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,6.02268244752689
2021,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,7.54389850284728
2020,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,7.8039601519457
2019,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,6.77678085093872
2018,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,6.50124693135984
2017,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,6.3279789275946
2016,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,7.146212672379449
2015,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,7.830744503374681
2014,"Estados Unidos Mexicanos","Hombres","De 15 a 24 años",00,8.79833789658417
2022,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,2.76655308486466
2021,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,3.48784419822897
2020,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,4.21478079558371
2019,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,2.88077715493799
2018,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,2.59656583016115
2017,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,2.7616988723235996
2016,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,3.2218172037805997
2015,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,3.545605898736
2014,"Estados Unidos Mexicanos","Hombres","De 25 a 64 años",00,3.99629617897816
2022,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.26116610643394
2021,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.55987390130086
2020,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.9000625697970002
2019,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.0277159151615
2018,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.0191261191953898
2017,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.16139492124937
2016,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.24580756469367
2015,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.46246545384567
2014,"Estados Unidos Mexicanos","Hombres","De 65 años y más",00,1.65328377313174
2022,"Estados Unidos Mexicanos","Mujeres","Total",00,3.3266712991332494
2021,"Estados Unidos Mexicanos","Mujeres","Total",00,4.15417334310538
2020,"Estados Unidos Mexicanos","Mujeres","Total",00,4.11506108154234
2019,"Estados Unidos Mexicanos","Mujeres","Total",00,3.54078401577951
2018,"Estados Unidos Mexicanos","Mujeres","Total",00,3.42789899873126
2017,"Estados Unidos Mexicanos","Mujeres","Total",00,3.6212869163112598
2016,"Estados Unidos Mexicanos","Mujeres","Total",00,3.9367823139535294
2015,"Estados Unidos Mexicanos","Mujeres","Total",00,4.47723056486704
2014,"Estados Unidos Mexicanos","Mujeres","Total",00,4.88484507277546
2022,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,7.39650506312267
2021,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,8.60031941743172
2020,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,8.77814145728849
2019,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,8.067681241610119
2018,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,7.61622595409703
2017,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,8.01160134395582
2016,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,8.78396672891727
2015,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,10.06314780694
2014,"Estados Unidos Mexicanos","Mujeres","De 15 a 24 años",00,10.8262028844445
2022,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,2.7056976291159
2021,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,3.4642272074819
2020,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,3.4402555693058194
2019,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,2.7957432971242
2018,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,2.74916088420596
2017,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,2.8912125822444206
2016,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,3.117637439383
2015,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,3.4901749768063097
2014,"Estados Unidos Mexicanos","Mujeres","De 25 a 64 años",00,3.7758156928048403
2022,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.50622539034902
2021,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.89114224750365
2020,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,1.01867175778807
2019,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.63445958085526
2018,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.58926847858957
2017,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.49078103185338
2016,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.30479162132999
2015,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.45270447819678
2014,"Estados Unidos Mexicanos","Mujeres","De 65 años y más",00,0.70068639413162
2022,"Aguascalientes","Total","Total",01,3.77546592362507
2021,"Aguascalientes","Total","Total",01,4.133225775578011
2020,"Aguascalientes","Total","Total",01,4.32879499154359
2019,"Aguascalientes","Total","Total",01,3.52150634230479
2018,"Aguascalientes","Total","Total",01,3.4480172470776096
2017,"Aguascalientes","Total","Total",01,3.63333216789329
2016,"Aguascalientes","Total","Total",01,3.97260714004408
2015,"Aguascalientes","Total","Total",01,4.50402942786901
2014,"Aguascalientes","Total","Total",01,5.990772640613
2022,"Aguascalientes","Total","De 15 a 24 años",01,6.82332679169076
2021,"Aguascalientes","Total","De 15 a 24 años",01,8.49130849569235
2020,"Aguascalientes","Total","De 15 a 24 años",01,8.21765074724791
2019,"Aguascalientes","Total","De 15 a 24 años",01,7.25602419567511
2018,"Aguascalientes","Total","De 15 a 24 años",01,7.38652003168593
2017,"Aguascalientes","Total","De 15 a 24 años",01,7.15101081398726
2016,"Aguascalientes","Total","De 15 a 24 años",01,7.85535215533197
2015,"Aguascalientes","Total","De 15 a 24 años",01,9.33301557321549
2014,"Aguascalientes","Total","De 15 a 24 años",01,12.662179548523598
2022,"Aguascalientes","Total","De 25 a 64 años",01,3.19196617315485
2021,"Aguascalientes","Total","De 25 a 64 años",01,3.24900454490609
2020,"Aguascalientes","Total","De 25 a 64 años",01,3.4903810820290997
2019,"Aguascalientes","Total","De 25 a 64 años",01,2.68115559719409
2018,"Aguascalientes","Total","De 25 a 64 años",01,2.5387856860675098
2017,"Aguascalientes","Total","De 25 a 64 años",01,2.86052557453366
2016,"Aguascalientes","Total","De 25 a 64 años",01,3.05039511027843
2015,"Aguascalientes","Total","De 25 a 64 años",01,3.3268432571126705
2014,"Aguascalientes","Total","De 25 a 64 años",01,4.22179852917987
2022,"Aguascalientes","Total","De 65 años y más",01,0.26685521394033
2021,"Aguascalientes","Total","De 65 años y más",01,0.45592368811279
2020,"Aguascalientes","Total","De 65 años y más",01,0.99945873141749
2019,"Aguascalientes","Total","De 65 años y más",01,0.7065127195998001
2018,"Aguascalientes","Total","De 65 años y más",01,0.82596410144944
2017,"Aguascalientes","Total","De 65 años y más",01,0.63172362752095
2016,"Aguascalientes","Total","De 65 años y más",01,0.24763166229952002
2015,"Aguascalientes","Total","De 65 años y más",01,1.40141568672223
2014,"Aguascalientes","Total","De 65 años y más",01,1.4125362593013
2022,"Aguascalientes","Hombres","Total",01,3.83940324703817
2021,"Aguascalientes","Hombres","Total",01,4.4966450774183
2020,"Aguascalientes","Hombres","Total",01,4.76408830237668
2019,"Aguascalientes","Hombres","Total",01,3.78288770053476
2018,"Aguascalientes","Hombres","Total",01,3.54242574804019
2017,"Aguascalientes","Hombres","Total",01,3.89139737220961
2016,"Aguascalientes","Hombres","Total",01,4.11709218149851
2015,"Aguascalientes","Hombres","Total",01,4.87557351913101
2014,"Aguascalientes","Hombres","Total",01,6.27085273340441
2022,"Aguascalientes","Hombres","De 15 a 24 años",01,6.116143433669749
2021,"Aguascalientes","Hombres","De 15 a 24 años",01,8.43801501556491
2020,"Aguascalientes","Hombres","De 15 a 24 años",01,8.36004615976407
2019,"Aguascalientes","Hombres","De 15 a 24 años",01,7.13885833591296
2018,"Aguascalientes","Hombres","De 15 a 24 años",01,7.14271467702045
2017,"Aguascalientes","Hombres","De 15 a 24 años",01,7.134836313379979
2016,"Aguascalientes","Hombres","De 15 a 24 años",01,7.73729555586747
2015,"Aguascalientes","Hombres","De 15 a 24 años",01,9.43604398164804
2014,"Aguascalientes","Hombres","De 15 a 24 años",01,12.8249883029098
2022,"Aguascalientes","Hombres","De 25 a 64 años",01,3.46760865972567
2021,"Aguascalientes","Hombres","De 25 a 64 años",01,3.6990449135275596
2020,"Aguascalientes","Hombres","De 25 a 64 años",01,3.9507967081071595
2019,"Aguascalientes","Hombres","De 25 a 64 años",01,3.01486719829072
2018,"Aguascalientes","Hombres","De 25 a 64 años",01,2.6939747611664
2017,"Aguascalientes","Hombres","De 25 a 64 años",01,3.1838150482739
2016,"Aguascalientes","Hombres","De 25 a 64 años",01,3.2433501147695902
2015,"Aguascalientes","Hombres","De 25 a 64 años",01,3.71488184013873
