Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2022,"Estados Unidos Mexicanos","En áreas más urbanizadas",,,00,6.155715122
2021,"Estados Unidos Mexicanos","En áreas más urbanizadas",,,00,7.367489157
2020,"Estados Unidos Mexicanos","En áreas más urbanizadas",,,00,8.300876731
2019,"Estados Unidos Mexicanos","En áreas más urbanizadas",,,00,6.450711689
2018,"Estados Unidos Mexicanos","En áreas más urbanizadas",,,00,6.146175593
2017,"Estados Unidos Mexicanos","En áreas más urbanizadas",,,00,6.203125011
2022,"Aguascalientes","En áreas más urbanizadas",,,01,6.540017159
2021,"Aguascalientes","En áreas más urbanizadas",,,01,7.288337525
2020,"Aguascalientes","En áreas más urbanizadas",,,01,8.299424938
2019,"Aguascalientes","En áreas más urbanizadas",,,01,7.328873639
2018,"Aguascalientes","En áreas más urbanizadas",,,01,6.163124124
2017,"Aguascalientes","En áreas más urbanizadas",,,01,5.693810049
2022,"Baja California","En áreas más urbanizadas",,,02,5.879806968
2021,"Baja California","En áreas más urbanizadas",,,02,6.586735866
2020,"Baja California","En áreas más urbanizadas",,,02,5.936346139
2019,"Baja California","En áreas más urbanizadas",,,02,5.119830055
2018,"Baja California","En áreas más urbanizadas",,,02,5.903406529
2017,"Baja California","En áreas más urbanizadas",,,02,6.404496714
2022,"Baja California Sur","En áreas más urbanizadas",,,03,3.475776693
2021,"Baja California Sur","En áreas más urbanizadas",,,03,5.25159889
2020,"Baja California Sur","En áreas más urbanizadas",,,03,5.922934545
2019,"Baja California Sur","En áreas más urbanizadas",,,03,5.104889921
2018,"Baja California Sur","En áreas más urbanizadas",,,03,4.486241393
2017,"Baja California Sur","En áreas más urbanizadas",,,03,5.368745554
2022,"Campeche","En áreas más urbanizadas",,,04,4.514323484
2021,"Campeche","En áreas más urbanizadas",,,04,5.144635921
2020,"Campeche","En áreas más urbanizadas",,,04,5.340569878
2019,"Campeche","En áreas más urbanizadas",,,04,5.647743408
2018,"Campeche","En áreas más urbanizadas",,,04,5.910903595
2017,"Campeche","En áreas más urbanizadas",,,04,5.579092961
2022,"Coahuila de Zaragoza","En áreas más urbanizadas",,,05,6.199655517
2021,"Coahuila de Zaragoza","En áreas más urbanizadas",,,05,6.886177459
2020,"Coahuila de Zaragoza","En áreas más urbanizadas",,,05,6.933326923
2019,"Coahuila de Zaragoza","En áreas más urbanizadas",,,05,6.576474804
2018,"Coahuila de Zaragoza","En áreas más urbanizadas",,,05,5.664509013
2017,"Coahuila de Zaragoza","En áreas más urbanizadas",,,05,6.754509911
2022,"Colima","En áreas más urbanizadas",,,06,5.70436961
2021,"Colima","En áreas más urbanizadas",,,06,7.036118655
2020,"Colima","En áreas más urbanizadas",,,06,7.007864456
2019,"Colima","En áreas más urbanizadas",,,06,6.686019164
2018,"Colima","En áreas más urbanizadas",,,06,6.974894485
2017,"Colima","En áreas más urbanizadas",,,06,6.290618449
2022,"Chiapas","En áreas más urbanizadas",,,07,6.652348279
2021,"Chiapas","En áreas más urbanizadas",,,07,9.618453149
2020,"Chiapas","En áreas más urbanizadas",,,07,8.994324474
2019,"Chiapas","En áreas más urbanizadas",,,07,8.225475395
2018,"Chiapas","En áreas más urbanizadas",,,07,7.247952738
2017,"Chiapas","En áreas más urbanizadas",,,07,6.983729955
2022,"Chihuahua","En áreas más urbanizadas",,,08,5.758047137
2021,"Chihuahua","En áreas más urbanizadas",,,08,6.351232132
2020,"Chihuahua","En áreas más urbanizadas",,,08,8.30571428
2019,"Chihuahua","En áreas más urbanizadas",,,08,7.329158337
2018,"Chihuahua","En áreas más urbanizadas",,,08,6.975327256
2017,"Chihuahua","En áreas más urbanizadas",,,08,6.372255846
2022,"Ciudad de México","En áreas más urbanizadas",,,09,6.208233547
2021,"Ciudad de México","En áreas más urbanizadas",,,09,8.384529659
2020,"Ciudad de México","En áreas más urbanizadas",,,09,9.25990148
2019,"Ciudad de México","En áreas más urbanizadas",,,09,6.962942986
2018,"Ciudad de México","En áreas más urbanizadas",,,09,6.133578672
2017,"Ciudad de México","En áreas más urbanizadas",,,09,6.007654194
2022,"Durango","En áreas más urbanizadas",,,10,8.146120968
2021,"Durango","En áreas más urbanizadas",,,10,8.604638485
2020,"Durango","En áreas más urbanizadas",,,10,8.442194644
2019,"Durango","En áreas más urbanizadas",,,10,7.806256818
2018,"Durango","En áreas más urbanizadas",,,10,8.425496243
2017,"Durango","En áreas más urbanizadas",,,10,8.145074627
2022,"Guanajuato","En áreas más urbanizadas",,,11,7.931735673
2021,"Guanajuato","En áreas más urbanizadas",,,11,9.527532915
2020,"Guanajuato","En áreas más urbanizadas",,,11,11.05849021
2019,"Guanajuato","En áreas más urbanizadas",,,11,9.003235361
2018,"Guanajuato","En áreas más urbanizadas",,,11,7.652159534
2017,"Guanajuato","En áreas más urbanizadas",,,11,8.324158789
2022,"Guerrero","En áreas más urbanizadas",,,12,4.636221771
2021,"Guerrero","En áreas más urbanizadas",,,12,6.394813565
2020,"Guerrero","En áreas más urbanizadas",,,12,9.001689371
2019,"Guerrero","En áreas más urbanizadas",,,12,5.326780479
2018,"Guerrero","En áreas más urbanizadas",,,12,3.398308671
2017,"Guerrero","En áreas más urbanizadas",,,12,3.35798842
2022,"Hidalgo","En áreas más urbanizadas",,,13,3.984305171
2021,"Hidalgo","En áreas más urbanizadas",,,13,6.515744044
2020,"Hidalgo","En áreas más urbanizadas",,,13,5.010041383
2019,"Hidalgo","En áreas más urbanizadas",,,13,4.927344782
2018,"Hidalgo","En áreas más urbanizadas",,,13,4.386129605
2017,"Hidalgo","En áreas más urbanizadas",,,13,4.617296361
2022,"Jalisco","En áreas más urbanizadas",,,14,4.797093724
