Year,Entidad federativa,Municipio,"Edades de 15 a 24 años","Sexo",GeoCode,Value
2022,"Estados Unidos Mexicanos",,"15-24 años","Total",00,6.947745907
2021,"Estados Unidos Mexicanos",,"15-24 años","Total",00,8.094723444
2020,"Estados Unidos Mexicanos",,"15-24 años","Total",00,8.662152681
2019,"Estados Unidos Mexicanos",,"15-24 años","Total",00,7.247676926
2018,"Estados Unidos Mexicanos",,"15-24 años","Total",00,6.692233372
2017,"Estados Unidos Mexicanos",,"15-24 años","Total",00,6.842805659
2022,"Estados Unidos Mexicanos",,"15-24 años","Hombres",00,5.460971678
2021,"Estados Unidos Mexicanos",,"15-24 años","Hombres",00,6.785724817
2020,"Estados Unidos Mexicanos",,"15-24 años","Hombres",00,7.139028821
2019,"Estados Unidos Mexicanos",,"15-24 años","Hombres",00,5.054602898
2018,"Estados Unidos Mexicanos",,"15-24 años","Hombres",00,4.726335654
2017,"Estados Unidos Mexicanos",,"15-24 años","Hombres",00,4.55467288
2022,"Estados Unidos Mexicanos",,"15-24 años","Mujeres",00,8.419770501
2021,"Estados Unidos Mexicanos",,"15-24 años","Mujeres",00,9.432705681
2020,"Estados Unidos Mexicanos",,"15-24 años","Mujeres",00,10.2032658
2019,"Estados Unidos Mexicanos",,"15-24 años","Mujeres",00,9.440029451
2018,"Estados Unidos Mexicanos",,"15-24 años","Mujeres",00,8.668615631
2017,"Estados Unidos Mexicanos",,"15-24 años","Mujeres",00,9.142419732
2022,"Estados Unidos Mexicanos",,"15-19 años","Total",00,5.038884195
2021,"Estados Unidos Mexicanos",,"15-19 años","Total",00,5.58451138
2020,"Estados Unidos Mexicanos",,"15-19 años","Total",00,5.85423881
2019,"Estados Unidos Mexicanos",,"15-19 años","Total",00,5.256193334
2018,"Estados Unidos Mexicanos",,"15-19 años","Total",00,4.767458316
2017,"Estados Unidos Mexicanos",,"15-19 años","Total",00,4.860678651
2022,"Estados Unidos Mexicanos",,"15-19 años","Hombres",00,4.435456795
2021,"Estados Unidos Mexicanos",,"15-19 años","Hombres",00,5.127629691
2020,"Estados Unidos Mexicanos",,"15-19 años","Hombres",00,5.282165326
2019,"Estados Unidos Mexicanos",,"15-19 años","Hombres",00,4.227312898
2018,"Estados Unidos Mexicanos",,"15-19 años","Hombres",00,3.981826616
2017,"Estados Unidos Mexicanos",,"15-19 años","Hombres",00,3.967163116
2022,"Estados Unidos Mexicanos",,"15-19 años","Mujeres",00,5.641798726
2021,"Estados Unidos Mexicanos",,"15-19 años","Mujeres",00,6.062918184
2020,"Estados Unidos Mexicanos",,"15-19 años","Mujeres",00,6.44935237
2019,"Estados Unidos Mexicanos",,"15-19 años","Mujeres",00,6.314804714
2018,"Estados Unidos Mexicanos",,"15-19 años","Mujeres",00,5.579125639
2017,"Estados Unidos Mexicanos",,"15-19 años","Mujeres",00,5.779719077
2022,"Estados Unidos Mexicanos",,"20-24 años","Total",00,9.013694195
2021,"Estados Unidos Mexicanos",,"20-24 años","Total",00,10.84262926
2020,"Estados Unidos Mexicanos",,"20-24 años","Total",00,11.80686965
2019,"Estados Unidos Mexicanos",,"20-24 años","Total",00,9.489193336
2018,"Estados Unidos Mexicanos",,"20-24 años","Total",00,8.848667613
2017,"Estados Unidos Mexicanos",,"20-24 años","Total",00,9.068612824
2022,"Estados Unidos Mexicanos",,"20-24 años","Hombres",00,6.581524193
2021,"Estados Unidos Mexicanos",,"20-24 años","Hombres",00,8.646790176
