Year,Entidad federativa,"Sexo","Grupo de edad",GeoCode,Value
2019,"Estados Unidos Mexicanos","Total","Total",00,7.0742449021019995
2017,"Estados Unidos Mexicanos","Total","Total",00,7.0521897681494
2015,"Estados Unidos Mexicanos","Total","Total",00,7.5399331389413
2013,"Estados Unidos Mexicanos","Total","Total",00,7.7815071570223
2011,"Estados Unidos Mexicanos","Total","Total",00,9.5209356024291
2009,"Estados Unidos Mexicanos","Total","Total",00,9.7969237344551
2007,"Estados Unidos Mexicanos","Total","Total",00,11.5250330252422
2019,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,4.0920661596558
2017,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,3.5814978914053
2015,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,3.9483724532784
2013,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,4.5976038144193
2011,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,5.595440611087
2009,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,5.7579959360359
2007,"Estados Unidos Mexicanos","Total","De 5 a 14 años",00,6.8706188462424
2019,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,16.5983582755144
2017,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,18.2255698298904
2015,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,19.1563201343152
2013,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,18.6634074193203
2011,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,22.1083151776369
2009,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,22.7072381447112
2007,"Estados Unidos Mexicanos","Total","De 15 a 17 años",00,26.6342216807289
2019,"Estados Unidos Mexicanos","Hombres","Total",00,
2017,"Estados Unidos Mexicanos","Hombres","Total",00,10.1445040960254
2015,"Estados Unidos Mexicanos","Hombres","Total",00,10.7412763910284
2013,"Estados Unidos Mexicanos","Hombres","Total",00,10.7983771239056
2011,"Estados Unidos Mexicanos","Hombres","Total",00,13.3539219068997
2009,"Estados Unidos Mexicanos","Hombres","Total",00,13.5418948991202
2007,"Estados Unidos Mexicanos","Hombres","Total",00,16.0150834887748
2019,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,
2017,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,4.8657801364665
2015,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,5.2325382888834
2013,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,6.0176643809142005
2011,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,7.4781021749397
2009,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,7.526650709142
2007,"Estados Unidos Mexicanos","Hombres","De 5 a 14 años",00,9.0745746378105
2019,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,
2017,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,27.2466234301389
2015,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,28.4768488179544
2013,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,27.1387851246413
2011,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,32.2138852797239
2009,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,33.0770733720157
2007,"Estados Unidos Mexicanos","Hombres","De 15 a 17 años",00,38.7099884143174
2019,"Estados Unidos Mexicanos","Mujeres","Total",00,
2017,"Estados Unidos Mexicanos","Mujeres","Total",00,3.8495263846063
2015,"Estados Unidos Mexicanos","Mujeres","Total",00,4.2213853991962
2013,"Estados Unidos Mexicanos","Mujeres","Total",00,4.6490314312313
2011,"Estados Unidos Mexicanos","Mujeres","Total",00,5.6049301117368
2009,"Estados Unidos Mexicanos","Mujeres","Total",00,5.9422051183223
2007,"Estados Unidos Mexicanos","Mujeres","Total",00,6.951605844829399
2019,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,
2017,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,2.2473194183856
2015,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,2.6201330467692
2013,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,3.12308709759
2011,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,3.6710838286078
2009,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,3.923540860194
2007,"Estados Unidos Mexicanos","Mujeres","De 5 a 14 años",00,4.6179714919575
2019,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,
2017,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,8.973962429008301
2015,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,9.4251850700906
2013,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,9.86406615576
2011,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,11.799658328263101
2009,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,12.2911085669492
2007,"Estados Unidos Mexicanos","Mujeres","De 15 a 17 años",00,14.471327305794
2019,"Aguascalientes","Total","Total",01,8.4107937919473
2017,"Aguascalientes","Total","Total",01,4.7406938950492
2015,"Aguascalientes","Total","Total",01,4.9574294011346
2013,"Aguascalientes","Total","Total",01,5.8872690129074
2011,"Aguascalientes","Total","Total",01,6.3157927033188
2009,"Aguascalientes","Total","Total",01,6.876289956053301
2007,"Aguascalientes","Total","Total",01,9.4821322412313
2019,"Aguascalientes","Total","De 5 a 14 años",01,4.0841331427405
2017,"Aguascalientes","Total","De 5 a 14 años",01,1.5749510124102002
2015,"Aguascalientes","Total","De 5 a 14 años",01,2.2359390512367
2013,"Aguascalientes","Total","De 5 a 14 años",01,2.8660127247188
2011,"Aguascalientes","Total","De 5 a 14 años",01,2.7106774244892
2009,"Aguascalientes","Total","De 5 a 14 años",01,3.5013164207870004
2007,"Aguascalientes","Total","De 5 a 14 años",01,4.7143968871595
2019,"Aguascalientes","Total","De 15 a 17 años",01,20.4481410780838
2017,"Aguascalientes","Total","De 15 a 17 años",01,13.979532268248798
2015,"Aguascalientes","Total","De 15 a 17 años",01,13.753741565623299
2013,"Aguascalientes","Total","De 15 a 17 años",01,15.5230398554362
2011,"Aguascalientes","Total","De 15 a 17 años",01,17.2352839377982
2009,"Aguascalientes","Total","De 15 a 17 años",01,17.600184482935298
2007,"Aguascalientes","Total","De 15 a 17 años",01,25.592311130979002
2019,"Aguascalientes","Hombres","Total",01,
2017,"Aguascalientes","Hombres","Total",01,
2015,"Aguascalientes","Hombres","Total",01,
2013,"Aguascalientes","Hombres","Total",01,
2011,"Aguascalientes","Hombres","Total",01,
2009,"Aguascalientes","Hombres","Total",01,
2007,"Aguascalientes","Hombres","Total",01,
2019,"Aguascalientes","Hombres","De 5 a 14 años",01,
2017,"Aguascalientes","Hombres","De 5 a 14 años",01,
2015,"Aguascalientes","Hombres","De 5 a 14 años",01,
2013,"Aguascalientes","Hombres","De 5 a 14 años",01,
2011,"Aguascalientes","Hombres","De 5 a 14 años",01,
2009,"Aguascalientes","Hombres","De 5 a 14 años",01,
2007,"Aguascalientes","Hombres","De 5 a 14 años",01,
2019,"Aguascalientes","Hombres","De 15 a 17 años",01,
2017,"Aguascalientes","Hombres","De 15 a 17 años",01,
2015,"Aguascalientes","Hombres","De 15 a 17 años",01,
2013,"Aguascalientes","Hombres","De 15 a 17 años",01,
2011,"Aguascalientes","Hombres","De 15 a 17 años",01,
2009,"Aguascalientes","Hombres","De 15 a 17 años",01,
2007,"Aguascalientes","Hombres","De 15 a 17 años",01,
2019,"Aguascalientes","Mujeres","Total",01,
2017,"Aguascalientes","Mujeres","Total",01,
2015,"Aguascalientes","Mujeres","Total",01,
2013,"Aguascalientes","Mujeres","Total",01,
2011,"Aguascalientes","Mujeres","Total",01,
2009,"Aguascalientes","Mujeres","Total",01,
2007,"Aguascalientes","Mujeres","Total",01,
2019,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2017,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2015,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2013,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2011,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2009,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2007,"Aguascalientes","Mujeres","De 5 a 14 años",01,
2019,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2017,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2015,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2013,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2011,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2009,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2007,"Aguascalientes","Mujeres","De 15 a 17 años",01,
2019,"Baja California","Total","Total",02,3.4009711420789
2017,"Baja California","Total","Total",02,3.9897049089774996
2015,"Baja California","Total","Total",02,3.6510783434528
2013,"Baja California","Total","Total",02,3.8014193097851
2011,"Baja California","Total","Total",02,7.0498553795171
2009,"Baja California","Total","Total",02,4.6054750811015
2007,"Baja California","Total","Total",02,7.1984727483533
2019,"Baja California","Total","De 5 a 14 años",02,1.4375264334481
2017,"Baja California","Total","De 5 a 14 años",02,1.63737185973
2015,"Baja California","Total","De 5 a 14 años",02,1.9538744600813
2013,"Baja California","Total","De 5 a 14 años",02,2.2751599758269
2011,"Baja California","Total","De 5 a 14 años",02,3.7888644432646
2009,"Baja California","Total","De 5 a 14 años",02,2.3159848955341
2007,"Baja California","Total","De 5 a 14 años",02,4.1462303608551
2019,"Baja California","Total","De 15 a 17 años",02,9.9260092162197
2017,"Baja California","Total","De 15 a 17 años",02,11.3940363507088
2015,"Baja California","Total","De 15 a 17 años",02,8.6645869462018
2013,"Baja California","Total","De 15 a 17 años",02,8.616236614472301
2011,"Baja California","Total","De 15 a 17 años",02,16.412756548251
2009,"Baja California","Total","De 15 a 17 años",02,12.005667911889697
2007,"Baja California","Total","De 15 a 17 años",02,16.5669312155862
2019,"Baja California","Hombres","Total",02,
2017,"Baja California","Hombres","Total",02,
2015,"Baja California","Hombres","Total",02,
2013,"Baja California","Hombres","Total",02,
2011,"Baja California","Hombres","Total",02,
2009,"Baja California","Hombres","Total",02,
2007,"Baja California","Hombres","Total",02,
2019,"Baja California","Hombres","De 5 a 14 años",02,
2017,"Baja California","Hombres","De 5 a 14 años",02,
2015,"Baja California","Hombres","De 5 a 14 años",02,
2013,"Baja California","Hombres","De 5 a 14 años",02,
2011,"Baja California","Hombres","De 5 a 14 años",02,
2009,"Baja California","Hombres","De 5 a 14 años",02,
2007,"Baja California","Hombres","De 5 a 14 años",02,
2019,"Baja California","Hombres","De 15 a 17 años",02,
2017,"Baja California","Hombres","De 15 a 17 años",02,
2015,"Baja California","Hombres","De 15 a 17 años",02,
2013,"Baja California","Hombres","De 15 a 17 años",02,
2011,"Baja California","Hombres","De 15 a 17 años",02,
2009,"Baja California","Hombres","De 15 a 17 años",02,
2007,"Baja California","Hombres","De 15 a 17 años",02,
2019,"Baja California","Mujeres","Total",02,
2017,"Baja California","Mujeres","Total",02,
2015,"Baja California","Mujeres","Total",02,
2013,"Baja California","Mujeres","Total",02,
2011,"Baja California","Mujeres","Total",02,
2009,"Baja California","Mujeres","Total",02,
2007,"Baja California","Mujeres","Total",02,
2019,"Baja California","Mujeres","De 5 a 14 años",02,
2017,"Baja California","Mujeres","De 5 a 14 años",02,
2015,"Baja California","Mujeres","De 5 a 14 años",02,
2013,"Baja California","Mujeres","De 5 a 14 años",02,
2011,"Baja California","Mujeres","De 5 a 14 años",02,
