Year,"Sexo",Value
2022,"Total",16.50032229548107
2021,"Total",16.48314096263674
2020,"Total",16.54526516479818
2019,"Total",16.720949287345316
2018,"Total",16.761156993375167
2017,"Total",16.712042534096785
2016,"Total",16.397800377399324
2015,"Total",16.10076451220039
2014,"Total",16.013266753800284
2022,"Hombres",16.667173119270558
2021,"Hombres",16.815136403823146
2020,"Hombres",16.73365454572677
2019,"Hombres",17.223657970344956
2018,"Hombres",16.949718523504725
2017,"Hombres",16.901207198725444
2016,"Hombres",16.675076971733002
2015,"Hombres",16.449952520429875
2014,"Hombres",16.389770139188826
2022,"Mujeres",16.24876624508005
2021,"Mujeres",15.96451907741624
2020,"Mujeres",16.249592841189223
2019,"Mujeres",15.937615244692731
2018,"Mujeres",16.45761820427838
2017,"Mujeres",16.404540665263585
2016,"Mujeres",15.949502007244352
2015,"Mujeres",15.531846870179166
2014,"Mujeres",15.395045718631032
