Indicator,Disaggregation combinations using this value
#1-1-1-a,1
#1-2-1-a,68
#1-2-2-a,68
#1-4-2,9
#1-n2-2,1
#1-n3-1-a,1
#1-n3-3,1
#2-1-2-a,68
#2-2-1,3
#2-2-2,3
#2-2-2(1),3
#2-2-2(2),3
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-3-2,1
#3-3-3,1
#3-3-5,1
#3-3-r-2,1
#3-4-2-a,80
#3-7-1,1
#3-7-2-a,1
#3-7-2-b,1
#3-7-r-1,1
#3-7-r-b,1
#3-9-2a,1
#3-9-3a,80
#3-c-1,5
#3-n3-1,1
#4-1-2,18
#4-2-2,3
#4-3-1,1
#4-4-1,24
#4-6-1-a,3
#4-a-1-a,4
#4-a-1-b,4
#4-a-1-c,4
#4-a-1-d1,4
#4-a-1-d2,4
#4-a-1-e,4
#4-a-1-f,4
#4-a-1-g,4
#4-c-1-a,3
#4-c-1-b,3
#4-c-1-c,3
#4-n2-1,5
#5-2-1-a,6
#5-2-2-a,11
#5-3-1b,2
#5-4-1b,2
#5-5-1-c,1
#5-5-1-d,1
#5-5-1-e,1
#5-5-2,3
#5-6-1,1
#5-a-1a,3
#5-a-1b,1
#5-b-1,6
#5-n1-4,2
#5-n2-1,1
#5-n3-1,1
