Indicator,Disaggregation combinations using this value
#1-2-1(1),1
#1-2-2(1),1
#1-2-2(2),1
#11-2-1,33
#11-2-r-1a,33
#11-2-r-1c,2
#11-2-r-1d,6
#16-1-1,165
#16-1-3-a,33
#16-1-3-b,33
#16-1-3-c,1
#16-1-4,33
#16-3-1,1
#16-3-1-a,1
#16-3-1-b,1
#16-3-1-c,1
#16-3-2,1
#16-5-1,33
#16-6-2-a,33
#16-6-2-b,33
#16-7-1b,238
#16-7-1c,238
#16-7-2,7
#16-9-1a,6
#16-n1-1,33
#16-n2-1,33
#16-n2-2,33
#16-n2-3,33
#16-n2-4,33
#16-n3-1-a,33
#16-n3-1-b,33
#16-n3-1-c,33
#16-n3-1-d,33
#16-n3-1-e,33
#16-n3-1-f,33
#16-n3-2,65
#2-1-2,1
#3-3-1,3
#4-2-2,33
#4-3-r-1,1
#4-6-1-a,33
#4-c-1-a,33
#4-c-1-b,33
#4-c-1-c,33
#5-a-1a,33
#8-3-1,1
#8-3-1(2),1
#8-5-1a,83
#8-5-1b,6
#8-5-1c,12
#8-5-1d,6
#8-5-2,132
#8-5-2(2),132
#8-6-1b,249
#8-6-r-1,5
#8-7-1,99
#8-8-1,1
#8-n2-2,165
#8-n3-1a,1
#9-2-2,1
#9-2-2(2),1
