Indicator,Disaggregation combinations using this value
#1-1-1-a,1
#1-2-1-a,59
#1-2-2-a,59
#1-4-2,9
#1-n2-2,1
#1-n3-1-a,1
#1-n3-3,1
#10-2-1a,1
#10-4-r-1a,1
#10-4-r-1b,1
#10-n1-1,11
#10-n2-1,1
#11-1-1,59
#11-2-1,3
#11-2-r-1a,3
#11-3-1,1
#11-7-1,1
#11-n1-1,59
#11-n2-1,1
#16-1-1,15
#16-1-3-a,3
#16-1-3-b,3
#16-1-4,3
#16-3-r-b,3
#16-5-1,3
#16-6-2-a,3
#16-6-2-b,3
#16-7-1b,21
#16-9-1b,6
#16-n1-1,3
#16-n1-2,8
#16-n2-1,3
#16-n2-2,3
#16-n2-3,3
#16-n2-4,3
#16-n3-1-a,3
#16-n3-1-b,3
#16-n3-1-c,3
#16-n3-1-d,3
#16-n3-1-e,3
#16-n3-1-f,3
#16-n3-2,6
#17-8-1,2
#2-1-2-a,59
#2-2-1,3
#2-2-2,3
#2-2-2(1),3
#2-2-2(2),3
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-3-2,1
#3-3-3,1
#3-3-5,1
#3-3-r-2,1
#3-4-2-a,80
#3-7-1,1
#3-7-2-a,1
#3-7-2-b,1
#3-7-r-1,1
#3-7-r-b,1
#3-9-2a,1
#3-9-3a,80
#3-c-1,5
#3-n3-1,1
#4-1-2,18
#4-2-2,3
#4-3-1,1
#4-4-1,16
#4-6-1-a,3
#4-a-1-a,4
#4-a-1-b,4
#4-a-1-c,4
#4-a-1-d1,4
#4-a-1-d2,4
#4-a-1-e,4
#4-a-1-f,4
#4-a-1-g,4
#4-c-1-a,3
#4-c-1-b,3
#4-c-1-c,3
#4-n2-1,5
#5-2-1-a,6
#5-2-2-a,11
#5-3-1b,2
#5-4-1b,2
#5-5-1-c,1
#5-5-1-d,1
#5-5-1-e,1
#5-5-2,2
#5-6-1,1
#5-a-1a,3
#5-a-1b,1
#5-b-1,4
#5-n1-4,2
#5-n2-1,1
#5-n3-1,1
#6-n1-1,6
#8-5-1a,6
#8-5-2,12
#8-5-2(2),12
#8-6-1a,21
#8-6-1b,18
#8-7-1,9
#8-n2-2,15
#9-1-1,59
#9-n3-1,1
