Year,Sexo,Value
2021,Total,12.60358638000002
2020,Total,12.27741182
2019,Total,12.51765366223111
2018,Total,11.9267503783197
2017,Total,13.39572991443282
2016,Total,12.613867800431084
2015,Total,11.411125004974028
2021,Hombres,13.785596299999968
2020,Hombres,12.922523360000012
2019,Hombres,13.7364804710287
2018,Hombres,12.845412885284016
2017,Hombres,14.975702189157523
2016,Hombres,12.969392091240776
2015,Hombres,10.830918857006033
2021,Mujeres,11.546374530000016
2020,Mujeres,11.69537341
2019,Mujeres,11.403689219140084
2018,Mujeres,11.018420434159
2017,Mujeres,11.7371054369778
2016,Mujeres,12.21970784588378
2015,Mujeres,12.071145968316689
